policy_key,map_family,map,agents,budget_ms,iteration_bucket,selected_candidate,method,fallback_candidate,policy_type,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze|50|500|final,maze,maze-32-32-4,50,500,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
maze|50|1000|final,maze,maze-32-32-4,50,1000,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
maze|50|2000|final,maze,maze-32-32-4,50,2000,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
maze|100|500|final,maze,maze-32-32-4,100,500,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
maze|100|1000|final,maze,maze-32-32-4,100,1000,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
maze|100|2000|final,maze,maze-32-32-4,100,2000,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
random|50|500|final,random,random-32-32-20,50,500,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
random|50|1000|final,random,random-32-32-20,50,1000,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
random|50|2000|final,random,random-32-32-20,50,2000,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
random|100|500|final,random,random-32-32-20,100,500,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
random|100|1000|final,random,random-32-32-20,100,1000,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g541_refine_017,repair5g518_grid_c1p2_b1p5_f1p00_w0p45_dc0p95_df0p96_beta0p6_max0p75_c0,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|50|500|final,warehouse,warehouse-10-20-10-2-1,50,500,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|50|1000|final,warehouse,warehouse-10-20-10-2-1,50,1000,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|50|2000|final,warehouse,warehouse-10-20-10-2-1,50,2000,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|100|500|final,warehouse,warehouse-10-20-10-2-1,100,500,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|100|1000|final,warehouse,warehouse-10-20-10-2-1,100,1000,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
warehouse|100|2000|final,warehouse,warehouse-10-20-10-2-1,100,2000,final,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,supported_stratum_region_lookup_with_static_fallback,False,False,False,False,False
