map_family,edge_class,recommended_update_target,reason,priority,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze,corridor,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
maze,junction,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,1,False,False,False,False,False
maze,bottleneck,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,1,False,False,False,False,False
maze,goal_progress,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
maze,lateral,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
maze,regress,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
random,corridor,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
random,junction,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,1,False,False,False,False,False
random,bottleneck,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,1,False,False,False,False,False
random,goal_progress,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
random,lateral,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
random,regress,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
warehouse,corridor,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
warehouse,junction,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,1,False,False,False,False,False
warehouse,bottleneck,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,1,False,False,False,False,False
warehouse,goal_progress,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
warehouse,lateral,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
warehouse,regress,edge_class_conditional_update_ltm_residual,run_level_scalar_params_too_coarse,2,False,False,False,False,False
