plan_row_id,context_key,map,map_family,agents,seed,seed_block,budget_ms,risk_stage,context_source,ltm_max_iterations,role,candidate_id,method,execution_mode,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g542_probe_plan_00000000,maze-32-32-4|50|966|500,maze-32-32-4,maze,50,966,960_979,500,g542_ladder_overlay_probe_seed_966_1025,g542_ladder_overlay_probe_seed_966_1025,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,real_solver_execution_required,False,False,False,False,False
g542_probe_plan_00000001,maze-32-32-4|50|966|500,maze-32-32-4,maze,50,966,960_979,500,g542_ladder_overlay_probe_seed_966_1025,g542_ladder_overlay_probe_seed_966_1025,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,real_solver_execution_required,False,False,False,False,False
g542_probe_plan_00000002,maze-32-32-4|50|966|500,maze-32-32-4,maze,50,966,960_979,500,g542_ladder_overlay_probe_seed_966_1025,g542_ladder_overlay_probe_seed_966_1025,2,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,real_solver_execution_required,False,False,False,False,False
g542_probe_plan_00000003,maze-32-32-4|50|966|500,maze-32-32-4,maze,50,966,960_979,500,g542_ladder_overlay_probe_seed_966_1025,g542_ladder_overlay_probe_seed_966_1025,2,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,real_solver_execution_required,False,False,False,False,False
g542_probe_plan_00000004,maze-32-32-4|50|966|500,maze-32-32-4,maze,50,966,960_979,500,g542_ladder_overlay_probe_seed_966_1025,g542_ladder_overlay_probe_seed_966_1025,2,deployable_static_ladder,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,real_solver_execution_required,False,False,False,False,False
g542_probe_plan_00000005,maze-32-32-4|50|966|500,maze-32-32-4,maze,50,966,960_979,500,g542_ladder_overlay_probe_seed_966_1025,g542_ladder_overlay_probe_seed_966_1025,2,G5.41_frozen_stratum_policy,repair5g59_static_flow_shield,repair5g59_static_flow_shield,real_solver_execution_required,False,False,False,False,False
g542_probe_plan_00000006,maze-32-32-4|50|966|500,maze-32-32-4,maze,50,966,960_979,500,g542_ladder_overlay_probe_seed_966_1025,g542_ladder_overlay_probe_seed_966_1025,2,P3_ladder_plus_overlay_high_margin_only,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,real_solver_execution_required,False,False,False,False,False
g542_probe_plan_00000007,maze-32-32-4|50|967|500,maze-32-32-4,maze,50,967,960_979,500,g542_ladder_overlay_probe_seed_966_1025,g542_ladder_overlay_probe_seed_966_1025,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,real_solver_execution_required,False,False,False,False,False
g542_probe_plan_00000008,maze-32-32-4|50|967|500,maze-32-32-4,maze,50,967,960_979,500,g542_ladder_overlay_probe_seed_966_1025,g542_ladder_overlay_probe_seed_966_1025,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,real_solver_execution_required,False,False,False,False,False
g542_probe_plan_00000009,maze-32-32-4|50|967|500,maze-32-32-4,maze,50,967,960_979,500,g542_ladder_overlay_probe_seed_966_1025,g542_ladder_overlay_probe_seed_966_1025,2,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,real_solver_execution_required,False,False,False,False,False
g542_probe_plan_00000010,maze-32-32-4|50|967|500,maze-32-32-4,maze,50,967,960_979,500,g542_ladder_overlay_probe_seed_966_1025,g542_ladder_overlay_probe_seed_966_1025,2,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,real_solver_execution_required,False,False,False,False,False
