candidate_index,candidate_id,method,candidate_group,event_condition,edge_class,alpha_cong_commit,alpha_cong_block,alpha_wait_or_nonprogress,alpha_flow_progress,rho_cong_decay,rho_flow_decay,flow_shield_beta,max_flow_shield,goal_projection_mode,min_edge_cost,max_edge_cost,negative_control,reserved_id_used,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
0,repair5g543_evt_blocked_bneck_suppress_001,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p92_df1p00_beta0p2_max0p35_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.45,1,0.92,1,0.2,0.35,flow_shield,1,11,False,False,False,False,False,False,False
1,repair5g543_evt_blocked_bneck_suppress_002,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p92_df1p00_beta0p2_max0p6_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.45,1,0.92,1,0.2,0.6,flow_shield,1,11,False,False,False,False,False,False,False
2,repair5g543_evt_blocked_bneck_suppress_003,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p92_df1p00_beta0p35_max0p35_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.45,1,0.92,1,0.35,0.35,flow_shield,1,11,False,False,False,False,False,False,False
3,repair5g543_evt_blocked_bneck_suppress_004,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p92_df1p00_beta0p35_max0p6_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.45,1,0.92,1,0.35,0.6,flow_shield,1,11,False,False,False,False,False,False,False
4,repair5g543_evt_blocked_bneck_suppress_005,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p95_df1p00_beta0p2_max0p35_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.45,1,0.95,1,0.2,0.35,flow_shield,1,11,False,False,False,False,False,False,False
5,repair5g543_evt_blocked_bneck_suppress_006,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p95_df1p00_beta0p2_max0p6_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.45,1,0.95,1,0.2,0.6,flow_shield,1,11,False,False,False,False,False,False,False
6,repair5g543_evt_blocked_bneck_suppress_007,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p35_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.45,1,0.95,1,0.35,0.35,flow_shield,1,11,False,False,False,False,False,False,False
7,repair5g543_evt_blocked_bneck_suppress_008,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p6_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.45,1,0.95,1,0.35,0.6,flow_shield,1,11,False,False,False,False,False,False,False
8,repair5g543_evt_blocked_bneck_suppress_009,repair5g518_grid_c0p85_b0p65_f1p00_w0p6_dc0p92_df1p00_beta0p2_max0p35_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.6,1,0.92,1,0.2,0.35,flow_shield,1,11,False,False,False,False,False,False,False
9,repair5g543_evt_blocked_bneck_suppress_010,repair5g518_grid_c0p85_b0p65_f1p00_w0p6_dc0p92_df1p00_beta0p2_max0p6_c0,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,0.85,0.65,0.6,1,0.92,1,0.2,0.6,flow_shield,1,11,False,False,False,False,False,False,False
