plan_row_id,context_key,map,map_family,agents,seed,seed_block,budget_ms,risk_stage,context_source,ltm_max_iterations,role,candidate_id,method,execution_mode,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,candidate_group,event_condition,edge_class
g543_stage1_plan_00000000,maze-32-32-4|50|1106|500,maze-32-32-4,maze,50,1106,1100_1119,500,g543_stage1_seed_1106_1145,g543_stage1_seed_1106_1145,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,real_solver_execution_required,False,False,False,False,False,,,
g543_stage1_plan_00000001,maze-32-32-4|50|1106|500,maze-32-32-4,maze,50,1106,1100_1119,500,g543_stage1_seed_1106_1145,g543_stage1_seed_1106_1145,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,real_solver_execution_required,False,False,False,False,False,,,
g543_stage1_plan_00000002,maze-32-32-4|50|1106|500,maze-32-32-4,maze,50,1106,1100_1119,500,g543_stage1_seed_1106_1145,g543_stage1_seed_1106_1145,2,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,real_solver_execution_required,False,False,False,False,False,,,
g543_stage1_plan_00000003,maze-32-32-4|50|1106|500,maze-32-32-4,maze,50,1106,1100_1119,500,g543_stage1_seed_1106_1145,g543_stage1_seed_1106_1145,2,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,real_solver_execution_required,False,False,False,False,False,,,
g543_stage1_plan_00000004,maze-32-32-4|50|1106|500,maze-32-32-4,maze,50,1106,1100_1119,500,g543_stage1_seed_1106_1145,g543_stage1_seed_1106_1145,2,pareto_static_lattice,repair5g59_static_flow_shield,repair5g59_static_flow_shield,real_solver_execution_required,False,False,False,False,False,,,
g543_stage1_plan_00000005,maze-32-32-4|50|1106|500,maze-32-32-4,maze,50,1106,1100_1119,500,g543_stage1_seed_1106_1145,g543_stage1_seed_1106_1145,2,candidate::repair5g543_evt_wait_traffic_penalize_009,repair5g543_evt_wait_traffic_penalize_009,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p2_max0p5_c0,real_solver_execution_required,False,False,False,False,False,wait_in_traffic_penalizers,wait_in_traffic,corridor
g543_stage1_plan_00000006,maze-32-32-4|50|1106|500,maze-32-32-4,maze,50,1106,1100_1119,500,g543_stage1_seed_1106_1145,g543_stage1_seed_1106_1145,2,candidate::repair5g543_evt_wait_traffic_penalize_010,repair5g543_evt_wait_traffic_penalize_010,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p2_max0p75_c0,real_solver_execution_required,False,False,False,False,False,wait_in_traffic_penalizers,wait_in_traffic,corridor
g543_stage1_plan_00000007,maze-32-32-4|50|1106|500,maze-32-32-4,maze,50,1106,1100_1119,500,g543_stage1_seed_1106_1145,g543_stage1_seed_1106_1145,2,candidate::repair5g543_evt_wait_traffic_penalize_011,repair5g543_evt_wait_traffic_penalize_011,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p35_max0p5_c0,real_solver_execution_required,False,False,False,False,False,wait_in_traffic_penalizers,wait_in_traffic,corridor
g543_stage1_plan_00000008,maze-32-32-4|50|1106|500,maze-32-32-4,maze,50,1106,1100_1119,500,g543_stage1_seed_1106_1145,g543_stage1_seed_1106_1145,2,candidate::repair5g543_evt_wait_traffic_penalize_012,repair5g543_evt_wait_traffic_penalize_012,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p35_max0p75_c0,real_solver_execution_required,False,False,False,False,False,wait_in_traffic_penalizers,wait_in_traffic,corridor
g543_stage1_plan_00000009,maze-32-32-4|50|1106|500,maze-32-32-4,maze,50,1106,1100_1119,500,g543_stage1_seed_1106_1145,g543_stage1_seed_1106_1145,2,candidate::repair5g543_evt_commit_progress_flow_001,repair5g543_evt_commit_progress_flow_001,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc0p95_df1p00_beta0p45_max0p75_c0,real_solver_execution_required,False,False,False,False,False,committed_progress_flow_boosters,committed_progress,goal_progress
