g543_stage1_row_id,context_budget_iteration_key,context_key,role,planned_candidate_id,planned_method,materialized_candidate_id,materialization_source,raw_solver_result_id,source_round,commit,branch,dirty_state,binary_path,method,method_alias,candidate_id,update_params_fingerprint,map,map_family,agents,seed,budget_ms,ltm_max_iterations,iteration,solution_found,sum_of_loss_ratio,time_to_first_solution,expanded_nodes,high_level_expansions,low_level_pibt_calls,trace_event_count,pibt_failure_audit_count,traffic_before_hash,traffic_after_hash,raw_checkpoint_source,trace_backend,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g543_stage1_00000000,maze-32-32-4|50|1106|500|final,maze-32-32-4|50|1106|500,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000000,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b500__i2,repair5g59_additive_fallback,,maze-32-32-4,maze,50,1106,500,2,final,True,1.17576318224,304,107,106,5250,5661,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000001,maze-32-32-4|50|1106|500|final,maze-32-32-4|50|1106|500,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000001,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b500__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,50,1106,500,2,final,True,1.17576318224,329,103,102,5050,5454,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000002,maze-32-32-4|50|1106|500|final,maze-32-32-4|50|1106|500,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000003,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe__b500__i2,repair5g59_high_beta_cap_safe,,maze-32-32-4,maze,50,1106,500,2,final,True,1.17576318224,321,103,102,5050,5454,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000003,maze-32-32-4|50|1106|500|final,maze-32-32-4|50|1106|500,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000002,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap__b500__i2,repair5g59_low_beta_high_cap,,maze-32-32-4,maze,50,1106,500,2,final,True,1.17576318224,324,103,102,5050,5454,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000004,maze-32-32-4|50|1106|500|final,maze-32-32-4|50|1106|500,pareto_static_lattice,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000001,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b500__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,50,1106,500,2,final,True,1.17576318224,329,103,102,5050,5454,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000005,maze-32-32-4|50|1106|500|final,maze-32-32-4|50|1106|500,candidate::repair5g543_evt_wait_traffic_penalize_009,repair5g543_evt_wait_traffic_penalize_009,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p2_max0p5_c0,repair5g543_evt_wait_traffic_penalize_009,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000007,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p2_max0p5_c0,repair5g543_evt_wait_traffic_penalize_009__b500__i2,repair5g543_evt_wait_traffic_penalize_009,,maze-32-32-4,maze,50,1106,500,2,final,True,1.17576318224,310,103,102,5050,5454,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000006,maze-32-32-4|50|1106|500|final,maze-32-32-4|50|1106|500,candidate::repair5g543_evt_wait_traffic_penalize_010,repair5g543_evt_wait_traffic_penalize_010,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p2_max0p75_c0,repair5g543_evt_wait_traffic_penalize_010,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000006,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p2_max0p75_c0,repair5g543_evt_wait_traffic_penalize_010__b500__i2,repair5g543_evt_wait_traffic_penalize_010,,maze-32-32-4,maze,50,1106,500,2,final,True,1.17576318224,305,103,102,5050,5454,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000007,maze-32-32-4|50|1106|500|final,maze-32-32-4|50|1106|500,candidate::repair5g543_evt_wait_traffic_penalize_011,repair5g543_evt_wait_traffic_penalize_011,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p35_max0p5_c0,repair5g543_evt_wait_traffic_penalize_011,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000005,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p35_max0p5_c0,repair5g543_evt_wait_traffic_penalize_011__b500__i2,repair5g543_evt_wait_traffic_penalize_011,,maze-32-32-4,maze,50,1106,500,2,final,True,1.17576318224,317,103,102,5050,5454,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000008,maze-32-32-4|50|1106|500|final,maze-32-32-4|50|1106|500,candidate::repair5g543_evt_wait_traffic_penalize_012,repair5g543_evt_wait_traffic_penalize_012,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p35_max0p75_c0,repair5g543_evt_wait_traffic_penalize_012,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000004,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p05_b1p15_f1p00_w1p3_dc0p92_df1p00_beta0p35_max0p75_c0,repair5g543_evt_wait_traffic_penalize_012__b500__i2,repair5g543_evt_wait_traffic_penalize_012,,maze-32-32-4,maze,50,1106,500,2,final,True,1.17576318224,293,103,102,5050,5454,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000009,maze-32-32-4|50|1106|500|final,maze-32-32-4|50|1106|500,candidate::repair5g543_evt_commit_progress_flow_001,repair5g543_evt_commit_progress_flow_001,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc0p95_df1p00_beta0p45_max0p75_c0,repair5g543_evt_commit_progress_flow_001,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000008,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc0p95_df1p00_beta0p45_max0p75_c0,repair5g543_evt_commit_progress_flow_001__b500__i2,repair5g543_evt_commit_progress_flow_001,,maze-32-32-4,maze,50,1106,500,2,final,True,1.17576318224,341,103,102,5050,5454,,,,,real_solver_trace,False,False,False,False,False
