stage,candidate_id,candidate_group,event_condition,edge_class,method,support_pairs,seed_block_support,context_support,vs_pareto_lattice_pairs,vs_pareto_lattice_success_regression_count,vs_pareto_lattice_success_gain_count,vs_pareto_lattice_both_fail_count,vs_pareto_lattice_quality_only_pairs,vs_pareto_lattice_quality_only_mean_delta,vs_pareto_lattice_quality_only_median_delta,vs_pareto_lattice_quality_ci_low,vs_pareto_lattice_quality_ci_high,vs_pareto_lattice_mean_corrected_delta,vs_pareto_lattice_better_count,vs_pareto_lattice_equal_count,vs_pareto_lattice_worse_count,vs_pareto_lattice_safe_high_margin_count,vs_pareto_lattice_safe_low_margin_count,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count,vs_additive_pairs,vs_additive_success_regression_count,vs_additive_success_gain_count,vs_additive_both_fail_count,vs_additive_quality_only_pairs,vs_additive_quality_only_mean_delta,vs_additive_quality_only_median_delta,vs_additive_quality_ci_low,vs_additive_quality_ci_high,vs_additive_mean_corrected_delta,vs_additive_better_count,vs_additive_equal_count,vs_additive_worse_count,vs_additive_safe_high_margin_count,vs_additive_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,region_status
stage1,repair5g543_evt_blocked_open_penalize_003,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p5_c0,80,3,80,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,safe_useful_supported
stage1,repair5g543_evt_blocked_open_penalize_004,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,80,3,80,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,safe_useful_supported
stage1,repair5g543_evt_blocked_open_penalize_005,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p98_df1p00_beta0p25_max0p5_c0,80,3,80,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,safe_useful_supported
stage1,repair5g543_evt_blocked_open_penalize_006,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p98_df1p00_beta0p25_max0p75_c0,80,3,80,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,safe_useful_supported
stage1,repair5g543_evt_blocked_open_penalize_007,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p98_df1p00_beta0p35_max0p5_c0,80,3,80,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,safe_useful_supported
stage1,repair5g543_evt_blocked_open_penalize_008,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p98_df1p00_beta0p35_max0p75_c0,80,3,80,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,80,0,0,40,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,safe_useful_supported
stage1,repair5g543_evt_blocked_open_penalize_012,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p9_dc0p95_df1p00_beta0p35_max0p75_c0,120,3,120,120,0,0,40,80,-0.000225459851125,0,-0.000225459851125,-0.000225459851125,-0.000150306567417,7,66,7,7,3,120,0,0,40,80,-0.000225459851125,0,-0.000225459851125,-0.000225459851125,-0.000150306567417,7,66,7,7,3,120,0,0,40,80,0.00095619593225,0,0.00095619593225,0.00095619593225,0.000637463954833,10,56,14,10,0,120,0,0,40,80,-0.00767340873225,0,-0.00767340873225,-0.00767340873225,-0.0051156058215,16,63,1,16,2,False,False,False,False,False,safe_useful_supported
stage1,repair5g543_evt_nonprogress_penalty_003,nonprogress_commit_penalizers,committed_nonprogress,lateral,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p92_df1p00_beta0p35_max0p35_c0,80,3,80,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,False,False,False,False,False,safe_useful_supported
stage1,repair5g543_evt_nonprogress_penalty_004,nonprogress_commit_penalizers,committed_nonprogress,lateral,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p92_df1p00_beta0p35_max0p6_c0,80,3,80,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,False,False,False,False,False,safe_useful_supported
stage1,repair5g543_evt_nonprogress_penalty_005,nonprogress_commit_penalizers,committed_nonprogress,lateral,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p96_df1p00_beta0p2_max0p35_c0,80,3,80,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,False,False,False,False,False,safe_useful_supported
stage1,repair5g543_evt_nonprogress_penalty_006,nonprogress_commit_penalizers,committed_nonprogress,lateral,repair5g518_grid_c1p35_b1p1_f1p00_w0p85_dc0p96_df1p00_beta0p2_max0p6_c0,80,3,80,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,0,0,0,80,0,0,0,False,False,False,False,False,safe_useful_supported
