stage,candidate_id,candidate_group,event_condition,edge_class,method,support_pairs,seed_block_support,context_support,vs_pareto_lattice_pairs,vs_pareto_lattice_success_regression_count,vs_pareto_lattice_success_gain_count,vs_pareto_lattice_both_fail_count,vs_pareto_lattice_quality_only_pairs,vs_pareto_lattice_quality_only_mean_delta,vs_pareto_lattice_quality_only_median_delta,vs_pareto_lattice_quality_ci_low,vs_pareto_lattice_quality_ci_high,vs_pareto_lattice_mean_corrected_delta,vs_pareto_lattice_better_count,vs_pareto_lattice_equal_count,vs_pareto_lattice_worse_count,vs_pareto_lattice_safe_high_margin_count,vs_pareto_lattice_safe_low_margin_count,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count,vs_additive_pairs,vs_additive_success_regression_count,vs_additive_success_gain_count,vs_additive_both_fail_count,vs_additive_quality_only_pairs,vs_additive_quality_only_mean_delta,vs_additive_quality_only_median_delta,vs_additive_quality_ci_low,vs_additive_quality_ci_high,vs_additive_mean_corrected_delta,vs_additive_better_count,vs_additive_equal_count,vs_additive_worse_count,vs_additive_safe_high_margin_count,vs_additive_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,region_status
stage1,repair5g543_edge_flowshield_conservative_001,flow_shield_conservative,committed_progress,corridor,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p95_df1p00_beta0p1_max0p25_c0,40,3,40,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_edge_flowshield_conservative_002,flow_shield_conservative,committed_progress,corridor,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p95_df1p00_beta0p1_max0p5_c0,40,3,40,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_edge_flowshield_conservative_003,flow_shield_conservative,committed_progress,corridor,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p95_df1p00_beta0p25_max0p25_c0,40,3,40,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_edge_flowshield_conservative_006,flow_shield_conservative,committed_progress,corridor,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p98_df1p00_beta0p1_max0p5_c0,40,3,40,40,1,0,3,36,0,0,0,0,0.00625,0,36,0,0,0,40,1,0,3,36,0,0,0,0,0.00625,0,36,0,0,0,40,2,0,2,36,0,0,0,0,0.0125,0,36,0,0,0,40,2,0,2,36,0,0,0,0,0.0125,0,36,0,0,0,False,False,False,False,False,unsafe_success_regression
stage1,repair5g543_edge_flowshield_conservative_007,flow_shield_conservative,committed_progress,corridor,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p98_df1p00_beta0p25_max0p25_c0,40,3,40,40,1,1,2,36,0,0,0,0,0,0,36,0,1,0,40,1,1,2,36,0,0,0,0,0,0,36,0,1,0,40,2,1,1,36,0,0,0,0,0.00625,0,36,0,1,0,40,2,1,1,36,0,0,0,0,0.00625,0,36,0,1,0,False,False,False,False,False,unsafe_success_regression
stage1,repair5g543_edge_flowshield_conservative_008,flow_shield_conservative,committed_progress,corridor,repair5g518_grid_c1p1_b1p1_f1p00_w0p65_dc0p98_df1p00_beta0p25_max0p5_c0,120,3,120,120,1,1,42,76,0.00278002936026,0,0.00278002936026,0.00278002936026,0.0017606852615,0,67,9,1,0,120,1,1,42,76,0.00278002936026,0,0.00278002936026,0.00278002936026,0.0017606852615,0,67,9,1,0,120,2,1,41,76,0.00482895986496,0,0.00482895986496,0.00482895986496,0.00514167458114,0,65,11,1,0,120,2,1,41,76,-0.000479246322763,0,-0.000479246322763,-0.000479246322763,0.00177981066225,2,74,0,3,2,False,False,False,False,False,unsafe_success_regression
stage1,repair5g543_edge_flowshield_conservative_009,flow_shield_conservative,committed_progress,corridor,repair5g518_grid_c1p1_b1p1_f1p00_w0p75_dc0p95_df1p00_beta0p1_max0p25_c0,120,3,120,120,0,1,42,77,0.0032169474274,0,0.0032169474274,0.0032169474274,-1.912540075e-05,0,68,9,1,0,120,0,1,42,77,0.0032169474274,0,0.0032169474274,0.0032169474274,-1.912540075e-05,0,68,9,1,0,120,1,1,41,77,0.00523926844503,0,0.00523926844503,0.00523926844503,0.00336186391889,0,66,11,1,0,120,1,1,41,77,0,0,0,0,0,0,77,0,1,0,False,False,False,False,False,unsafe_success_regression
stage1,repair5g543_edge_flowshield_conservative_010,flow_shield_conservative,committed_progress,corridor,repair5g518_grid_c1p1_b1p1_f1p00_w0p75_dc0p95_df1p00_beta0p1_max0p5_c0,120,3,120,120,0,1,42,77,0.00302807092021,0,0.00302807092021,0.00302807092021,-0.000140321159533,0,68,9,1,0,120,0,1,42,77,0.00302807092021,0,0.00302807092021,0.00302807092021,-0.000140321159533,0,68,9,1,0,120,1,1,41,77,0.00505039193783,0,0.00505039193783,0.00505039193783,0.00324066816011,0,66,11,1,0,120,1,1,41,77,-0.000188876507195,0,-0.000188876507195,-0.000188876507195,-0.000121195758783,1,76,0,2,2,False,False,False,False,False,unsafe_success_regression
stage1,repair5g543_edge_flowshield_conservative_011,flow_shield_conservative,committed_progress,corridor,repair5g518_grid_c1p1_b1p1_f1p00_w0p75_dc0p95_df1p00_beta0p25_max0p25_c0,160,3,160,160,0,1,82,77,0.0032169474274,0,0.0032169474274,0.0032169474274,-1.43440505625e-05,0,68,9,1,0,160,0,1,82,77,0.0032169474274,0,0.0032169474274,0.0032169474274,-1.43440505625e-05,0,68,9,1,0,160,1,1,81,77,0.00523926844503,0,0.00523926844503,0.00523926844503,0.00252139793917,0,66,11,1,0,160,1,1,81,77,0,0,0,0,0,0,77,0,1,0,False,False,False,False,False,unsafe_success_regression
stage1,repair5g543_edge_flowshield_conservative_012,flow_shield_conservative,committed_progress,corridor,repair5g518_grid_c1p1_b1p1_f1p00_w0p75_dc0p95_df1p00_beta0p25_max0p5_c0,160,3,160,160,0,1,82,77,0.00215257704631,0,0.00215257704631,0.00215257704631,-0.000526572296463,1,67,9,2,0,160,0,1,82,77,0.00215257704631,0,0.00215257704631,0.00215257704631,-0.000526572296463,1,67,9,2,0,160,1,1,81,77,0.00417489806394,0,0.00417489806394,0.00417489806394,0.00200916969327,0,66,11,1,0,160,1,1,81,77,-0.00106437038109,0,-0.00106437038109,-0.00106437038109,-0.0005122282459,4,73,0,5,1,False,False,False,False,False,unsafe_success_regression
