map_family,event_condition,observed_count_proxy,count_source,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze,blocked_bottleneck,2058504,g542_run_aggregate_or_dual_stats,False,False,False,False,False
maze,blocked_open_area,0,g542_run_aggregate_or_dual_stats,False,False,False,False,False
maze,wait_near_goal,783171,g542_run_aggregate_or_dual_stats,False,False,False,False,False
maze,wait_in_traffic,1464100,g542_run_aggregate_or_dual_stats,False,False,False,False,False
maze,committed_progress,5176358,g542_run_aggregate_or_dual_stats,False,False,False,False,False
maze,committed_nonprogress,565732,g542_run_aggregate_or_dual_stats,False,False,False,False,False
maze,wait_progress,783171,g542_run_aggregate_or_dual_stats,False,False,False,False,False
maze,wait_nonprogress,1464100,g542_run_aggregate_or_dual_stats,False,False,False,False,False
random,blocked_bottleneck,0,g542_run_aggregate_or_dual_stats,False,False,False,False,False
random,blocked_open_area,1039397,g542_run_aggregate_or_dual_stats,False,False,False,False,False
random,wait_near_goal,389987,g542_run_aggregate_or_dual_stats,False,False,False,False,False
random,wait_in_traffic,738213,g542_run_aggregate_or_dual_stats,False,False,False,False,False
random,committed_progress,3759039,g542_run_aggregate_or_dual_stats,False,False,False,False,False
random,committed_nonprogress,337154,g542_run_aggregate_or_dual_stats,False,False,False,False,False
random,wait_progress,389987,g542_run_aggregate_or_dual_stats,False,False,False,False,False
random,wait_nonprogress,738213,g542_run_aggregate_or_dual_stats,False,False,False,False,False
warehouse,blocked_bottleneck,61403,g542_run_aggregate_or_dual_stats,False,False,False,False,False
warehouse,blocked_open_area,0,g542_run_aggregate_or_dual_stats,False,False,False,False,False
warehouse,wait_near_goal,19847,g542_run_aggregate_or_dual_stats,False,False,False,False,False
warehouse,wait_in_traffic,25167,g542_run_aggregate_or_dual_stats,False,False,False,False,False
warehouse,committed_progress,506546,g542_run_aggregate_or_dual_stats,False,False,False,False,False
warehouse,committed_nonprogress,20244,g542_run_aggregate_or_dual_stats,False,False,False,False,False
warehouse,wait_progress,19847,g542_run_aggregate_or_dual_stats,False,False,False,False,False
warehouse,wait_nonprogress,25167,g542_run_aggregate_or_dual_stats,False,False,False,False,False
