column,lower_bound,upper_bound,bounded_output_transform,model_facing,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
theta_alpha_cong_commit_progress,0.0,1.5,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_alpha_cong_commit_nonprogress,0.5,1.75,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_alpha_cong_block,0.5,2.25,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_alpha_cong_wait_progress,0.0,1.25,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_alpha_cong_wait_nonprogress,0.0,1.75,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_alpha_flow_commit_progress,0.0,1.5,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_alpha_flow_wait_progress,0.0,1.25,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_rho_cong_decay,0.9,1.0,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_rho_flow_decay,0.9,1.0,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_lambda_cong,0.5,1.5,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_lambda_flow,0.0,1.5,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_flow_shield_beta,0.0,0.8,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_max_flow_shield,0.25,1.5,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_min_edge_cost,0.25,1.0,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_max_edge_cost,8.0,12.0,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_goal_projection_mode_flow_shield,0.0,1.0,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_goal_projection_mode_agent_progress,0.0,1.0,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
theta_goal_projection_mode_none,0.0,1.0,lo + (hi - lo) * sigmoid(z),True,False,False,False,False,False
