region_id,sampling_policy,materialized_method,region_status,support,seed_block_support,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_better_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_quality_only_mean_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
broad_sobol_lhs|repair5g518_grid_c0p00_b2p00_f0p07_w1p67_dc0p91_df1p00_beta0p09_max1p01_c0,broad_sobol_lhs,repair5g518_grid_c0p00_b2p00_f0p07_w1p67_dc0p91_df1p00_beta0p09_max1p01_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p01_b0p87_f0p71_w1p29_dc0p99_df0p98_beta0p59_max1p37_c0,broad_sobol_lhs,repair5g518_grid_c0p01_b0p87_f0p71_w1p29_dc0p99_df0p98_beta0p59_max1p37_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p01_b0p97_f0p7_w0p53_dc0p93_df0p92_beta0p09_max0p45_c0,broad_sobol_lhs,repair5g518_grid_c0p01_b0p97_f0p7_w0p53_dc0p93_df0p92_beta0p09_max0p45_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p01_b1p37_f1p07_w1p11_dc0p97_df1p00_beta0p35_max1p27_c0,broad_sobol_lhs,repair5g518_grid_c0p01_b1p37_f1p07_w1p11_dc0p97_df1p00_beta0p35_max1p27_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p01_b1p65_f1p48_w0p2_dc0p92_df0p98_beta0p5_max0p43_c0,broad_sobol_lhs,repair5g518_grid_c0p01_b1p65_f1p48_w0p2_dc0p92_df0p98_beta0p5_max0p43_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p01_b1p69_f0p62_w1p47_dc0p96_df0p94_beta0p29_max1p46_c0,broad_sobol_lhs,repair5g518_grid_c0p01_b1p69_f0p62_w1p47_dc0p96_df0p94_beta0p29_max1p46_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p02_b1p03_f0p78_w1p35_dc0p95_df0p95_beta0p42_max1p3_c0,broad_sobol_lhs,repair5g518_grid_c0p02_b1p03_f0p78_w1p35_dc0p95_df0p95_beta0p42_max1p3_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p02_b1p7_f1p25_w0p02_dc0p99_df0p94_beta0p02_max1p04_c0,broad_sobol_lhs,repair5g518_grid_c0p02_b1p7_f1p25_w0p02_dc0p99_df0p94_beta0p02_max1p04_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p03_b0p83_f0p98_w0p26_dc0p94_df0p95_beta0p54_max1p49_c0,broad_sobol_lhs,repair5g518_grid_c0p03_b0p83_f0p98_w0p26_dc0p94_df0p95_beta0p54_max1p49_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p04_b0p74_f0p8_w0p18_dc0p96_df0p91_beta0p61_max0p85_c0,broad_sobol_lhs,repair5g518_grid_c0p04_b0p74_f0p8_w0p18_dc0p96_df0p91_beta0p61_max0p85_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p04_b0p82_f0p92_w1p5_dc0p99_df0p95_beta0p55_max1p12_c0,broad_sobol_lhs,repair5g518_grid_c0p04_b0p82_f0p92_w1p5_dc0p99_df0p95_beta0p55_max1p12_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p04_b1p7_f1p09_w0p67_dc0p95_df0p97_beta0p43_max0p82_c0,broad_sobol_lhs,repair5g518_grid_c0p04_b1p7_f1p09_w0p67_dc0p95_df0p97_beta0p43_max0p82_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
broad_sobol_lhs|repair5g518_grid_c0p05_b0p83_f0p9_w1p61_dc0p99_df0p98_beta0p1_max0p53_c0,broad_sobol_lhs,repair5g518_grid_c0p05_b0p83_f0p9_w1p61_dc0p99_df0p98_beta0p1_max0p53_c0,under_supported,1,1,1,0,0,0,0,0,,False,False,False,False,False
