route,sampling_policy,planned_rows,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
B1_core_evaluable_topup,baseline,3600,False,False,False,False,False
B1_core_evaluable_topup,calibration_fulltheta::alpha_cong_commit_nonprogress_sweep,3600,False,False,False,False,False
B1_core_evaluable_topup,calibration_fulltheta::alpha_flow_wait_progress_sweep,3600,False,False,False,False,False
B1_core_evaluable_topup,calibration_fulltheta::edge_cost_clamp_sweep,3600,False,False,False,False,False
B1_core_evaluable_topup,calibration_fulltheta::g543_true_near_signal_neighborhood,3600,False,False,False,False,False
B1_core_evaluable_topup,calibration_fulltheta::g546_g548_safe_no_gain_neighborhood,2400,False,False,False,False,False
B1_core_evaluable_topup,calibration_fulltheta::goal_projection_mode_ablation,3600,False,False,False,False,False
B1_core_evaluable_topup,calibration_fulltheta::lambda_flow_lambda_cong_sweep,3600,False,False,False,False,False
B1_core_evaluable_topup,calibration_fulltheta::negative_control,2400,False,False,False,False,False
B1_core_evaluable_topup,calibration_fulltheta::static_flow_local_perturbation_fulltheta,3600,False,False,False,False,False
B1_core_evaluable_topup,calibration_fulltheta::surrogate_guided_theta_if_model_exists,2400,False,False,False,False,False
B2_hard_stratum_recovery,baseline,336,False,False,False,False,False
B2_hard_stratum_recovery,calibration_fulltheta::alpha_cong_commit_nonprogress_sweep,336,False,False,False,False,False
B2_hard_stratum_recovery,calibration_fulltheta::alpha_flow_wait_progress_sweep,336,False,False,False,False,False
B2_hard_stratum_recovery,calibration_fulltheta::edge_cost_clamp_sweep,336,False,False,False,False,False
B2_hard_stratum_recovery,calibration_fulltheta::g543_true_near_signal_neighborhood,336,False,False,False,False,False
B2_hard_stratum_recovery,calibration_fulltheta::g546_g548_safe_no_gain_neighborhood,224,False,False,False,False,False
B2_hard_stratum_recovery,calibration_fulltheta::goal_projection_mode_ablation,336,False,False,False,False,False
B2_hard_stratum_recovery,calibration_fulltheta::lambda_flow_lambda_cong_sweep,336,False,False,False,False,False
B2_hard_stratum_recovery,calibration_fulltheta::negative_control,224,False,False,False,False,False
B2_hard_stratum_recovery,calibration_fulltheta::static_flow_local_perturbation_fulltheta,336,False,False,False,False,False
B2_hard_stratum_recovery,calibration_fulltheta::surrogate_guided_theta_if_model_exists,224,False,False,False,False,False
