plan_row_id,panel,route,context_id,map,map_family,agents,seed,budget_ms,nominal_budget_ms,horizon_id,short_budget_ms,base_time_limit_sec,ltm_max_iterations,fresh_seed_block,source,role,candidate_id,materialized_method,sampling_policy,theta_cluster,counts_as_g550_fulltheta_expansion,counts_as_g550_active_theta_search,counts_as_g550_iteration_counterfactual_label,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,candidate_group,registry_label,fulltheta_registry_row_id
g550_fulltheta_expansion_00000000,fulltheta_expansion,C1_core_replication,random|a100|s1520|b2000|c0_short2000_t050_i2,random-32-32-20,random,100,1520,2000,2000,c0_short2000_t050_i2,2000,0.5,2,1520_1539,g550_fresh_core_replication,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,baseline,additive_ltm,True,False,False,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,False,False,False,False,False,,,
g550_fulltheta_expansion_00000001,fulltheta_expansion,C1_core_replication,random|a100|s1520|b2000|c0_short2000_t050_i2,random-32-32-20,random,100,1520,2000,2000,c0_short2000_t050_i2,2000,0.5,2,1520_1539,g550_fresh_core_replication,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,baseline,static_flow_shield,True,False,False,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,,,
g550_fulltheta_expansion_00000002,fulltheta_expansion,C1_core_replication,random|a100|s1520|b2000|c0_short2000_t050_i2,random-32-32-20,random,100,1520,2000,2000,c0_short2000_t050_i2,2000,0.5,2,1520_1539,g550_fresh_core_replication,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,baseline,frozen_family_static_goal_aware,True,False,False,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.6,0.75,1,11,1,0,0,False,False,False,False,False,,,
g550_fulltheta_expansion_00000003,fulltheta_expansion,C1_core_replication,random|a100|s1520|b2000|c0_short2000_t050_i2,random-32-32-20,random,100,1520,2000,2000,c0_short2000_t050_i2,2000,0.5,2,1520_1539,g550_fresh_core_replication,generated_theta::repair5g550_theta_550000001,repair5g550_theta_550000001,repair5g550_theta_550000001,g549_true_region_centroid,g549_true_region_centroid,True,False,False,1.25,1.13431216672,1.25,0.75,0.75,1,1,0.95,1,0.992699831842,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,g549_true_region_centroid,centroid_0000,g550_registry_000001
g550_fulltheta_expansion_00000004,fulltheta_expansion,C1_core_replication,random|a100|s1520|b2000|c0_short2000_t050_i2,random-32-32-20,random,100,1520,2000,2000,c0_short2000_t050_i2,2000,0.5,2,1520_1539,g550_fresh_core_replication,generated_theta::repair5g550_theta_550000002,repair5g550_theta_550000002,repair5g550_theta_550000002,conservative_shrinkage_25,conservative_shrinkage_25,True,False,False,1.25,1.22107804168,1.25,0.75,0.75,1,1,0.95,1,0.99817495796,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,conservative_shrinkage_25,shrink_25_0001,g550_registry_000002
g550_fulltheta_expansion_00000005,fulltheta_expansion,C1_core_replication,random|a100|s1520|b2000|c0_short2000_t050_i2,random-32-32-20,random,100,1520,2000,2000,c0_short2000_t050_i2,2000,0.5,2,1520_1539,g550_fresh_core_replication,generated_theta::repair5g550_theta_550000003,repair5g550_theta_550000003,repair5g550_theta_550000003,conservative_shrinkage_50,conservative_shrinkage_50,True,False,False,1.25,1.19215608336,1.25,0.75,0.75,1,1,0.95,1,0.996349915921,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,conservative_shrinkage_50,shrink_50_0002,g550_registry_000003
g550_fulltheta_expansion_00000006,fulltheta_expansion,C1_core_replication,random|a100|s1520|b2000|c0_short2000_t050_i2,random-32-32-20,random,100,1520,2000,2000,c0_short2000_t050_i2,2000,0.5,2,1520_1539,g550_fresh_core_replication,generated_theta::repair5g550_theta_550000004,repair5g550_theta_550000004,repair5g550_theta_550000004,conservative_shrinkage_75,conservative_shrinkage_75,True,False,False,1.25,1.16323412504,1.25,0.75,0.75,1,1,0.95,1,0.994524873881,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,conservative_shrinkage_75,shrink_75_0003,g550_registry_000004
g550_fulltheta_expansion_00000007,fulltheta_expansion,C1_core_replication,random|a100|s1520|b2000|c0_short2000_t050_i2,random-32-32-20,random,100,1520,2000,2000,c0_short2000_t050_i2,2000,0.5,2,1520_1539,g550_fresh_core_replication,generated_theta::repair5g550_theta_550000005,repair5g550_theta_550000005,repair5g550_theta_550000005,g549_true_region_best_examples,g549_true_region_best_examples,True,False,False,1.25,1.42825314349,1.25,0.75,0.75,1,1,0.95,1,0.678355643289,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,g549_true_region_best_examples,best_0_0004,g550_registry_000005
g550_fulltheta_expansion_00000008,fulltheta_expansion,C1_core_replication,random|a100|s1520|b2000|c0_short2000_t050_i2,random-32-32-20,random,100,1520,2000,2000,c0_short2000_t050_i2,2000,0.5,2,1520_1539,g550_fresh_core_replication,generated_theta::repair5g550_theta_550000006,repair5g550_theta_550000006,repair5g550_theta_550000006,g549_true_region_best_examples,g549_true_region_best_examples,True,False,False,1.25,0.972530304939,1.25,0.75,0.75,1,1,0.95,1,0.567225865548,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,g549_true_region_best_examples,best_1_0005,g550_registry_000006
g550_fulltheta_expansion_00000009,fulltheta_expansion,C1_core_replication,random|a100|s1520|b2000|c0_short2000_t050_i2,random-32-32-20,random,100,1520,2000,2000,c0_short2000_t050_i2,2000,0.5,2,1520_1539,g550_fresh_core_replication,generated_theta::repair5g550_theta_550000007,repair5g550_theta_550000007,repair5g550_theta_550000007,g549_true_region_best_examples,g549_true_region_best_examples,True,False,False,1.25,0.50001499997,1.25,0.75,0.75,1,1,0.95,1,0.674627650745,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,g549_true_region_best_examples,best_2_0006,g550_registry_000007
