context_key,map_family,agents,seed,nominal_budget_ms,horizon_id,candidate_theta_rows,best_delta_vs_static_flow,mean_delta_vs_static_flow,has_safe_useful_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|100|2023|2000|0|14650fb0739d0383,maze,100,2023,2000,iter_cf_short2000_t050_i2,16,-0.14049399502,-0.0295943802433,True,False,False,False,False,False
maze-32-32-4|100|2029|2000|0|14650fb0739d0383,maze,100,2029,2000,iter_cf_short2000_t050_i2,16,0.00950570342,0.0533062024738,False,False,False,False,False,False
maze-32-32-4|100|2035|2000|0|14650fb0739d0383,maze,100,2035,2000,iter_cf_short2000_t050_i2,16,-0.06967517977,-0.0311957599825,True,False,False,False,False,False
maze-32-32-4|100|2041|2000|0|14650fb0739d0383,maze,100,2041,2000,iter_cf_short2000_t050_i2,16,0.01178010471,0.129450261781,False,False,False,False,False,False
maze-32-32-4|100|2047|2000|0|14650fb0739d0383,maze,100,2047,2000,iter_cf_short2000_t050_i2,16,-0.00304491246,0.464114925922,True,False,False,False,False,False
maze-32-32-4|100|2053|2000|0|14650fb0739d0383,maze,100,2053,2000,iter_cf_short2000_t050_i2,16,-0.00045568466,0.162254120153,True,False,False,False,False,False
maze-32-32-4|100|2059|2000|0|14650fb0739d0383,maze,100,2059,2000,iter_cf_short2000_t050_i2,16,-0.01918872966,0.293189822685,True,False,False,False,False,False
maze-32-32-4|100|2065|2000|0|14650fb0739d0383,maze,100,2065,2000,iter_cf_short2000_t050_i2,16,-0.03221446271,0.270878254436,True,False,False,False,False,False
maze-32-32-4|100|2071|2000|0|14650fb0739d0383,maze,100,2071,2000,iter_cf_short2000_t050_i2,16,0.0044576523,0.165791646031,False,False,False,False,False,False
maze-32-32-4|100|2077|2000|0|14650fb0739d0383,maze,100,2077,2000,iter_cf_short2000_t050_i2,16,0.03316831684,0.169768976903,False,False,False,False,False,False
maze-32-32-4|100|2083|2000|0|14650fb0739d0383,maze,100,2083,2000,iter_cf_short2000_t050_i2,16,-0.04358013121,0.0761480787225,True,False,False,False,False,False
maze-32-32-4|100|2089|2000|0|14650fb0739d0383,maze,100,2089,2000,iter_cf_short2000_t050_i2,16,-0.01844919786,0.148823529417,True,False,False,False,False,False
maze-32-32-4|100|2095|2000|0|14650fb0739d0383,maze,100,2095,2000,iter_cf_short2000_t050_i2,16,-0.01167701864,0.120124223598,True,False,False,False,False,False
maze-32-32-4|100|2101|2000|0|14650fb0739d0383,maze,100,2101,2000,iter_cf_short2000_t050_i2,16,0.01740976645,0.0867232837907,False,False,False,False,False,False
maze-32-32-4|100|2107|2000|0|14650fb0739d0383,maze,100,2107,2000,iter_cf_short2000_t050_i2,16,,,False,False,False,False,False,False
maze-32-32-4|100|2113|2000|0|14650fb0739d0383,maze,100,2113,2000,iter_cf_short2000_t050_i2,16,0.02890899949,0.107811714424,False,False,False,False,False,False
maze-32-32-4|100|2119|2000|0|14650fb0739d0383,maze,100,2119,2000,iter_cf_short2000_t050_i2,16,-0.03039766813,0.110666944269,True,False,False,False,False,False
maze-32-32-4|100|2125|2000|0|14650fb0739d0383,maze,100,2125,2000,iter_cf_short2000_t050_i2,16,,,False,False,False,False,False,False
maze-32-32-4|100|2131|2000|0|14650fb0739d0383,maze,100,2131,2000,iter_cf_short2000_t050_i2,16,-0.01194805195,0.142240259741,True,False,False,False,False,False
maze-32-32-4|100|2137|2000|0|14650fb0739d0383,maze,100,2137,2000,iter_cf_short2000_t050_i2,16,0.00158353128,0.115789726244,False,False,False,False,False,False
maze-32-32-4|100|2143|2000|0|14650fb0739d0383,maze,100,2143,2000,iter_cf_short2000_t050_i2,16,-0.01320754717,0.10282120395,True,False,False,False,False,False
maze-32-32-4|100|2149|2000|0|14650fb0739d0383,maze,100,2149,2000,iter_cf_short2000_t050_i2,16,-0.08016877638,0.0828214197037,True,False,False,False,False,False
maze-32-32-4|100|2155|2000|0|14650fb0739d0383,maze,100,2155,2000,iter_cf_short2000_t050_i2,16,-0.10498753118,0.111575228591,True,False,False,False,False,False
maze-32-32-4|100|2161|2000|0|14650fb0739d0383,maze,100,2161,2000,iter_cf_short2000_t050_i2,16,0.00828056503,0.11630845105,False,False,False,False,False,False
maze-32-32-4|100|2167|2000|0|14650fb0739d0383,maze,100,2167,2000,iter_cf_short2000_t050_i2,16,-0.03732162458,0.239187705822,True,False,False,False,False,False
maze-32-32-4|100|2173|2000|0|14650fb0739d0383,maze,100,2173,2000,iter_cf_short2000_t050_i2,16,-0.02989463366,0.137695009398,True,False,False,False,False,False
maze-32-32-4|100|2179|2000|0|14650fb0739d0383,maze,100,2179,2000,iter_cf_short2000_t050_i2,16,-0.0252116651,0.141309971776,True,False,False,False,False,False
maze-32-32-4|100|2185|2000|0|14650fb0739d0383,maze,100,2185,2000,iter_cf_short2000_t050_i2,16,0.01075022873,0.221080169258,False,False,False,False,False,False
maze-32-32-4|100|2191|2000|0|14650fb0739d0383,maze,100,2191,2000,iter_cf_short2000_t050_i2,16,-0.03475103735,0.151089211615,True,False,False,False,False,False
maze-32-32-4|100|2197|2000|0|14650fb0739d0383,maze,100,2197,2000,iter_cf_short2000_t050_i2,16,0.00282631038,0.14885234669,False,False,False,False,False,False
maze-32-32-4|100|2203|2000|0|14650fb0739d0383,maze,100,2203,2000,iter_cf_short2000_t050_i2,16,0.01288723668,0.367021891781,False,False,False,False,False,False
maze-32-32-4|100|2209|2000|0|14650fb0739d0383,maze,100,2209,2000,iter_cf_short2000_t050_i2,16,0.02641856191,0.372688375836,False,False,False,False,False,False
maze-32-32-4|100|2215|2000|0|14650fb0739d0383,maze,100,2215,2000,iter_cf_short2000_t050_i2,16,-0.01478494624,0.0982825567473,True,False,False,False,False,False
maze-32-32-4|50|2020|2000|0|14650fb0739d0383,maze,50,2020,2000,iter_cf_short2000_t050_i2,16,0.00595829196,0.0255710029781,False,False,False,False,False,False
maze-32-32-4|50|2026|2000|0|14650fb0739d0383,maze,50,2026,2000,iter_cf_short2000_t050_i2,16,-0.0728962818,0.0206702544081,True,False,False,False,False,False
