registry_row_id,candidate_id,registry_label,candidate_group,theta_cluster,source_candidate,source_context_key,bounded_updateparams,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g551_registry_551000001,repair5g551_theta_551000001,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000076,random-32-32-20|50|1820|2000|0|14650fb0739d0383,True,1.25,1.475,1.25,0.75,0.75,1,0.8,0.95,1,1.12,1.11,0.4095,0.87,0.747053431729,9.10444194836,1,0,0,False,False,False,False,False
g551_registry_551000002,repair5g551_theta_551000002,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000079,random-32-32-20|50|1820|2000|0|14650fb0739d0383,True,1.25,1.475,1.25,0.75,0.75,1,1.19,0.95,1,0.89,0.91,0.329,0.8775,0.721513143465,8.90212101617,1,0,0,False,False,False,False,False
g551_registry_551000003,repair5g551_theta_551000003,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000080,random-32-32-20|50|1820|2000|0|14650fb0739d0383,True,1.25,1.45,1.25,0.75,0.75,1,0.83,0.95,1,0.83,1.11,0.392,0.87,0.683202711069,10.925330338,1,0,0,False,False,False,False,False
g551_registry_551000004,repair5g551_theta_551000004,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000082,random-32-32-20|50|1820|2000|0|14650fb0739d0383,True,1.25,1.2,1.25,0.75,0.75,1,1.14,0.95,1,0.81,0.88,0.322,0.795,0.574656485946,11.936934999,1,0,0,False,False,False,False,False
g551_registry_551000005,repair5g551_theta_551000005,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000083,random-32-32-20|50|1820|2000|0|14650fb0739d0383,True,1.25,1.5,1.25,0.75,0.75,1,0.96,0.95,1,0.82,0.92,0.4025,0.6525,0.529960981483,11.4311326685,1,0,0,False,False,False,False,False
g551_registry_551000006,repair5g551_theta_551000006,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000086,random-32-32-20|50|1820|2000|0|14650fb0739d0383,True,1.25,1.425,1.25,0.75,0.75,1,0.8,0.95,1,1.05,0.84,0.3955,0.81,0.77897879206,9.71140474492,1,0,0,False,False,False,False,False
g551_registry_551000007,repair5g551_theta_551000007,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000088,random-32-32-20|50|1820|2000|0|14650fb0739d0383,True,1.25,1.15,1.25,0.75,0.75,1,1.1,0.95,1,0.82,1.06,0.3745,0.8925,0.56827141388,9.50908381273,1,0,0,False,False,False,False,False
g551_registry_551000008,repair5g551_theta_551000008,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000090,random-32-32-20|50|1820|2000|0|14650fb0739d0383,True,1.25,1.025,1.25,0.75,0.75,1,1.21,0.95,1,0.91,0.95,0.392,0.81,0.708742999333,9.20560241445,1,0,0,False,False,False,False,False
g551_registry_551000009,repair5g551_theta_551000009,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000062,random-32-32-20|50|1820|2000|0|14650fb0739d0383,True,1.25,1.4875,1.25,0.75,0.75,1,0.700657335496,0.95,1,0.78,0.884336695637,0.4095,0.87,0.93,10.34,1,0,0,False,False,False,False,False
g551_registry_551000010,repair5g551_theta_551000010,g550_targeted_safe_useful_theta,g550_safe_useful_positive,g550_safe_useful_positive,repair5g550_theta_550000063,random-32-32-20|50|1820|2000|0|14650fb0739d0383,True,1.25,1.0625,1.25,0.75,0.75,1,0.46908414834,0.95,1,0.85,0.622880629101,0.3675,0.72,1,10.45,1,0,0,False,False,False,False,False
