artifact,path,exists,rows_or_file,bytes,sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g550_decision_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g550_decision_summary.json,True,1,1574,0d92c2c2ba48973945b9d7ce03339e05ccb8a6926fedc1f2b643315c522c1ad4,False,False,False,False,False
g550_fulltheta_expansion_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g550_fulltheta_expansion_summary.json,True,1,1161,8f60a20501329fdc6ecaa49e12b3293a5ea6b32db35de24407e795c9a442c9a8,False,False,False,False,False
g550_active_theta_search_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g550_active_theta_search_summary.json,True,1,1132,7caebcba76c3761c517e1b1cc3f7c3b345132418cc7b5bbfc6e055a91b81a81d,False,False,False,False,False
g550_policy_family_suite_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g550_policy_family_suite_summary.json,True,1,982,43155e2d6914f2c9d6b8c111ec381656c67bdf65a1adef7c2c5f037abee7f5bb,False,False,False,False,False
g550_generated_theta_targeted_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g550_generated_theta_targeted_summary.json,True,1,1032,d9070c0ce6015710fea06f6d263e1cc4209ad04fe4b90732a7a635b937a893ae,False,False,False,False,False
g550_iteration_counterfactual_label_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g550_iteration_counterfactual_label_summary.json,True,1,1558,4b159a01309a1e2329cf7be401246dcfb2cf8648930c5972c8a8de639c6655a4,False,False,False,False,False
g550_targeted_failure_cases,C:\PROGRAMING\czr004\outputs\tables\phase5p5_repair5g550_generated_theta_targeted_failure_cases.csv,True,599,443112,0159654e91ca662de61e417e90aeedfd51e840f5a72e1dfc1df04abfa455dfdd,False,False,False,False,False
g550_fulltheta_replication_by_stratum,C:\PROGRAMING\czr004\outputs\tables\phase5p5_repair5g550_fulltheta_expansion_replication_by_stratum.csv,True,26,2568,1b445b12a3e5c5c1f90331d37efb170c408450ea617244f9385f333dcaf4e3f7,False,False,False,False,False
g550_active_theta_search_best_regions,C:\PROGRAMING\czr004\outputs\tables\phase5p5_repair5g550_active_theta_search_best_regions.csv,True,14,2490,27612c1fbbba6999c7ca55140bfa3745edcc1ca402dc508bc7fcd132e2eb61ef,False,False,False,False,False
g550_policy_family_eval,C:\PROGRAMING\czr004\outputs\tables\phase5p5_repair5g550_policy_family_eval.csv,True,8,1844,241dbef6ae98c2901ca2ea2dca8c0687178f237b1e52c1e15352dd6f69afed50,False,False,False,False,False
