candidate_id,policy_family,policy_action,abstain_to_static_flow_probability,source,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g551_theta_551000392,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.353125,1.25,0.75,0.75,1,0.9625,0.95,1,0.9145,0.9145,0.427,0.87325,0.827712465698,9.34659076213,1,0,0,False,False,False,False,False
repair5g551_theta_551000396,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.41875,1.25,0.75,0.75,1,0.617346416478,0.95,1,0.953,0.849067190917,0.379875,0.874875,0.989,10.394,1,0,0,False,False,False,False,False
repair5g551_theta_551000261,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.5,1.25,0.75,0.75,1,0.925,0.95,1,0.724,0.986,0.3175,0.7345,0.601960981483,11.4561326685,1,0,0,False,False,False,False,False
repair5g551_theta_551000178,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.353125,1.25,0.75,0.75,1,0.9475,0.95,1,0.9625,0.9325,0.329,0.85125,0.800712465698,9.42659076213,1,0,0,False,False,False,False,False
repair5g551_theta_551000177,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.31875,1.25,0.75,0.75,1,0.965,0.95,1,0.975,0.955,0.336,0.8175,0.867141643799,9.95106050808,1,0,0,False,False,False,False,False
repair5g551_theta_551000317,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.00953782838,1.25,0.75,0.75,1,0.835,0.95,1,0.764159865474,0.862,0.434,0.7855,0.99,11.914,1,0,0,False,False,False,False,False
repair5g551_theta_551000083,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.42825314349,1.25,0.75,0.75,1,1,0.95,1,0.678355643289,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g551_theta_551000176,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.284375,1.25,0.75,0.75,1,0.9825,0.95,1,0.9875,0.9775,0.343,0.78375,0.933570821899,10.475530254,1,0,0,False,False,False,False,False
repair5g551_theta_551000270,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.5,1.25,0.75,0.75,1,0.573897470429,0.95,1,1.097,0.58701993496,0.2965,0.8075,0.944,11.965,1,0,0,False,False,False,False,False
repair5g551_theta_551000113,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.25,1.25,0.75,0.75,1,0.898444350741,0.95,1,1,0.942247107747,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g551_theta_551000506,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.25,1.25,0.75,0.75,1,0.771,0.95,1,0.959,0.69,0.343,0.773,0.928,11.046,1,0,0,False,False,False,False,False
repair5g551_theta_551000382,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.203125,1.25,0.75,0.75,1,0.815271037085,0.95,1,0.9005,0.826720157275,0.256375,0.6845,1,10.8845,1,0,0,False,False,False,False,False
repair5g551_theta_551000114,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.25,1.25,0.75,0.75,1,0.796888701481,0.95,1,1,0.884494215494,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g551_theta_551000096,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.3838608434,1.25,0.75,0.75,1,0.95,0.95,1,1.14160480662,1.13,0.2975,0.915,1,12,1,0,0,False,False,False,False,False
repair5g551_theta_551000419,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.25,1.25,0.75,0.75,1,1.035,0.95,1,0.954,1.014,0.253,0.832,0.904,10.921,1,0,0,False,False,False,False,False
repair5g551_theta_551000053,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.909626801652,10.7790116523,1,0,0,False,False,False,False,False
repair5g551_theta_551000081,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.19215608336,1.25,0.75,0.75,1,1,0.95,1,0.996349915921,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g551_theta_551000082,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.16323412504,1.25,0.75,0.75,1,1,0.95,1,0.994524873881,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g551_theta_551000273,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.25,1.25,0.75,0.75,1,1.097,0.95,1,0.971,1.064,0.274,0.699,0.908277379445,10.1685838048,1,0,0,False,False,False,False,False
repair5g551_theta_551000505,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.25,1.25,0.75,0.75,1,0.795,0.95,1,1.093,0.789,0.237,0.836,0.94,11.091,1,0,0,False,False,False,False,False
repair5g551_theta_551000079,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.13431216672,1.25,0.75,0.75,1,1,0.95,1,0.992699831842,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g551_theta_551000095,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,0.97550846338,1.25,0.75,0.75,1,0.93,0.95,1,0.903356846976,0.82,0.301,0.6525,1,9.35,1,0,0,False,False,False,False,False
repair5g551_theta_551000394,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.30625,1.25,0.75,0.75,1,0.854115472159,0.95,1,1.086,0.843022396972,0.280625,0.727625,0.933,10.834,1,0,0,False,False,False,False,False
repair5g551_theta_551000511,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,0,1,1,1,1,0,0,1,1,0.924,0,0.026,0.25,0.25,11.086,0,0,1,False,False,False,False,False
repair5g551_theta_551000124,checkpoint_risk_classifier_utility_ranker_abstention,ALLOW_THETA,0.82,g551_iteration_checkpoint_policy,1.25,1.3125,1.25,0.75,0.75,1,0.558150758785,0.95,1,1.16,0.876646811327,0.364,0.6,0.96,10.56,1,0,0,False,False,False,False,False
