plan_row_id,panel,route,context_id,map,map_family,agents,seed,budget_ms,nominal_budget_ms,horizon_id,short_budget_ms,base_time_limit_sec,ltm_max_iterations,fresh_seed_block,source,role,candidate_id,materialized_method,sampling_policy,theta_cluster,candidate_group,registry_label,counts_as_g551_iteration_label_expansion,counts_as_g551_generated_theta_targeted,counts_as_g551_blind_replay,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,fulltheta_registry_row_id
g551_iteration_label_expansion_00000000,iteration_label_expansion,B_targeted_failure_exact,iteration_label_expansion|random|a50|s1848|b2000|failure_short1000_t050_i2,random-32-32-20,random,50,1848,2000,2000,iteration_label_expansion_failure_short1000_t050_i2,1000,0.5,2,1840_1859,g550_exact_targeted_failure_seed,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,baseline,additive_ltm,additive_ltm,additive_ltm,True,False,False,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,False,False,False,False,False,
g551_iteration_label_expansion_00000001,iteration_label_expansion,B_targeted_failure_exact,iteration_label_expansion|random|a50|s1848|b2000|failure_short1000_t050_i2,random-32-32-20,random,50,1848,2000,2000,iteration_label_expansion_failure_short1000_t050_i2,1000,0.5,2,1840_1859,g550_exact_targeted_failure_seed,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,baseline,static_flow_shield,static_flow_shield,static_flow_shield,True,False,False,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g551_iteration_label_expansion_00000002,iteration_label_expansion,B_targeted_failure_exact,iteration_label_expansion|random|a50|s1848|b2000|failure_short1000_t050_i2,random-32-32-20,random,50,1848,2000,2000,iteration_label_expansion_failure_short1000_t050_i2,1000,0.5,2,1840_1859,g550_exact_targeted_failure_seed,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,baseline,frozen_family_static_goal_aware,frozen_family_static_goal_aware,frozen_family_static_goal_aware,True,False,False,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.6,0.75,1,11,1,0,0,False,False,False,False,False,
g551_iteration_label_expansion_00000003,iteration_label_expansion,B_targeted_failure_exact,iteration_label_expansion|random|a50|s1848|b2000|failure_short1000_t050_i2,random-32-32-20,random,50,1848,2000,2000,iteration_label_expansion_failure_short1000_t050_i2,1000,0.5,2,1840_1859,g550_exact_targeted_failure_seed,generated_theta::repair5g551_theta_551000127,repair5g551_theta_551000127,repair5g551_theta_551000127,conservative_shrinkage_10,conservative_shrinkage_10,conservative_shrinkage_10,toward_static_flow_shield,True,False,False,1.25,1.2725,1.25,0.75,0.75,1,0.98,0.95,1,1.012,1.011,0.35595,0.762,0.974705343173,10.8104441948,1,0,0,False,False,False,False,False,g551_registry_551000127
g551_iteration_label_expansion_00000004,iteration_label_expansion,B_targeted_failure_exact,iteration_label_expansion|random|a50|s1848|b2000|failure_short1000_t050_i2,random-32-32-20,random,50,1848,2000,2000,iteration_label_expansion_failure_short1000_t050_i2,1000,0.5,2,1840_1859,g550_exact_targeted_failure_seed,generated_theta::repair5g551_theta_551000131,repair5g551_theta_551000131,repair5g551_theta_551000131,conservative_shrinkage_10,conservative_shrinkage_10,conservative_shrinkage_10,toward_static_flow_shield,True,False,False,1.25,1.2725,1.25,0.75,0.75,1,1.019,0.95,1,0.989,0.991,0.3479,0.76275,0.972151314347,10.7902121016,1,0,0,False,False,False,False,False,g551_registry_551000131
g551_iteration_label_expansion_00000005,iteration_label_expansion,B_targeted_failure_exact,iteration_label_expansion|random|a50|s1848|b2000|failure_short1000_t050_i2,random-32-32-20,random,50,1848,2000,2000,iteration_label_expansion_failure_short1000_t050_i2,1000,0.5,2,1840_1859,g550_exact_targeted_failure_seed,generated_theta::repair5g551_theta_551000135,repair5g551_theta_551000135,repair5g551_theta_551000135,conservative_shrinkage_10,conservative_shrinkage_10,conservative_shrinkage_10,toward_static_flow_shield,True,False,False,1.25,1.27,1.25,0.75,0.75,1,0.983,0.95,1,0.983,1.011,0.3542,0.762,0.968320271107,10.9925330338,1,0,0,False,False,False,False,False,g551_registry_551000135
g551_iteration_label_expansion_00000006,iteration_label_expansion,B_targeted_failure_exact,iteration_label_expansion|random|a50|s1848|b2000|failure_short1000_t050_i2,random-32-32-20,random,50,1848,2000,2000,iteration_label_expansion_failure_short1000_t050_i2,1000,0.5,2,1840_1859,g550_exact_targeted_failure_seed,generated_theta::repair5g551_theta_551000128,repair5g551_theta_551000128,repair5g551_theta_551000128,conservative_shrinkage_25,conservative_shrinkage_25,conservative_shrinkage_25,toward_static_flow_shield,True,False,False,1.25,1.30625,1.25,0.75,0.75,1,0.95,0.95,1,1.03,1.0275,0.364875,0.78,0.936763357932,10.5261104871,1,0,0,False,False,False,False,False,g551_registry_551000128
g551_iteration_label_expansion_00000007,iteration_label_expansion,B_targeted_failure_exact,iteration_label_expansion|random|a50|s1848|b2000|failure_short1000_t050_i2,random-32-32-20,random,50,1848,2000,2000,iteration_label_expansion_failure_short1000_t050_i2,1000,0.5,2,1840_1859,g550_exact_targeted_failure_seed,generated_theta::repair5g551_theta_551000132,repair5g551_theta_551000132,repair5g551_theta_551000132,conservative_shrinkage_25,conservative_shrinkage_25,conservative_shrinkage_25,toward_static_flow_shield,True,False,False,1.25,1.30625,1.25,0.75,0.75,1,1.0475,0.95,1,0.9725,0.9775,0.34475,0.781875,0.930378285866,10.475530254,1,0,0,False,False,False,False,False,g551_registry_551000132
g551_iteration_label_expansion_00000008,iteration_label_expansion,B_targeted_failure_exact,iteration_label_expansion|random|a50|s1848|b2000|failure_short1000_t050_i2,random-32-32-20,random,50,1848,2000,2000,iteration_label_expansion_failure_short1000_t050_i2,1000,0.5,2,1840_1859,g550_exact_targeted_failure_seed,generated_theta::repair5g551_theta_551000136,repair5g551_theta_551000136,repair5g551_theta_551000136,conservative_shrinkage_25,conservative_shrinkage_25,conservative_shrinkage_25,toward_static_flow_shield,True,False,False,1.25,1.3,1.25,0.75,0.75,1,0.9575,0.95,1,0.9575,1.0275,0.3605,0.78,0.920800677767,10.9813325845,1,0,0,False,False,False,False,False,g551_registry_551000136
g551_iteration_label_expansion_00000009,iteration_label_expansion,B_targeted_failure_exact,iteration_label_expansion|random|a50|s1848|b2000|failure_short1000_t050_i2,random-32-32-20,random,50,1848,2000,2000,iteration_label_expansion_failure_short1000_t050_i2,1000,0.5,2,1840_1859,g550_exact_targeted_failure_seed,generated_theta::repair5g551_theta_551000001,repair5g551_theta_551000001,repair5g551_theta_551000001,g550_safe_useful_positive,g550_safe_useful_positive,g550_safe_useful_positive,g550_targeted_safe_useful_theta,True,False,False,1.25,1.475,1.25,0.75,0.75,1,0.8,0.95,1,1.12,1.11,0.4095,0.87,0.747053431729,9.10444194836,1,0,0,False,False,False,False,False,g551_registry_551000001
