artifact,exists,bytes,rows,sha256,ignored_log_artifact,over_50mb,commit_policy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
outputs/logs/phase5p5_repair5g551_registry/checkpoint_theta_registry.csv,True,155967,512,edc950854db6a970f4d9de3ac0ac9c0f086b7767c4866c83ed29fe66a275bd70,True,False,do_not_commit_raw_large_csv,False,False,False,False,False
outputs/logs/phase5p5_repair5g551_iteration_label_expansion/iteration_label_expansion_plan.csv,True,80801046,121600,8fe963697eb2a848ea760d8297dadfd1e12ce2efa0e9e97f2e565efe3864df98,True,True,do_not_commit_raw_large_csv,False,False,False,False,False
outputs/logs/phase5p5_repair5g551_iteration_label_expansion/iteration_label_expansion_results.csv,True,107063877,64011,3cd2232d1f3fce6b6dd6891f366faee9a7ae33d305157113fa3ce5e45585fe19,True,True,do_not_commit_raw_large_csv,False,False,False,False,False
outputs/logs/phase5p5_repair5g551_iteration_label_expansion/iteration_label_expansion_results.raw.csv,True,107063877,64011,3cd2232d1f3fce6b6dd6891f366faee9a7ae33d305157113fa3ce5e45585fe19,True,True,do_not_commit_raw_large_csv,False,False,False,False,False
outputs/logs/phase5p5_repair5g551_generated_theta_targeted/generated_theta_targeted_plan.csv,True,50426203,69840,d12edb6d804848846d282ef67b92f5fbeeed51b5064ec7cbcb7cd06ac24d2ebe,True,False,do_not_commit_raw_large_csv,False,False,False,False,False
outputs/logs/phase5p5_repair5g551_generated_theta_targeted/generated_theta_targeted_results.csv,True,102103363,60012,d35d1d1e596065cfc0a411eb50e0c60fc4a44d4759b0602958c23b5eef8b428c,True,True,do_not_commit_raw_large_csv,False,False,False,False,False
outputs/logs/phase5p5_repair5g551_generated_theta_targeted/generated_theta_targeted_results.raw.csv,True,102103363,60012,d35d1d1e596065cfc0a411eb50e0c60fc4a44d4759b0602958c23b5eef8b428c,True,True,do_not_commit_raw_large_csv,False,False,False,False,False
outputs/tables/phase5p5_repair5g551_generated_theta_targeted_vs_static_flow.csv,True,35479367,44994,9a05856067e091c59187176c9c4dd0c86f41af5b4e1d40094376d7e810bff36f,False,False,do_not_commit_dense_pairwise_csv,False,False,False,False,False
outputs/tables/phase5p5_repair5g551_generated_theta_targeted_vs_additive.csv,True,35148658,44994,902c33e039837311d5300ccd94ab8d6c16dc5ac9941ade0f9eae15af040cc4d7,False,False,do_not_commit_dense_pairwise_csv,False,False,False,False,False
outputs/tables/phase5p5_repair5g551_generated_theta_targeted_vs_family_static.csv,True,36064634,44994,27a07fd9783f5fdd024dad841bc3278a531be911821267e3cd9c1cb77758bd03,False,False,do_not_commit_dense_pairwise_csv,False,False,False,False,False
outputs/logs/phase5p5_repair5g551_blind_replay/blind_replay_plan.csv,False,0,0,,True,False,do_not_commit_raw_large_csv,False,False,False,False,False
outputs/logs/phase5p5_repair5g551_blind_replay/blind_replay_results.csv,False,0,0,,True,False,do_not_commit_raw_large_csv,False,False,False,False,False
outputs/logs/phase5p5_repair5g551_blind_replay/blind_replay_results.raw.csv,False,0,0,,True,False,do_not_commit_raw_large_csv,False,False,False,False,False
