theta_source,theta_family,rows,success_regression_rows,success_regression_vs_additive_rows,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
safe_useful_or_shrinkage_prior,checkpoint_risk_classifier_utility_ranker_abstention,42977,0,0,False,False,False,False,False
safe_useful_or_shrinkage_prior,safe_expert_mixture_with_abstention,24784,0,0,False,False,False,False,False
safe_useful_or_shrinkage_prior,negative_control,5701,0,0,False,False,False,False,False
safe_useful_or_shrinkage_prior,goal_projection_mode_ablation,5599,0,0,False,False,False,False,False
safe_useful_or_shrinkage_prior,static_flow_local_perturbation_fulltheta,5523,0,0,False,False,False,False,False
safe_useful_or_shrinkage_prior,g543_true_near_signal_neighborhood,5522,0,0,False,False,False,False,False
safe_useful_or_shrinkage_prior,surrogate_guided_theta_if_model_exists,5514,0,0,False,False,False,False,False
safe_useful_or_shrinkage_prior,lambda_flow_lambda_cong_sweep,5512,0,0,False,False,False,False,False
safe_useful_or_shrinkage_prior,alpha_cong_commit_nonprogress_sweep,5507,0,0,False,False,False,False,False
safe_useful_or_shrinkage_prior,alpha_flow_wait_progress_sweep,5502,0,0,False,False,False,False,False
safe_useful_or_shrinkage_prior,edge_cost_clamp_sweep,5500,0,0,False,False,False,False,False
safe_useful_or_shrinkage_prior,g546_g548_safe_no_gain_neighborhood,5498,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,checkpoint_risk_classifier_utility_ranker_abstention,2017,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,g546_g548_safe_no_gain_neighborhood,302,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,edge_cost_clamp_sweep,300,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,alpha_flow_wait_progress_sweep,298,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,alpha_cong_commit_nonprogress_sweep,293,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,lambda_flow_lambda_cong_sweep,288,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,surrogate_guided_theta_if_model_exists,286,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,g543_true_near_signal_neighborhood,278,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,static_flow_local_perturbation_fulltheta,278,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,safe_expert_mixture_with_abstention,221,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,goal_projection_mode_ablation,201,0,0,False,False,False,False,False
g551_failed_theta_or_neighbor,negative_control,99,0,0,False,False,False,False,False
