field,group,required,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
context_id,identifier,True,False,False,False,False,False
checkpoint_id,identifier,True,False,False,False,False,False
checkpoint_iteration,identifier,True,False,False,False,False,False
map,identifier,True,False,False,False,False,False
map_family,identifier,True,False,False,False,False,False
agents,identifier,True,False,False,False,False,False
seed,identifier,True,False,False,False,False,False
nominal_budget_ms,identifier,True,False,False,False,False,False
horizon_id,identifier,True,False,False,False,False,False
short_budget_ms,identifier,True,False,False,False,False,False
base_time_limit_sec,identifier,True,False,False,False,False,False
ltm_max_iterations,identifier,True,False,False,False,False,False
traffic_before_hash,identifier,True,False,False,False,False,False
trace_window_hash,identifier,True,False,False,False,False,False
update_checkpoint_hash,identifier,True,False,False,False,False,False
candidate_id,identifier,True,False,False,False,False,False
theta_fingerprint,identifier,True,False,False,False,False,False
static_flow_success,outcome,True,False,False,False,False,False
additive_success,outcome,True,False,False,False,False,False
candidate_success,outcome,True,False,False,False,False,False
static_flow_ratio,outcome,True,False,False,False,False,False
additive_ratio,outcome,True,False,False,False,False,False
candidate_ratio,outcome,True,False,False,False,False,False
candidate_minus_static_ratio_delta,outcome,True,False,False,False,False,False
candidate_minus_additive_ratio_delta,outcome,True,False,False,False,False,False
success_regression_vs_static_flow,outcome,True,False,False,False,False,False
success_regression_vs_additive,outcome,True,False,False,False,False,False
fingerprint_match,safety,True,False,False,False,False,False
candidate_recognized,safety,True,False,False,False,False,False
cost_finite_all,safety,True,False,False,False,False,False
theta_in_safe_library,safety,True,False,False,False,False,False
theta_in_forbidden_library,safety,True,False,False,False,False,False
support_distance_to_safe_positive,safety,True,False,False,False,False,False
support_distance_to_hard_negative,safety,True,False,False,False,False,False
safe_candidate,label_head,True,False,False,False,False,False
useful_candidate,label_head,True,False,False,False,False,False
forbidden_theta,label_head,True,False,False,False,False,False
abstain_to_static_flow,label_head,True,False,False,False,False,False
allow_theta,label_head,True,False,False,False,False,False
policy_action_label,label_head,True,False,False,False,False,False
