candidate_id,method_string,theta_parameter,current_static_flow_value,legacy_helper_static_flow_value,differs_from_legacy_helper,lower_bound,upper_bound,within_bounds,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_alpha_cong_commit_progress,1.25,1.25,False,0.0,1.5,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_alpha_cong_commit_nonprogress,1.25,1.25,False,0.5,1.75,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_alpha_cong_block,1.25,1.25,False,0.5,2.25,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_alpha_cong_wait_progress,0.75,0.75,False,0.0,1.25,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_alpha_cong_wait_nonprogress,0.75,0.75,False,0.0,1.75,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_alpha_flow_commit_progress,1,1,False,0.0,1.5,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_alpha_flow_wait_progress,0,1,True,0.0,1.25,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_rho_cong_decay,0.95,0.95,False,0.9,1.0,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_rho_flow_decay,1,1,False,0.9,1.0,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_lambda_cong,1,1,False,0.5,1.5,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_lambda_flow,0,1,True,0.0,1.5,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_flow_shield_beta,0.35,0.35,False,0.0,0.8,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_max_flow_shield,0.75,0.75,False,0.25,1.5,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_min_edge_cost,1,1,False,0.25,1.0,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_max_edge_cost,11,11,False,8.0,12.0,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_goal_projection_mode_flow_shield,1,1,False,0.0,1.0,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_goal_projection_mode_agent_progress,0,0,False,0.0,1.0,True,False,False,False,False,False
repair5g59_static_flow_shield,repair5g59_static_flow_shield,theta_goal_projection_mode_none,0,0,False,0.0,1.0,True,False,False,False,False,False
