path,exists,rows,bytes,sha256,commit_policy,exact_resume_command,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
outputs/logs/phase5p5_repair5g553_stage0_smoke/stage0_smoke_plan.csv,True,5075,2750699,f19f931799a4cd0d55c5ad69179eff153c9be949469857825b2f0974da7aef62,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g553_stage0_smoke/stage0_smoke_results.csv,True,5075,7660251,83f151529821a7b938af6feb7139f69bd4d3a8cc75a0b23ec55ac1c9c077caa0,do_not_commit_raw_outputs_logs,python scripts/run_repair5g553_global_staticflow_stage0_smoke.py --stage0-candidates 200 --row-limit 5000 --max-workers 1,False,False,False,False,False
outputs/logs/phase5p5_repair5g553_stage0_smoke/stage0_smoke_results.raw.csv,True,5075,7660251,83f151529821a7b938af6feb7139f69bd4d3a8cc75a0b23ec55ac1c9c077caa0,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g553_stage0_smoke/runs.jsonl,True,25,92277,8041bfcafccff085323a19d255f6d5945aa98e34b44401e4a534a7e9f09afddd,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g553_stage0_smoke/commands.jsonl,True,25,201188,e1fd6dc80f2cad4711b8e65473d03d7d9088ea597de6deb075ea2284d6cc67e9,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g553_stage0_smoke/counterfactual_probes.jsonl,True,5075,9265443,cac6bf2346d198b3d5479f489ed7fe5d7e77a74ff56eaeefa48c72dd6717d1c3,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g553_stage1_search/stage1_source_manifest.json,True,1,560,7fa2f83fb623d4f6456bd4db3ef5eb4b8d9bae16dcd1b8858a8c85d18a8f8200,do_not_commit_raw_outputs_logs,python scripts/run_repair5g553_global_staticflow_stage1_search.py,False,False,False,False,False
outputs/logs/phase5p5_repair5g552_label_expansion/label_v2_dataset.csv,True,128000,136100024,,do_not_commit_raw_outputs_logs,python scripts/run_repair5g552_hard_negative_label_expansion.py --row-limit 128000 --max-workers 16,False,False,False,False,False
outputs/logs/phase5p5_repair5g553_validation/validation_plan.csv,True,0,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g553_validation/validation_results.csv,True,0,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g553_blind/blind_plan.csv,True,0,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,do_not_commit_raw_outputs_logs,,False,False,False,False,False
outputs/logs/phase5p5_repair5g553_blind/blind_results.csv,True,0,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,do_not_commit_raw_outputs_logs,,False,False,False,False,False
