registry_row_id,candidate_id,candidate_family,theta_cluster,source_pool_id,distance_from_current_static_flow,global_fixed_candidate,context_dependent,dynamic_policy,allowed_for_promotion,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_registry_00000,g554_c00000,hand_static_reference,tiny,g554_pool_092042556857,0,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00001,g554_c00001,legacy_helper_reference,tiny,g554_pool_402801924312,1.46666666667,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00002,g554_c00002,hand_legacy_midpoints,tiny,g554_pool_714474640946,0.733333333333,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0.5,0.95,1,1,0.5,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00003,g554_c00003,one_factor_small_perturbation,tiny,g554_pool_886732688484,0.022068378318,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,0.977931621682,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00004,g554_c00004,two_factor_interaction,small,g554_pool_004721241140,0.0368723618705,True,False,False,True,1.25,1.22241248804,1.25,0.75,0.75,1,0,0.95,1,1,0,0.338158118158,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00005,g554_c00005,trust_region_sobol_around_hand,medium,g554_pool_376562541472,1.05978822229,True,False,False,True,1.25,1.17118532744,1.25,0.75,0.75,1.11666790417,0,1,1,0.917999117999,0,0.372080682081,0.809197184197,1,9.95200640201,1,0,0,False,False,False,False,False
g554_registry_00006,g554_c00006,trust_region_sobol_around_nearmiss,near_miss,g554_pool_970675734615,0.944017523898,True,False,False,True,1.25,1.2671632173,1.25,0.75,0.75,0.965531090531,0.367317142317,0.970796007671,1,0.934971372698,0.35,0.370722490722,0.729779417279,1,11.2602093852,1,0,0,False,False,False,False,False
g554_registry_00007,g554_c00007,cma_es_style_offline_candidates,near_miss,g554_pool_477641622861,1.5497067359,True,False,False,True,1.25,1.16564383332,1.25,0.75,0.75,0.950125248625,0.677927440431,0.9825,1,1.0478179864,0.65,0.373264646465,0.723384959635,1,10.7995765766,1,0,0,False,False,False,False,False
g554_registry_00008,g554_c00008,cross_entropy_elite_refits,near_miss,g554_pool_290098587663,0.93971135843,True,False,False,True,1.25,1.26891726085,1.25,0.75,0.75,1.06239206739,0.16434026559,0.918642552943,1,0.958399976453,0.2275,0.370883678484,0.687420537421,0.977137943138,11.552074217,1,0,0,False,False,False,False,False
g554_registry_00009,g554_c00009,coordinate_descent_lines,small,g554_pool_895719593230,0.35,True,False,False,True,1.25,0.8125,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00010,g554_c00010,flow_wait_progress_micro_sweep,tiny,g554_pool_802904230763,0.0933333333333,True,False,False,True,1.25,1.25,1.25,0.75,0.75,0.95,0.075,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00011,g554_c00011,lambda_cong_micro_sweep,tiny,g554_pool_166324669834,0.41,True,False,False,True,1.25,1.05,1.25,0.75,0.75,1,0,0.95,1,0.75,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00012,g554_c00012,flow_shield_beta_cap_sweep,tiny,g554_pool_727054413297,0.3875,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.5,0.5,1,11,1,0,0,False,False,False,False,False
g554_registry_00013,g554_c00013,cost_clamp_micro_sweep,tiny,g554_pool_309378968904,0.970833333333,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,0.6,9.25,1,0,0,False,False,False,False,False
g554_registry_00014,g554_c00014,rho_decay_micro_sweep,tiny,g554_pool_784816777817,1.2,True,False,False,True,1.25,1.25,1.25,0.75,0.75,1,0,0.97,0.9,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_registry_00015,g554_c00015,shrinkage_to_hand_from_risky,near_miss,g554_pool_630196871593,0.266152660403,True,False,False,True,1.25,1.2725,1.25,0.75,0.75,1,0.08,0.95,1,1.012,0.111,0.35595,0.762,0.974705343173,10.8104441948,1,0,0,False,False,False,False,False
g554_registry_00016,g554_c00016,negative_controls_wide_random,wide_diagnostic,g554_pool_435904289718,5.52612473863,True,False,False,False,0.502635502636,0.785396535397,1.25003325003,0.980120980121,1.4317989318,0.383635883636,0.237318987319,0.958048658049,0.947403647404,1.25975675976,1.07656907657,0.291217891218,1.45047745048,0.668173418173,9.71398171398,0,1,0,False,False,False,False,False
