pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,support_rows_existing,success_regression_count_existing,quality_delta_existing,support_strata_existing
g554_pool_092042556857,current_hand_static_flow_shield,repair5g59_static_flow_shield,0,1.46666666667,,True,False,hand_static_reference,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False,,,,
g554_pool_402801924312,legacy_helper_static_flow_reference,legacy_helper_static_flow_theta,1.46666666667,0,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,legacy_helper_reference,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,,,,
g554_pool_714474640946,hand_legacy_midpoint,hand_helper_t050,0.733333333333,0.733333333333,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,hand_legacy_midpoint,1.25,1.25,1.25,0.75,0.75,1,0.5,0.95,1,1,0.5,0.35,0.75,1,11,1,0,0,False,False,False,False,False,,,,
g554_pool_886732688484,g553_zero_regression_low_support,repair5g550_theta_550000006,2.12141655717,0.654749890501,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,0.972530304939,1.25,0.75,0.75,1,1,0.95,1,0.567225865548,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.0269682956243,15
g554_pool_004721241140,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000006_t035,0.742495795007,1.18249579501,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.15288560673,1.25,0.75,0.75,1,0.35,0.95,1,0.848529052942,0.35,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.0269682956243,
g554_pool_376562541472,g553_zero_regression_low_support,repair5g550_theta_550000005,1.93091353817,0.464246871503,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.42825314349,1.25,0.75,0.75,1,1,0.95,1,0.678355643289,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.0227469364649,15
g554_pool_970675734615,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000005_t035,0.675819738358,1.11581973836,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.31238860022,1.25,0.75,0.75,1,0.35,0.95,1,0.887424475151,0.35,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.0227469364649,
g554_pool_477641622861,g553_zero_regression_low_support,repair5g550_theta_550000004,1.54155449275,0.074887826087,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,g553_zero_regression_low_support,1.25,1.16323412504,1.25,0.75,0.75,1,1,0.95,1,0.994524873881,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.000802996415286,15
g554_pool_290098587663,g553_zero_regression_low_support_shrinkage_to_hand,repair5g550_theta_550000004_t035,0.539544072467,0.979544072467,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,1.25,1.21963194376,1.25,0.75,0.75,1,0.35,0.95,1,0.998083705858,0.35,0.35,0.75,1,11,1,0,0,False,False,False,False,False,200,0,-0.000802996415286,
g554_pool_895719593230,g553_zero_regression_low_support,repair5g550_theta_550000062,1.98879199882,1.15529133451,theta_alpha_cong_commit_nonprogress;theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_flow_shield_beta;theta_max_flow_shield;theta_min_edge_cost;theta_max_edge_cost,True,False,g553_zero_regression_low_support,1.25,1.4875,1.25,0.75,0.75,1,0.700657335496,0.95,1,0.78,0.884336695637,0.4095,0.87,0.93,10.34,1,0,0,False,False,False,False,False,199,0,-0.0287088283298,15
