pool_id,source,source_id,distance_from_current_static_flow,distance_from_legacy_helper,active_field_deltas,global_fixed_candidate,context_dependent,theta_family,support_rows_existing,success_regression_count_existing,quality_delta_existing,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,support_strata_existing
g554_pool_001829527213,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549001575_t035,0.549960060081,0.916706606586,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,28,0,-0.0602868995871,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.404940090121,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_599491660406,g553_high_quality_nearmiss,repair5g549_theta_549001575,2.07131445737,0.604647790707,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_high_quality_nearmiss,28,0,-0.0602868995871,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.15697168606,0.35,0.75,1,11,0,0,1,False,False,False,False,False,4
g554_pool_002057590958,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549000030_t035,0.761243262505,1.03822058855,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost,True,False,shrinkage_to_hand_from_risky,28,0,-0.0566518380327,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1.10916478167,0.472267005465,0.35,0.75,1,11.2289352421,1,0,0,False,False,False,False,False,
g554_pool_528043534982,g553_high_quality_nearmiss,repair5g549_theta_549000030,2.67498075004,1.20831408337,theta_alpha_flow_wait_progress;theta_lambda_cong;theta_lambda_flow;theta_max_edge_cost;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_high_quality_nearmiss,28,0,-0.0566518380327,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.3118993762,1.34933430133,0.35,0.75,1,11.6541006918,0,0,1,False,False,False,False,False,4
g554_pool_492268041143,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549001085_t035,0.609732940535,0.856933726132,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,28,0,-0.0552287701643,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.494599410802,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_367415398861,g553_high_quality_nearmiss,repair5g549_theta_549001085,2.24209411581,0.775427449147,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_agent_progress,True,False,g553_high_quality_nearmiss,28,0,-0.0552287701643,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.41314117372,0.35,0.75,1,11,0,1,0,False,False,False,False,False,4
g554_pool_390998492768,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549001685_t035,0.576389207221,0.890277459445,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,28,0,-0.0547561474792,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.444583810832,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_365250486115,g553_high_quality_nearmiss,repair5g549_theta_549001685,2.14682630635,0.68015963968,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_agent_progress,True,False,g553_high_quality_nearmiss,28,0,-0.0547561474792,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.27023945952,0.35,0.75,1,11,0,1,0,False,False,False,False,False,4
g554_pool_072690359634,g553_high_quality_nearmiss_shrinkage_to_hand,repair5g549_theta_549000015_t035,0.612108735781,0.854557930885,theta_alpha_flow_wait_progress;theta_lambda_flow,True,False,shrinkage_to_hand_from_risky,28,0,-0.0533903319636,1.25,1.25,1.25,0.75,0.75,1,0.35,0.95,1,1,0.498163103672,0.35,0.75,1,11,1,0,0,False,False,False,False,False,
g554_pool_344624357089,g553_high_quality_nearmiss,repair5g549_theta_549000015,2.24888210223,0.782215435567,theta_alpha_flow_wait_progress;theta_lambda_flow;theta_goal_projection_mode_flow_shield;theta_goal_projection_mode_none,True,False,g553_high_quality_nearmiss,28,0,-0.0533903319636,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.42332315335,0.35,0.75,1,11,0,0,1,False,False,False,False,False,4
