candidate_id,success_regression_count_vs_static_flow,quality_delta_mean_vs_static_flow,candidate_rows,frontier_class,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_c02556,0,-0.0354514115615,93,near_miss_expand,False,False,False,False,False
g554_c01014,0,-0.0166323041771,93,near_miss_expand,False,False,False,False,False
g554_c02514,0,-0.0159623391325,93,near_miss_expand,False,False,False,False,False
g554_c02496,0,-0.0155244553386,93,near_miss_expand,False,False,False,False,False
g554_c00984,0,-0.0128002994305,93,near_miss_expand,False,False,False,False,False
g554_c00990,0,-0.0111750823473,93,near_miss_expand,False,False,False,False,False
g554_c01026,0,-0.00397938805043,93,near_miss_expand,False,False,False,False,False
g554_c00978,0,-0.00342731781032,93,near_miss_expand,False,False,False,False,False
g554_c02508,0,-0.00192888637161,93,near_miss_expand,False,False,False,False,False
g554_c01008,0,-6.0396972043e-06,93,near_miss_expand,False,False,False,False,False
g554_c02550,0,0,93,near_miss_expand,False,False,False,False,False
g554_c01038,0,0,93,near_miss_expand,False,False,False,False,False
g554_c00996,0,0,93,near_miss_expand,False,False,False,False,False
g554_c02562,0,3.86992643011e-05,93,near_miss_expand,False,False,False,False,False
g554_c02502,0,0.000169162706882,93,near_miss_expand,False,False,False,False,False
g554_c01032,0,0.000963086942903,93,near_miss_expand,False,False,False,False,False
g554_c01044,0,0.00410856120376,93,near_miss_expand,False,False,False,False,False
g554_c01002,0,0.00699190110505,93,near_miss_expand,False,False,False,False,False
g554_c02544,0,0.00800483169656,93,near_miss_expand,False,False,False,False,False
g554_c02526,0,0.00872064255151,93,near_miss_expand,False,False,False,False,False
g554_c02538,0,0.018129930887,93,near_miss_expand,False,False,False,False,False
g554_c01020,0,0.0390447922629,93,near_miss_expand,False,False,False,False,False
g554_c01062,0,-0.0378165963637,92,near_miss_expand,False,False,False,False,False
g554_c00966,0,-0.0340643906191,92,near_miss_expand,False,False,False,False,False
g554_c02592,0,-0.0242274325041,92,near_miss_expand,False,False,False,False,False
g554_c02574,0,-0.016159913207,92,near_miss_expand,False,False,False,False,False
g554_c01080,0,-0.0144944087127,92,near_miss_expand,False,False,False,False,False
g554_c00954,0,-0.0126629408372,92,near_miss_expand,False,False,False,False,False
g554_c00960,0,-0.0100756884387,92,near_miss_expand,False,False,False,False,False
g554_c02466,0,-0.00547453589815,92,near_miss_expand,False,False,False,False,False
g554_c02478,0,-0.00357534853478,92,near_miss_expand,False,False,False,False,False
g554_c02529,0,-0.00143409970587,92,near_miss_expand,False,False,False,False,False
g554_c01050,0,-0.00102053395598,92,near_miss_expand,False,False,False,False,False
g554_c00972,0,-9.55767259783e-05,92,near_miss_expand,False,False,False,False,False
g554_c02580,0,0,92,near_miss_expand,False,False,False,False,False
g554_c01011,0,0,92,near_miss_expand,False,False,False,False,False
g554_c02586,0,0,92,near_miss_expand,False,False,False,False,False
g554_c02568,0,0,92,near_miss_expand,False,False,False,False,False
g554_c00942,0,0,92,near_miss_expand,False,False,False,False,False
g554_c02598,0,0.000590017388152,92,near_miss_expand,False,False,False,False,False
g554_c01074,0,0.000593059278261,92,near_miss_expand,False,False,False,False,False
g554_c02490,0,0.00132080403674,92,near_miss_expand,False,False,False,False,False
g554_c00948,0,0.00200750834239,92,near_miss_expand,False,False,False,False,False
g554_c02472,0,0.00202087879141,92,near_miss_expand,False,False,False,False,False
g554_c02484,0,0.00226053071304,92,near_miss_expand,False,False,False,False,False
g554_c02460,0,0.00258664176272,92,near_miss_expand,False,False,False,False,False
g554_c01056,0,0.00932835151967,92,near_miss_expand,False,False,False,False,False
g554_c01068,0,0.0128283527436,92,near_miss_expand,False,False,False,False,False
g554_c01012,0,-0.0300634775795,91,near_miss_expand,False,False,False,False,False
g554_c02558,0,-0.0288320661946,91,near_miss_expand,False,False,False,False,False
g554_c02512,0,-0.0231765611468,91,near_miss_expand,False,False,False,False,False
g554_c02500,0,-0.0229983831882,91,near_miss_expand,False,False,False,False,False
g554_c00918,0,-0.0225619308962,91,near_miss_expand,False,False,False,False,False
g554_c00992,0,-0.021799306807,91,near_miss_expand,False,False,False,False,False
g554_c02537,0,-0.01954135927,91,near_miss_expand,False,False,False,False,False
g554_c02436,0,-0.0185507216557,91,near_miss_expand,False,False,False,False,False
g554_c00983,0,-0.0178239606627,91,near_miss_expand,False,False,False,False,False
g554_c01013,0,-0.0151492033738,91,near_miss_expand,False,False,False,False,False
g554_c02540,0,-0.0147370417951,91,near_miss_expand,False,False,False,False,False
g554_c01023,0,-0.0135245335718,91,near_miss_expand,False,False,False,False,False
g554_c01024,0,-0.0130919609693,91,near_miss_expand,False,False,False,False,False
g554_c02560,0,-0.0118858112081,91,near_miss_expand,False,False,False,False,False
g554_c02557,0,-0.0118542286862,91,near_miss_expand,False,False,False,False,False
g554_c01116,0,-0.0115701399195,91,near_miss_expand,False,False,False,False,False
g554_c01035,0,-0.0114667440429,91,near_miss_expand,False,False,False,False,False
g554_c00980,0,-0.0109741776501,91,near_miss_expand,False,False,False,False,False
g554_c01034,0,-0.0103576852782,91,near_miss_expand,False,False,False,False,False
g554_c02504,0,-0.0101180035431,91,near_miss_expand,False,False,False,False,False
g554_c02515,0,-0.00998519118209,91,near_miss_expand,False,False,False,False,False
g554_c01046,0,-0.0096407154722,91,near_miss_expand,False,False,False,False,False
g554_c02564,0,-0.00959055220462,91,near_miss_expand,False,False,False,False,False
g554_c00997,0,-0.0092102780344,91,near_miss_expand,False,False,False,False,False
g554_c01015,0,-0.00910796341484,91,near_miss_expand,False,False,False,False,False
g554_c01003,0,-0.00861816603879,91,near_miss_expand,False,False,False,False,False
g554_c01005,0,-0.00736839186802,91,near_miss_expand,False,False,False,False,False
g554_c01004,0,-0.00715940139725,91,near_miss_expand,False,False,False,False,False
g554_c01040,0,-0.0070386076033,91,near_miss_expand,False,False,False,False,False
g554_c02424,0,-0.00653606603791,91,near_miss_expand,False,False,False,False,False
g554_c02634,0,-0.00600546184505,91,near_miss_expand,False,False,False,False,False
g554_c02495,0,-0.00595261426055,91,near_miss_expand,False,False,False,False,False
g554_c02546,0,-0.0053640954744,91,near_miss_expand,False,False,False,False,False
g554_c02521,0,-0.00514736958033,91,near_miss_expand,False,False,False,False,False
g554_c00976,0,-0.00514475986022,91,near_miss_expand,False,False,False,False,False
g554_c01000,0,-0.00505817122956,91,near_miss_expand,False,False,False,False,False
g554_c00906,0,-0.00497157283923,91,near_miss_expand,False,False,False,False,False
g554_c00982,0,-0.00481329022659,91,near_miss_expand,False,False,False,False,False
g554_c02523,0,-0.00452443231473,91,near_miss_expand,False,False,False,False,False
g554_c00979,0,-0.00408681708593,91,near_miss_expand,False,False,False,False,False
g554_c00981,0,-0.00312781172967,91,near_miss_expand,False,False,False,False,False
g554_c00989,0,-0.00291192239505,91,near_miss_expand,False,False,False,False,False
g554_c01110,0,-0.00273452700088,91,near_miss_expand,False,False,False,False,False
g554_c01098,0,-0.00221912912538,91,near_miss_expand,False,False,False,False,False
g554_c00987,0,-0.0019159084622,91,near_miss_expand,False,False,False,False,False
g554_c01029,0,-0.00160887378956,91,near_miss_expand,False,False,False,False,False
g554_c02610,0,-0.00144797834286,91,near_miss_expand,False,False,False,False,False
g554_c02525,0,-0.00144368662308,91,near_miss_expand,False,False,False,False,False
g554_c01047,0,-0.00135210435143,91,near_miss_expand,False,False,False,False,False
g554_c01045,0,-0.00113091375209,91,near_miss_expand,False,False,False,False,False
g554_c00924,0,-0.00109203983,91,near_miss_expand,False,False,False,False,False
g554_c02519,0,-0.000740820842747,91,near_miss_expand,False,False,False,False,False
g554_c02551,0,-0.000673701703846,91,reject_or_diagnostic,False,False,False,False,False
g554_c02542,0,-0.000503107913846,91,reject_or_diagnostic,False,False,False,False,False
g554_c02528,0,-0.000462897392747,91,reject_or_diagnostic,False,False,False,False,False
g554_c02517,0,-0.000456749365385,91,reject_or_diagnostic,False,False,False,False,False
g554_c01086,0,-0.000403564131648,91,reject_or_diagnostic,False,False,False,False,False
g554_c02510,0,-0.000210662059011,91,reject_or_diagnostic,False,False,False,False,False
g554_c02499,0,-0.000135375676484,91,reject_or_diagnostic,False,False,False,False,False
g554_c00999,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c02501,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c02527,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c01031,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c02511,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c01042,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c02536,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c02448,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c00995,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c01092,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c02533,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c00985,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c01006,0,0,91,reject_or_diagnostic,False,False,False,False,False
g554_c02524,0,0,91,reject_or_diagnostic,False,False,False,False,False
