candidate_id,map_family,agents,nominal_budget_ms,horizon_id,rows,success_regression_count_vs_g554_c00051,both_success_quality_pairs_vs_g554_c00051,quality_delta_mean_vs_g554_c00051,better_count_vs_g554_c00051,worse_count_vs_g554_c00051,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g556_c044742,maze,100,1000,blind_short1000_t050_i2,417,0,417,0.0044470465811,158,200,False,False,False,False,False
g556_c044742,maze,100,1000,blind_short1000_t050_i4,344,0,344,0.00399017443148,140,152,False,False,False,False,False
g556_c044742,maze,100,1000,blind_short1000_t100_i2,313,0,313,0.00181370710882,134,135,False,False,False,False,False
g556_c044742,maze,100,1000,blind_short1000_t100_i4,259,0,259,0.00460183307583,99,118,False,False,False,False,False
g556_c044742,maze,100,1000,blind_short2000_t050_i2,208,0,208,0.00293923131572,82,95,False,False,False,False,False
g556_c044742,maze,100,1000,blind_short2000_t050_i4,172,0,172,-0.00166326062924,76,62,False,False,False,False,False
g556_c044742,maze,100,1000,blind_short2000_t100_i2,155,0,155,-0.00421367644877,77,57,False,False,False,False,False
g556_c044742,maze,100,1000,blind_short2000_t100_i4,131,0,131,0.00370415023267,47,60,False,False,False,False,False
g556_c044742,maze,100,1000,blind_short5000_t050_i2,414,0,414,-0.000381090892246,178,177,False,False,False,False,False
g556_c044742,maze,100,1000,blind_short5000_t050_i4,349,0,349,0.00132528913504,152,149,False,False,False,False,False
g556_c044742,maze,100,1000,blind_short5000_t100_i2,311,0,311,0.0044422598554,116,153,False,False,False,False,False
g556_c044742,maze,100,1000,blind_short5000_t100_i4,260,0,260,0.00687276184946,92,118,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short1000_t050_i2,415,0,415,0.000365495892867,174,170,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short1000_t050_i4,347,0,347,0.00295648963836,144,156,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short1000_t100_i2,310,0,310,0.00207907943113,115,153,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short1000_t100_i4,261,0,261,0.00174107481985,110,105,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short2000_t050_i2,209,0,209,0.00435600718574,77,103,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short2000_t050_i4,172,0,172,0.00211214154477,72,77,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short2000_t100_i2,157,0,157,0.000990213774013,59,74,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short2000_t100_i4,129,0,129,0.00394981131744,52,61,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short5000_t050_i2,415,0,415,0.0010081996112,173,180,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short5000_t050_i4,347,0,347,0.00323903422409,139,157,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short5000_t100_i2,313,0,313,-0.000837502921118,141,127,False,False,False,False,False
g556_c044742,maze,100,2000,blind_short5000_t100_i4,259,0,259,0.000632537065637,108,111,False,False,False,False,False
g556_c044742,maze,100,500,blind_short1000_t050_i2,414,0,414,0.000505314141159,173,176,False,False,False,False,False
g556_c044742,maze,100,500,blind_short1000_t050_i4,348,0,348,-0.000889804276667,145,146,False,False,False,False,False
g556_c044742,maze,100,500,blind_short1000_t100_i2,312,0,312,7.80370159615e-05,144,125,False,False,False,False,False
g556_c044742,maze,100,500,blind_short1000_t100_i4,260,0,260,-3.36350898077e-05,109,110,False,False,False,False,False
g556_c044742,maze,100,500,blind_short2000_t050_i2,206,0,206,-0.00282855168568,93,82,False,False,False,False,False
g556_c044742,maze,100,500,blind_short2000_t050_i4,175,0,175,8.72043644e-05,63,78,False,False,False,False,False
