context_id,base_instance_id,split,topology_id,map,map_family,source_map_family,start_goal_regime,agents,agent_count,seed,nominal_budget_ms,budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,horizon_id,free_cells,density,start_entropy_proxy,goal_entropy_proxy,flow_pressure_bucket,traffic_input_mode,fresh_seed_block,scenario_hash,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False
g557_ctx_00000001,g557_topology_001_empty|a25|s100001|uniform_random,heldout_topology,g557_topology_001_empty,empty-48-48,empty,empty,uniform_random,25,25,100001,500,500,250,0.5,2,b500_short250_t050_i2,2304,0.0108506944444,0.603137443725,0.592418315163,low,P,100000_100019,112411899079270,False,False,False,False,False
g557_ctx_00000002,g557_topology_002_empty|a25|s100002|uniform_random,heldout_topology,g557_topology_002_empty,empty-16-16,empty,empty,uniform_random,25,25,100002,500,500,250,0.5,2,b500_short250_t050_i2,256,0.09765625,0.911019727961,0.588392873214,low,P,100000_100019,58275544930967,False,False,False,False,False
g557_ctx_00000003,g557_topology_003_random|a25|s100003|opposite_side_cross_flow,heldout_topology,g557_topology_003_random,random-32-32-20,random,random,opposite_side_cross_flow,25,25,100003,500,500,250,0.5,2,b500_short250_t050_i2,819,0.030525030525,0.392405265189,0.895146759706,low,P,100000_100019,128997389153615,False,False,False,False,False
g557_ctx_00000004,g557_topology_004_random|a25|s100004|opposite_side_cross_flow,heldout_topology,g557_topology_004_random,random-64-64-20,random,random,opposite_side_cross_flow,25,25,100004,500,500,250,0.5,2,b500_short250_t050_i2,3276,0.00763125763126,0.975519098962,0.685926478147,low,P,100000_100019,95899628318521,False,False,False,False,False
g557_ctx_00000005,g557_topology_005_random|a25|s100005|opposite_side_cross_flow,heldout_topology,g557_topology_005_random,random-32-32-10,random,random,opposite_side_cross_flow,25,25,100005,1000,1000,250,0.5,2,b1000_short250_t050_i2,921,0.0271444082519,0.759495931008,0.549652950694,low,P,100000_100019,132555902007350,False,False,False,False,False
g557_ctx_00000006,g557_topology_006_random|a25|s100006|same_room_local_flow,heldout_topology,g557_topology_006_random,random-64-64-10,random,random,same_room_local_flow,25,25,100006,1000,1000,250,0.5,2,b1000_short250_t050_i2,3686,0.00678241996744,0.909186731627,0.396321507357,low,P,100000_100019,28112957590758,False,False,False,False,False
g557_ctx_00000007,g557_topology_007_maze|a25|s100007|same_room_local_flow,heldout_topology,g557_topology_007_maze,maze-32-32-4,maze,maze,same_room_local_flow,25,25,100007,1000,1000,500,0.5,2,b1000_short500_t050_i2,737,0.033921302578,0.811357377285,0.670483809032,low,P,100000_100019,108467976920098,False,False,False,False,False
g557_ctx_00000008,g557_topology_008_maze|a25|s100008|same_room_local_flow,heldout_topology,g557_topology_008_maze,maze-32-32-2,maze,maze,same_room_local_flow,25,25,100008,1000,1000,500,0.5,2,b1000_short500_t050_i2,819,0.030525030525,0.540073919852,0.705921088158,low,P,100000_100019,66839340921355,False,False,False,False,False
g557_ctx_00000009,g557_topology_009_maze|a25|s100009|room_to_room_door_bottleneck,heldout_topology,g557_topology_009_maze,maze-128-128-2,maze,maze,room_to_room_door_bottleneck,25,25,100009,1000,1000,500,0.5,2,b1000_short500_t050_i2,13107,0.00190737773709,0.869519260961,0.675363349273,low,P,100000_100019,31426585236555,False,False,False,False,False
g557_ctx_00000010,g557_topology_010_maze|a25|s100010|room_to_room_door_bottleneck,heldout_topology,g557_topology_010_maze,maze-128-128-10,maze,maze,room_to_room_door_bottleneck,25,25,100010,2000,2000,500,0.5,2,b2000_short500_t050_i2,9830,0.00254323499491,0.645544008912,0.727593994812,low,P,100000_100019,118814511001645,False,False,False,False,False
g557_ctx_00000011,g557_topology_011_room|a25|s100011|room_to_room_door_bottleneck,heldout_topology,g557_topology_011_room,room-32-32-4,room,room,room_to_room_door_bottleneck,25,25,100011,2000,2000,500,1.0,2,b2000_short500_t100_i2,839,0.0297973778308,0.817131315737,0.836435627129,low,P,100000_100019,275577262108057,False,False,False,False,False
g557_ctx_00000012,g557_topology_012_room|a25|s100012|warehouse_aisle_to_aisle,heldout_topology,g557_topology_012_room,room-64-64-8,room,room,warehouse_aisle_to_aisle,25,25,100012,2000,2000,500,1.0,2,b2000_short500_t100_i2,3358,0.00744490768314,0.425112549775,0.434253481493,low,P,100000_100019,75813085899803,False,False,False,False,False
g557_ctx_00000013,g557_topology_013_room|a25|s100013|warehouse_aisle_to_aisle,heldout_topology,g557_topology_013_room,room-64-64-16,room,room,warehouse_aisle_to_aisle,25,25,100013,2000,2000,500,1.0,4,b2000_short500_t100_i4,3276,0.00763125763126,0.684701880596,0.926906996186,low,P,100000_100019,176187714128868,False,False,False,False,False
g557_ctx_00000014,g557_topology_014_warehouse|a25|s100014|warehouse_aisle_to_aisle,heldout_topology,g557_topology_014_warehouse,warehouse-10-20-10-2-1,warehouse,warehouse,warehouse_aisle_to_aisle,25,25,100014,2000,2000,1000,1.0,4,b2000_short1000_t100_i4,9996,0.00250100040016,0.785603128794,0.960306529387,low,P,100000_100019,276709226291622,False,False,False,False,False
g557_ctx_00000015,g557_topology_015_warehouse|a25|s100015|many_to_one_goal_clustered,train,g557_topology_015_warehouse,warehouse-10-20-10-2-2,warehouse,warehouse,many_to_one_goal_clustered,25,25,100015,5000,5000,1000,1.0,4,b5000_short1000_t100_i4,9996,0.00250100040016,0.978574742851,0.507289285421,low,P,100000_100019,254165508520421,False,False,False,False,False
g557_ctx_00000016,g557_topology_016_warehouse|a25|s100016|many_to_one_goal_clustered,train,g557_topology_016_warehouse,warehouse-20-40-10-2-1,warehouse,warehouse,many_to_one_goal_clustered,25,25,100016,5000,5000,1000,1.0,4,b5000_short1000_t100_i4,37916,0.000659352252347,0.701518646963,0.8872499255,low,P,100000_100019,276576887162849,False,False,False,False,False
g557_ctx_00000017,g557_topology_017_warehouse|a25|s100017|many_to_one_goal_clustered,train,g557_topology_017_warehouse,warehouse-20-40-10-2-2,warehouse,warehouse,many_to_one_goal_clustered,25,25,100017,5000,5000,1000,1.0,4,b5000_short1000_t100_i4,37916,0.000659352252347,0.999585300829,0.897032405935,medium,P,100000_100019,265182868365944,False,False,False,False,False
g557_ctx_00000018,g557_topology_018_bottleneck|a25|s100018|start_clustered_goal_dispersed,train,g557_topology_018_bottleneck,connector,bottleneck,bottleneck,start_clustered_goal_dispersed,25,25,100018,5000,5000,1000,1.0,4,b5000_short1000_t100_i4,2662,0.00939143501127,0.787930774138,0.538226623547,medium,P,100000_100019,140626041314464,False,False,False,False,False
g557_ctx_00000019,g557_topology_019_bottleneck|a25|s100019|start_clustered_goal_dispersed,train,g557_topology_019_bottleneck,corners,bottleneck,bottleneck,start_clustered_goal_dispersed,25,25,100019,5000,5000,1000,1.0,4,b5000_short1000_t100_i4,2662,0.00939143501127,0.622151205698,0.89101016798,medium,P,100000_100019,167073696222061,False,False,False,False,False
g557_ctx_00000020,g557_topology_020_bottleneck|a25|s100020|start_clustered_goal_dispersed,train,g557_topology_020_bottleneck,tunnel,bottleneck,bottleneck,start_clustered_goal_dispersed,25,25,100020,500,500,1000,1.0,4,b500_short1000_t100_i4,2539,0.00984639621898,0.74731495537,0.534682830634,medium,P,100020_100039,156670469275986,False,False,False,False,False
