control,trained,beats_gcst,label,contexts,nonfallback_contexts,fallback_to_g556_contexts,fallback_to_g556_rate,success_regression_count_vs_g556_c063174,success_gain_count_vs_g556_c063174,both_success_quality_pairs_vs_g556_c063174,quality_delta_mean_vs_g556_c063174,quality_delta_ci_upper_vs_g556_c063174,better_count_vs_g556_c063174,worse_count_vs_g556_c063174,materialized_safe_contexts,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
map_family_lookup,True,False,map_family_lookup,1519,0,1519,1,0,0,1519,0,0,0,0,1519,False,False,False,False,False
map_id_lookup_diagnostic,True,False,map_id_lookup_diagnostic,1519,0,1519,1,0,0,1519,0,0,0,0,1519,False,False,False,False,False
agent_density_lookup,True,True,agent_density_lookup,1519,328,1191,0.784068466096,0,9,1454,-0.00118034841494,-0.000503980783512,145,68,1519,False,False,False,False,False
tabular_only,True,False,tabular_only,1519,0,1519,1,0,0,1519,0,0,0,0,1519,False,False,False,False,False
graph_only_no_goal,True,False,graph_only_no_goal,1519,0,1519,1,0,0,1519,0,0,0,0,1519,False,False,False,False,False
graph_goal_no_traffic,True,False,graph_goal_no_traffic,1519,0,1519,1,0,0,1519,0,0,0,0,1519,False,False,False,False,False
no_traffic,True,False,no_traffic,1519,0,1519,1,0,0,1519,0,0,0,0,1519,False,False,False,False,False
warmup_probe_mode_w,True,False,warmup_probe_mode_w,1519,0,1519,1,0,0,1519,0,0,0,0,1519,False,False,False,False,False
gbdt_control,True,False,gbdt_control,1519,0,1519,1,0,0,1519,0,0,0,0,1519,False,False,False,False,False
random_feature_negative,True,False,random_feature_negative,1519,0,1519,1,0,0,1519,0,0,0,0,1519,False,False,False,False,False
shuffled_label_negative,True,False,shuffled_label_negative,1519,0,1519,1,0,0,1519,0,0,0,0,1519,False,False,False,False,False
