candidate_id,candidate_family,candidate_context_rows,safe_materialized_rows,success_regression_count_vs_g556_c063174,success_gain_count_vs_g556_c063174,both_success_quality_pairs_vs_g556_c063174,quality_delta_mean_vs_g556_c063174,bootstrap_ci_upper,better_count_vs_g556_c063174,worse_count_vs_g556_c063174,support_topologies,support_contexts,candidate_recognized_all,fingerprint_match_all,cost_finite_all,theta_in_bounds_all,safe_label_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_gcst_00329,,12000,11975,25,275,6141,0.0476362326976,0.0502887662693,1495,4060,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00381,,12000,11972,28,125,6138,-0.000963558372408,0.000751342501218,1365,1373,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00321,,12000,11971,29,93,6137,-0.000222406614631,0.00104189467976,356,361,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00419,,12000,11971,29,265,6137,0.0368125268057,0.0395655340208,1729,3753,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00441,,12000,11968,32,132,6134,0.000953189916518,0.00303025426877,1508,1474,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00510,,12000,11966,34,117,6132,0.00089306700847,0.00297720022099,2104,2386,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00348,,12000,11966,34,122,6132,0.0040797540666,0.00613798050771,1474,3574,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00445,,12000,11965,35,125,6131,0.0138955777344,0.0162378408761,1145,4149,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00074,,12000,11964,36,120,6130,-0.000892595080897,0.00093943926098,2461,2003,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00303,,12000,11964,36,122,6130,0.00309459373244,0.00826848750499,2391,2330,33,12000,True,True,True,True,False,False,False,False,False,False
