plan_row_id,context_id,base_instance_id,split,topology_id,map,map_family,source_map_family,start_goal_regime,agents,agent_count,seed,nominal_budget_ms,budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,horizon_id,free_cells,density,start_entropy_proxy,goal_entropy_proxy,flow_pressure_bucket,traffic_input_mode,fresh_seed_block,scenario_hash,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,role,candidate_id,materialized_method,candidate_family,theta_cluster,sampling_policy,counts_as_g557_candidate_row,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,fulltheta_registry_row_id
g557_label_preview_000000000,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,static_flow_shield,g556_c063174,g556_c063174,primary_g556_baseline,primary_g556_baseline,primary_baseline,False,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,
g557_label_preview_000000001,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,g554_c00051_diagnostic,g554_c00051,g554_c00051,diagnostic_g554_fixed_baseline,diagnostic_g554_fixed_baseline,diagnostic_previous_fixed_baseline,False,1.25,1.13381402673,1.25,0.75,0.75,1.05448748099,0.685779854533,0.9825,1,0.675,0.65,0.310735509535,0.814166471667,1,10.7172797083,1,0,0,
g557_label_preview_000000002,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,diagnostic_additive_ltm,diagnostic_additive_ltm,diagnostic_additive_ltm,False,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,
g557_label_preview_000000003,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,generated_theta::g557_gcst_00000,g557_gcst_00000,g557_gcst_00000,gcst_topology_conditioned_prior,gcst_topology_conditioned_prior,gcst_topology_conditioned_prior,True,1.25,1.11140222247,1.25,0.75,0.75,1.0985972157,0.662661572818,1,1,0.697005759859,0.65,0.295400266736,0.886833601861,0.979285377056,11.0949433007,1,0,0,g557_gcst_00000
g557_label_preview_000000004,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,generated_theta::g557_gcst_00001,g557_gcst_00001,g557_gcst_00001,gcst_flow_pressure_residual,gcst_flow_pressure_residual,gcst_flow_pressure_residual,True,1.25,1.15800417416,1.25,0.75,0.75,1.10421846741,0.650411291269,0.979935812493,1,0.684155364534,0.606587283523,0.335511281608,0.859006022148,1,10.7932631603,1,0,0,g557_gcst_00001
g557_label_preview_000000005,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,generated_theta::g557_gcst_00002,g557_gcst_00002,g557_gcst_00002,gcst_bottleneck_guard,gcst_bottleneck_guard,gcst_bottleneck_guard,True,1.25,1.10816512285,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.684155364534,0.65,0.366337079826,0.799153929888,1,11.5669875519,1,0,0,g557_gcst_00002
g557_label_preview_000000006,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,generated_theta::g557_gcst_00003,g557_gcst_00003,g557_gcst_00003,gcst_density_lookup_seed,gcst_density_lookup_seed,gcst_density_lookup_seed,True,1.25,1.23905868994,1.25,0.75,0.75,1.1301651554,0.641066693331,0.945873355829,1,0.653479326377,0.65,0.294553789425,0.762248359066,1,10.3031891338,1,0,0,g557_gcst_00003
g557_label_preview_000000007,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,generated_theta::g557_gcst_00004,g557_gcst_00004,g557_gcst_00004,map_family_lookup_control,map_family_lookup_control,map_family_lookup_control,True,1.25,1.19989986408,1.25,0.75,0.75,1.15738248835,0.780827161468,1,1,0.734335095785,0.65,0.309421839668,0.827525089151,1,10.2597820215,1,0,0,g557_gcst_00004
g557_label_preview_000000008,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,generated_theta::g557_gcst_00005,g557_gcst_00005,g557_gcst_00005,tabular_only_control,tabular_only_control,tabular_only_control,True,1.25,1.23905088377,1.25,0.75,0.75,0.894856586261,0.849443533797,1,1,0.550923442332,0.65,0.450169439128,0.997515089927,0.963308098441,11.3472001785,1,0,0,g557_gcst_00005
g557_label_preview_000000009,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,generated_theta::g557_gcst_00006,g557_gcst_00006,g557_gcst_00006,graph_only_no_goal_ablation,graph_only_no_goal_ablation,graph_only_no_goal_ablation,True,1.25,1.07565915145,1.25,0.75,0.75,0.971100678757,0.760776850327,0.921248147248,1,0.646100258228,0.65,0.296320375889,0.917883552499,0.975455996686,11.3709932603,1,0,0,g557_gcst_00006
g557_label_preview_000000010,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,generated_theta::g557_gcst_00007,g557_gcst_00007,g557_gcst_00007,no_traffic_ablation,no_traffic_ablation,no_traffic_ablation,True,1.25,1.15800417416,1.25,0.75,0.75,1.04033966143,0.693265827075,0.979935812493,1,0.706676522285,0.559075943058,0.290519428706,0.859006022148,1,10.7932631603,1,0,0,g557_gcst_00007
g557_label_preview_000000011,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,generated_theta::g557_gcst_00008,g557_gcst_00008,g557_gcst_00008,warmup_probe_mode_w_diagnostic,warmup_probe_mode_w_diagnostic,warmup_probe_mode_w_diagnostic,True,1.25,1.23865072163,1.25,0.75,0.75,0.958146852881,0.641151856301,0.950297814926,1,0.714852285623,0.65,0.315148782303,0.938200399636,1,11.1103342103,1,0,0,g557_gcst_00008
g557_label_preview_000000012,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,generated_theta::g557_gcst_00009,g557_gcst_00009,g557_gcst_00009,wide_negative_control,wide_negative_control,wide_negative_control,True,1.5,0.971307328804,0.815667778039,1.03250488812,0.914375989998,1.22586247788,0.358072372462,0.9,0.9,0.994515581314,0.787574399851,0.503141083848,1.07827511486,1,12,1,0,0,g557_gcst_00009
g557_label_preview_000000013,g557_ctx_00000000,g557_topology_000_empty|a25|s100000|uniform_random,heldout_topology,g557_topology_000_empty,empty-32-32,empty,empty,uniform_random,25,25,100000,500,500,250,0.5,2,b500_short250_t050_i2,1024,0.0244140625,0.765539618921,0.95012494975,low,P,100000_100019,144445787165774,False,False,False,False,False,generated_theta::g557_gcst_00010,g557_gcst_00010,g557_gcst_00010,gcst_topology_conditioned_prior,gcst_topology_conditioned_prior,gcst_topology_conditioned_prior,True,1.25,1.28042823881,1.25,0.75,0.75,1.20085986413,0.741464645292,0.925982471909,1,0.625777714502,0.65,0.283963748149,0.759260750319,1,9.88275214548,1,0,0,g557_gcst_00010
