candidate_family,candidate_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
diagnostic_additive_ltm,1,False,False,False,False,False
diagnostic_g554_fixed_baseline,1,False,False,False,False,False
diagnostic_old_hand_staticflow,1,False,False,False,False,False
gcst_bottleneck_guard,2000,False,False,False,False,False
gcst_density_lookup_seed,2000,False,False,False,False,False
gcst_flow_pressure_residual,2000,False,False,False,False,False
gcst_topology_conditioned_prior,2000,False,False,False,False,False
graph_only_no_goal_ablation,2000,False,False,False,False,False
map_family_lookup_control,2000,False,False,False,False,False
no_traffic_ablation,2000,False,False,False,False,False
primary_g556_baseline,1,False,False,False,False,False
tabular_only_control,2000,False,False,False,False,False
warmup_probe_mode_w_diagnostic,2000,False,False,False,False,False
wide_negative_control,2000,False,False,False,False,False
