topology_id,map,free_cell_count,represented_cell_count,all_cells_assigned,original_component_count,coarsened_component_count,component_count_unchanged,shortest_path_distortion_mean,shortest_path_distortion_max,connectivity_preserved,map_source,width,height,directed_edge_count,physical_map_sha256,free_cell_bitmap_sha256,adjacency_sha256,hash_source,max_nodes_hint,max_nodes_sampling_truncated,max_nodes_sampling_rejected_for_g559,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g559_topo_000,empty-8-8,64,64,True,1,1,True,0.0,0.0,True,/root/czr004/external/lacam2/assets/empty-8-8.map,8,8,224,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,634c9bf8165078e2434bc214535219e40bc4ec4983023c96012de430f59ab306,36baae0d543eceb5eadd40dd12f0506a589c95ea10bad67b5534415ae60115dd,raw_map_file,0,False,False,False,False,False,False,False
g559_topo_001,empty-16-16,256,256,True,1,1,True,0.0,0.0,True,/root/czr004/external/lacam2/scripts/map/empty-16-16.map,16,16,960,1c1b857d15592c2c961bfed474b7064f6987b3b7a20765061cd9d2210a727c6c,095884e1830a75b6d595fd32daf6b78a89bcf60963f20f2156f9bd16fc77adca,775bbbbdb6bae5cddce9ce954b3436f657a02172ce9048fbff53834d432fef58,raw_map_file,0,False,False,False,False,False,False,False
g559_topo_002,empty-32-32,1024,1024,True,1,1,True,0.0,0.0,True,/root/czr004/external/lacam2/scripts/map/empty-32-32.map,32,32,3968,3ad85daf37d87c531bc2a1574856ef380f50fdebf885d06a4b59a1a11b3938ab,57f9f88ea86e4b3674d1ab1264d8a01d2d911a565a499c978c0715c0a673f214,8e18da7e64ce56a3f71dda801163250791a9856ff7b02aec72aee533b41e6656,raw_map_file,0,False,False,False,False,False,False,False
g559_topo_003,random-8-8-20,51,51,True,1,1,True,0.0,0.0,True,/root/czr004/external/lacam2/scripts/map/random-8-8-20.map,8,8,142,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,e4adeba96dc7b3c9308b5839d48de9f65a40cc41b48e083acba7e6546fcc7d5d,3d2f97222a1473c13a123f78c65997016d9738ed4317157ac89e6b1c264a5b8a,raw_map_file,0,False,False,False,False,False,False,False
g559_topo_004,random-32-32-10,922,922,True,1,1,True,0.0,0.0,True,/root/czr004/external/lacam2/assets/random-32-32-10.map,32,32,3238,7f11aca3d4470c8f10b48705de9f56ab611bcbc595c5175215bbcc2b3e3aff83,d91e2325e105d8200d14cf7abd787a4ae84dfd0b6b4f8ebe6edda215dba22a32,c3b0477c32359a0b37da52fb9bedea533afc3f171261318259c1d749a3bbbd22,raw_map_file,0,False,False,False,False,False,False,False
g559_topo_005,random-32-32-20,819,819,True,1,1,True,0.0,0.0,True,/root/czr004/external/lacam2/assets/random-32-32-20.map,32,32,2540,726bdb48f5e308daa9df7017c3497369e61e39c16da3ed88a77a4665c29a4557,95c010d4b0c418ece04d59f94aef860b4081dd50d198eebe4227e02dfb808ad5,6cf10d12535f6a8719675336e1cdf5a9c118759bdad223b702b0040f21ad92e6,raw_map_file,0,False,False,False,False,False,False,False
g559_topo_006,maze-32-32-2,666,666,True,1,1,True,0.0,0.0,True,/root/czr004/external/lacam2/scripts/map/maze-32-32-2.map,32,32,1950,5254a343a7522f22640390a6fa1428d1f6ca6c9523a15c311ab0b8a3c275d855,c9cea53d4e0430ae51520ec71fd491628c8358c9972b557582a7bdf890d9cb1b,dd5de1073364df79464e3eaf9fb3f84ebc092ee5d88ee9e0e66e53285e668f5c,raw_map_file,0,False,False,False,False,False,False,False
g559_topo_007,maze-36-32-4,892,892,True,6,6,True,0.0,0.0,True,synthetic_reconstruction,36,32,2860,1a385655eefa597ff90a1b67c4953fe9452091ff2b8a377cef7c505f6be9b673,dfe724badfc4fd0c124285ad317be2bc6ce12e9c4f2b794d41e49ae834b3a18e,ff5f70da5e7eb6ab298b3189fc50f8409bc63793d20d1dbe9e9ad83153b891cc,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_008,room-32-32-4,682,682,True,1,1,True,0.0,0.0,True,/root/czr004/external/lacam2/scripts/map/room-32-32-4.map,32,32,1928,f6f86ccb27119d017e3463c169904daa4e8d5782cb153e152829b26c0d9be77c,5d7c9d0c58f8b53ea1b73500ed0520cb2e53497dfe08fef9094a46d4d6c434fb,4a1d3edbb1c1eab977b026326dbd022c33ef85583a678054161875f709717fb0,raw_map_file,0,False,False,False,False,False,False,False
g559_topo_009,room-40-32-8,1213,1213,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,40,32,4572,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,7711268f9035b95c652408f1eb13fb99fc38a3522d84586182f3af4f5d4d064d,d1d51c8181c5b54b35cf72139d81e5d4cc62386ab9facc062fefaacf419768b7,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_010,g559-synth-warehouse-a-32,640,640,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,32,32,2144,7ef6c3d699f085e83aae4a74af4d3a80e228e2acd4a8d94abfbc6ba844e7a611,d65ba827df1cea945981c5a9a277bbd9c2a79026768090d9da0a3e71d946ffc0,1e7738e8a5040da4d1b712917c73893fcca0ba6aadbeecbe47530ab26521a707,synthetic_reconstruction,0,False,False,False,False,False,False,False
