instance_uid,evaluation_uid,context_id,map,map_family,topology_id,agents,agent_count,requested_pilot_agent_count,solver_largest_component_size,seed,budget_ms,nominal_budget_ms,horizon_id,base_time_limit_sec,ltm_max_iterations,physical_map_sha256,adjacency_sha256,start_goal_assignment_sha256,solver_scenario_path,solver_scenario_sha256,actual_solver_scenario_from_instance_assignment,requested_agent_count,physical_free_cell_count,agent_density,encoded_OD_token_count,represented_agent_mass,represented_flow_mass,path_found_rate,nonzero_flow,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
aa271fe91d3320ff39c6ffc3007a108a91697cf5ea9ec0aa642f1053a067daaf,5082d6758759ff098c146cdffde4144039562fad25846296cfb30fece9f47c62,g559_ctx_002609,room-40-32-8,room,g559_topo_009,256,256,256,1213,9609,1000,1000,g559_b1000_i4,1.0,4,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,d1d51c8181c5b54b35cf72139d81e5d4cc62386ab9facc062fefaacf419768b7,1e7ce0eb03d4ba927fb98efa385fa26e35cd23b0d5776d7e84b03404da6b0e28,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/room-40-32-8-random-9609.scen,109a5b72cefe0e44afa72111cb58707d398ec747e25fab7a74d3436a01635368,True,256,1213,0.2110469909315746,256,256,6774.0,1.0,True,False,False,False,False,False
7e5cade7c010ecf766b073723ad11fa7f0602768efbd7bbde6f821bde6d1c4bb,eb751ff1e7e9f43df4ca25565e1815e2acb2f1fbd45725f354cc9d765a9bc69d,g559_ctx_004921,empty-16-16,empty,g559_topo_001,32,32,32,256,11921,1000,1000,g559_b1000_i3,1.0,3,1c1b857d15592c2c961bfed474b7064f6987b3b7a20765061cd9d2210a727c6c,775bbbbdb6bae5cddce9ce954b3436f657a02172ce9048fbff53834d432fef58,151e3e27cf9a06a1e3c5a0bd3816377d4854a74357f5d4e95247ccc91f2e7a48,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/empty-16-16-random-11921.scen,7325e3028116f3c349f211aa5ff3e79e2cbd45c8585a08747c86a228d1250ba4,True,32,256,0.125,32,32,496.0,1.0,True,False,False,False,False,False
5ac4ec032e4d8e5a75e89023ef8b14c96f1cce3d2a0697716ef99addee542434,61c782cf6b7e5c27332fecef91586038f6940accf4f61ae1b57a1bca6ec9da5f,g559_ctx_000607,maze-36-32-4,maze,g559_topo_007,32,32,32,884,7607,5000,5000,g559_b5000_i3,5.0,3,1a385655eefa597ff90a1b67c4953fe9452091ff2b8a377cef7c505f6be9b673,ff5f70da5e7eb6ab298b3189fc50f8409bc63793d20d1dbe9e9ad83153b891cc,a7daa5d0019250982b519d57ece2581e5ec22eedf5abbd926cc3bc20410f4f1e,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/maze-36-32-4-random-7607.scen,07e0163b30765fe0296e7931f85e3ab3dffee27d4983d07982a5b1563e5c4aa3,True,32,892,0.03587443946188341,32,32,1043.0,1.0,True,False,False,False,False,False
a4e20815d929021415ffbb0651b5f9e07b3822cdc116a5cc80a1e6f55e72c992,68a3e85a736bc5b885ef6d7e4274be64b8e395cde64164d9924a9e13fd4d268a,g559_ctx_003646,maze-32-32-2,maze,g559_topo_006,128,128,128,666,10646,2000,2000,g559_b2000_i3,2.0,3,5254a343a7522f22640390a6fa1428d1f6ca6c9523a15c311ab0b8a3c275d855,dd5de1073364df79464e3eaf9fb3f84ebc092ee5d88ee9e0e66e53285e668f5c,5c079e9d55ea70ee684a1db3eb9d4b9b264f6786c915bb57ff5cfff68033f528,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/maze-32-32-2-random-10646.scen,a23af03ba42877de4d6d18578d6b3ae285ed7c8ab6a8c266b15ac610f3ca4697,True,128,666,0.1921921921921922,128,128,8213.0,1.0,True,False,False,False,False,False
1b62c8ff414f073b8054abc0565856984943c1ba525739db7a008637a005a6c7,2e794cfa3ed0210850caf8f89646aef465534936c3c0440c182c0046e39bdb86,g559_ctx_001398,g565-synth-hub-spoke-a-44,hub_spoke,g559_topo_038,16,16,16,1517,8398,2000,2000,g559_b2000_i2,2.0,2,0834f09d29cc36f5f4d9f047f0d96e961da4932a66c304bcab5178f164bf3d01,4b0c2bdf6b3bd1bc2d57d4f8eb8808885e94567d742431a1f78d202724428e4f,fe5ff309daaa3485ed7ae8fec49f91dee94def2528c62aa8e5f207ab76fd33eb,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-hub-spoke-a-44-random-8398.scen,935bb3445386f349583bba86c598f192858115a3c5b8fc5b842a7a296266a7b2,True,16,1523,0.010505581089954037,16,16,643.0,0.9375,True,False,False,False,False,False
66118923f899f1e605c6dbd268029c0703ab3307b1e1a9cb308c931c54c6c4b5,8a8780b96529d6d720d659d5c7ca8c55c211b6a479cd895e0dcea83b4bb18823,g559_ctx_001721,empty-16-16,empty,g559_topo_001,256,256,256,256,8721,1000,1000,g559_b1000_i4,1.0,4,1c1b857d15592c2c961bfed474b7064f6987b3b7a20765061cd9d2210a727c6c,775bbbbdb6bae5cddce9ce954b3436f657a02172ce9048fbff53834d432fef58,58dc5838125a7bf360a5076a525a4d213e91a5aac91fcbfa15f2952d84449cc9,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/empty-16-16-random-8721.scen,3166ccc8580259e69ab87f109f69a2aba5c170c04b2e5f2e5f03e372ca31851b,True,256,256,1.0,256,256,2638.0,1.0,True,False,False,False,False,False
ac5b31c28663c119ff28e948168231c176651d5945b8cb4875c52d79bee544ae,c255d6f87803ff279b2a4169ba35386c98cb7a3702d231e021c86ef6d31bf68a,g559_ctx_000319,g565-synth-hub-spoke-b-52,hub_spoke,g559_topo_039,32,32,32,1764,7319,5000,5000,g559_b5000_i3,5.0,3,7a7f8c801eaa7e5d351183abb5d137fcdc1491a55b998cfa22a846e56caa3720,ddec9234a98d973a76f8d9530d88049e36b439f1358d2763ddd6cea59edb11e5,05c755e8a9cacdbb49baa66856276c8d8e55146de45e1ab0c091a3102de0a3e9,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g565-synth-hub-spoke-b-52-random-7319.scen,1758f1cb94d5888e8b2307d4a671fa81d2ab58262e273b92f0cbccb828d6dc23,True,32,1776,0.018018018018018018,32,32,794.0,0.9375,True,False,False,False,False,False
9f8d5cdb8ca65358e8a87ec2cc36c78d0df8a19973ebf9a573cc37b7f11092b2,2edf4c4976c566e9c42b4aa369b1e51b05ec594c8a1d0655bb9b0d0662ac6424,g559_ctx_003168,room-32-32-4,room,g559_topo_008,16,16,16,682,10168,500,500,g559_b500_i2,0.5,2,f6f86ccb27119d017e3463c169904daa4e8d5782cb153e152829b26c0d9be77c,4a1d3edbb1c1eab977b026326dbd022c33ef85583a678054161875f709717fb0,a6442ca9075cbc58dd4d68a32832974365474400ac5b14bd170379cc13a571fc,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/room-32-32-4-random-10168.scen,f564029590a9cf58fca6019119f2096e5c99760a6c817a8517a54b69e3f83847,True,16,682,0.02346041055718475,16,16,601.0,1.0,True,False,False,False,False,False
4d8bcc3494dfdfee45fb6a5e24bab510654bba00f2e0784d7b61e371bc9061fe,20c0bac1d05e903290c340ef0824b98fa2ee216c10b52365e45658309720fbf0,g559_ctx_003623,g559-synth-game-lak-32,game,g559_topo_023,256,256,256,793,10623,5000,5000,g559_b5000_i4,5.0,4,3d8211e6194a40724c7ffe8c552d48777ac9d2b767bf94623ae9f0c376a447f4,ffe610c0c9be3c46de04a3edb987d7a3775e64364a4c75e61fbbcd98ae46efab,e273a85e0bf890a8f9d75db004ae4d177f4a8b0657efe83a09a5ca76780ce80b,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/g559-synth-game-lak-32-random-10623.scen,8a1a9ebf6901e529bc37e402d45397095de98f8743538d59392bf607a966ba48,True,256,794,0.3224181360201511,256,256,8709.0,0.99609375,True,False,False,False,False,False
462a87b3b48b474ea12ae6cdbcc9e69a30b99978b0d769d4329a7d1d34c3a4a8,090035ab8258f31e425da4e10c2ab44bdc04b8a312ffc3165c1e70950bd54721,g559_ctx_001243,random-8-8-20,random,g559_topo_003,32,32,32,51,8243,5000,5000,g559_b5000_i3,5.0,3,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,3d2f97222a1473c13a123f78c65997016d9738ed4317157ac89e6b1c264a5b8a,8e5042204cf5310cb564fbf1d5b5b47be5ac29c1c5bd1f0c9530633cec403c96,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-8-8-20-random-8243.scen,7cccbffa77935ffa14a6a7ec64d8e207314401c4d00ceebf3aec8bc930536e96,True,32,51,0.6274509803921569,32,32,184.0,1.0,True,False,False,False,False,False
