aaai_ready,candidate_id,candidate_source,component,diagnostic_only,flow_shield_beta,goal_projection_mode,include_in_default_scaled_labels,include_in_local_lattice,max_flow_shield,phase5p5_allowed,phase6_allowed,registry_supported,resolved_candidate_id,rho_cong_decay,updateparams_hash
False,additive_ltm,base_start_set,control,True,0.0,none,True,False,0.0,False,False,True,additive_ltm,1.0,9c2122a6b5d2b1f12f9d3a893c6d103d14e05d21d4f8266a4eb4e73477e3d097
False,repair5g2_best_frozen_static_candidate,base_start_set,frozen_static_alias,True,0.35,flow_shield,True,False,0.75,False,False,True,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.95,5fc985c46893a1944d932b1b5ee9f24ce7a677d2b00a52be7a61b0513d58f003
False,repair5g2_frozen_static_or_selector,base_start_set,map_agent_group_selector_alias,True,0.35,flow_shield,True,False,0.75,False,False,True,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.95,5fc985c46893a1944d932b1b5ee9f24ce7a677d2b00a52be7a61b0513d58f003
False,repair5g2_c_equiv_best_frozen_baseline,base_start_set,c_equiv_alias,True,0.0,none,True,False,0.0,False,False,True,repair5g_dual_c_equiv_c100_b100_w075_d100,1.0,d0dc96dac7ee7f64e83f3e888b6e723153a366cadf8a5baebf21a86a4d907b75
False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,base_start_set,flow_shield,True,0.35,flow_shield,True,True,0.75,False,False,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,1.0,d2ae8af2b9204a83cd8310df90b7e979c9a27a4bbb16fd19653e7757783b528a
False,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,base_start_set,flow_shield,True,0.2,flow_shield,True,True,0.5,False,False,True,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0.95,b1dcbfd43806c377913fc94fe61c926f2f84816e445c677222bd537999068ee3
False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,base_start_set,flow_shield,True,0.35,flow_shield,True,True,0.75,False,False,True,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.95,5fc985c46893a1944d932b1b5ee9f24ce7a677d2b00a52be7a61b0513d58f003
False,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,bounded_local_lattice,flow_shield,True,0.2,flow_shield,False,True,0.5,False,False,True,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,1.0,7cf1570fca02ab2a1cf252a14f4737e486fad0b7e3c0f4088a21616f521750cc
False,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,bounded_local_lattice,flow_shield,True,0.2,flow_shield,False,True,0.75,False,False,True,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,1.0,9eb8616d4340f819505b7f22355f54802be249e3379f8db0a899bac6870f0ef4
False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,bounded_local_lattice,flow_shield,True,0.35,flow_shield,False,True,0.5,False,False,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,1.0,595acfcb70b64c4bd3593b8dd1c06c175644050d19c76e07fe4729871ccfa37e
False,repair5g1_shield_c100_b125_w075_d100_beta0p5_max0p5,bounded_local_lattice,flow_shield,True,0.5,flow_shield,False,True,0.5,False,False,True,repair5g1_shield_c100_b125_w075_d100_beta0p5_max0p5,1.0,cf5837f1b3f2c9282a1e34b3af230bb0cac96aa9325fe118c022d4d30f1160ea
False,repair5g1_shield_c100_b125_w075_d100_beta0p5_max0p75,bounded_local_lattice,flow_shield,True,0.5,flow_shield,False,True,0.75,False,False,True,repair5g1_shield_c100_b125_w075_d100_beta0p5_max0p75,1.0,6d4f7edf815655d7c86955e0fb9f51904fab3c3bb1929fe521002a08c0d0d429
False,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,bounded_local_lattice,flow_shield,True,0.2,flow_shield,False,True,0.75,False,False,True,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,0.95,75afcc2eeb2a70c7cc31f02c8aba14fb84decf1ce65f41ec6a46a9e3d2259e4d
False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,bounded_local_lattice,flow_shield,True,0.35,flow_shield,False,True,0.5,False,False,True,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,0.95,38da7c2d9a4448414d1c964c7dfe8b848efc44d538d8140d6af8ca4f850031b8
False,repair5g1_shield_c125_b125_w075_d095_beta0p5_max0p5,bounded_local_lattice,flow_shield,True,0.5,flow_shield,False,True,0.5,False,False,True,repair5g1_shield_c125_b125_w075_d095_beta0p5_max0p5,0.95,6a1bf6707564ba1c194f6be4fa1f407ddf2975a2e0bb3404168c4a8c89de990d
