method,model_path,g560_evaluation_uid,g560_instance_uid,split,generated_theta_uid,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost
G0_direct_actor,/root/czr004/artifacts/models/gcst/g560_direct_actor_g0_560.pt,006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,89ca8a418e6e740c3f3a40979e38832755b3e30177f3d4ca4821c74d10892860,train,1993d5a4ec51137243c044a568978e964276074021bd48d150e34c644ae140e5,1.2372862100601196,1.1593414545059204,1.2495037317276,0.7492820620536804,0.7679649591445923,1.0315576791763306,0.6930789351463318,0.980237603187561,1.0,0.6801073551177979,0.6506143808364868,0.335338830947876,0.8940132856369019,0.998254656791687,10.792980194091797
G0_direct_actor,/root/czr004/artifacts/models/gcst/g560_direct_actor_g0_560.pt,0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,e18a5d07f45e4b543368a2d9eec432055b710cd8f040b0cafa7ad2248dd3b89d,train,d0b5762ecf64b5c50a3ba7d7c85f3bdd715079700ff3e24a44dda56c344cca9b,1.2496799230575562,1.1586308479309082,1.2585465908050537,0.7452161312103271,0.7523278594017029,1.0415741205215454,0.6936318874359131,0.9802940487861633,1.0,0.6832513809204102,0.6460931897163391,0.33791670203208923,0.8491277694702148,0.9999969005584717,10.78557300567627
G0_direct_actor,/root/czr004/artifacts/models/gcst/g560_direct_actor_g0_560.pt,0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,b29cb5508b79b79cc653e0da90ca6367ca157807ddf3acfb94858c52b56e9698,train,d28ff84017b87c7b58849e5a41180cecfcc1d4b2a39f66f765d1f7143f865cd5,1.250367283821106,1.1580768823623657,1.2517637014389038,0.7480483651161194,0.7533387541770935,1.0376302003860474,0.6920088529586792,0.9799137711524963,1.0,0.6751865148544312,0.64997798204422,0.34180691838264465,0.9080803990364075,0.999733567237854,10.827811241149902
G0_direct_actor,/root/czr004/artifacts/models/gcst/g560_direct_actor_g0_560.pt,0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,38e1b40ee04cfed380e677f2655fc7e01a787931d1dc3a15dcfdd3c6b4e8df5a,train,0ebc8a61dac26674fef85d75cf18335c885c10659aecc47ad39a598f2962cb06,1.2495360374450684,1.1580984592437744,1.2491810321807861,0.7504612803459167,0.750149130821228,1.0384342670440674,0.6930500268936157,0.9800847172737122,1.0,0.6838717460632324,0.6499941349029541,0.335747629404068,0.8515661954879761,0.9999829530715942,10.793624877929688
G0_direct_actor,/root/czr004/artifacts/models/gcst/g560_direct_actor_g0_560.pt,017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,7926f66ee6c531299c62301e7f85bcbb4d9f075fb24b931acc1beac8cbf0d10f,heldout,530a111ba3c471a3196c89d793adc3eaaa452923d35a9f58878adb00c5500c27,1.2458741664886475,1.1579248905181885,1.252598524093628,0.7513425946235657,0.7675213813781738,1.03244948387146,0.6926849484443665,0.9799994826316833,1.0,0.6868394613265991,0.6504970788955688,0.33764511346817017,0.8891679048538208,0.999536395072937,10.794885635375977
G0_direct_actor,/root/czr004/artifacts/models/gcst/g560_direct_actor_g0_560.pt,01aec451146f62e2ae6a035fb24c66aa16f1d70b384e141ea2ae2205b51a5e41,4b87876bbda81f875368e4873037f803b0c72da2041c36bbf92dbf9cd55500f8,train,0c48e4890c38f6467ca908a6053ef507b9958de758f85e5e25f5b96752070c48,1.2547580003738403,1.1593855619430542,1.2504140138626099,0.7496675252914429,0.7556558847427368,1.0385689735412598,0.6894271969795227,0.982017993927002,1.0,0.6836968064308167,0.6581957936286926,0.3354054093360901,0.8562448024749756,0.9977078437805176,10.814634323120117
G0_direct_actor,/root/czr004/artifacts/models/gcst/g560_direct_actor_g0_560.pt,01f6c93fbd85ccfa89e2f59b3a21cac50dd0813f6acd384044fa209cf6308d24,92b98e930af0e54fa365ce9d42585f488944229f76ca801027aa08961289ef1f,train,763249f29b976fdb8789f94f565530b53c379d884037c61480e93c6b6b4b7dc5,1.2491545677185059,1.1595802307128906,1.3435566425323486,0.7397383451461792,0.7645462155342102,1.0002317428588867,0.6600627303123474,0.9768592715263367,1.0,0.6845861673355103,0.6683801412582397,0.3448517322540283,0.8753184676170349,0.9981921911239624,10.806612968444824
G0_direct_actor,/root/czr004/artifacts/models/gcst/g560_direct_actor_g0_560.pt,0200c783089e16be39708e8b5685b366c474262bee093926edf3eff48bbd4699,84f6dfa2d6a4dff1ac4b969de7f87fc50fd085d76769fc14bd343ce690633c24,validation,6eab37ba1345a62a20ee23f608e2a22acbb2348d1db8dd00580506aa1d6d8d59,1.2567929029464722,1.1584702730178833,1.248218059539795,0.7291123867034912,0.7648818492889404,1.037473440170288,0.6938226222991943,0.9819763898849487,1.0,0.6755602359771729,0.645607054233551,0.34466081857681274,0.9121149182319641,0.9999183416366577,10.804800033569336
G0_direct_actor,/root/czr004/artifacts/models/gcst/g560_direct_actor_g0_560.pt,0244a74454cd672d1feed82d2a9031bb33f37992134b44b942c30ab4cce30a49,8e00c8f223f1057904ff540b043e737dfba8b4bcc3ffd33fbac65a374242c0dd,train,32ed530041a583bfbbea6a5c7f85b5f481eb050fc544d79bc4e39b6a573b8142,1.2484022378921509,1.1582410335540771,1.2534786462783813,0.7496603727340698,0.7603560090065002,1.0370641946792603,0.6920209527015686,0.9798174500465393,1.0,0.6792875528335571,0.6506069898605347,0.34436285495758057,0.8627917170524597,0.999954342842102,10.823841094970703
G0_direct_actor,/root/czr004/artifacts/models/gcst/g560_direct_actor_g0_560.pt,02fe53cdc2fda88a8cf316aec26ca8dc4227ca830aed40a1adc9944741a344ec,50469471331c6c084ff04840014cc6b6757eac0568fe6f6b0cfb166c80548f18,train,ff2b847def18cc4f62cd7931ebb0a4c242ad84f9984114c8cc395e3f4ba3a653,1.250135898590088,1.1580952405929565,1.2527101039886475,0.7471222877502441,0.7544180154800415,1.0371726751327515,0.6922792792320251,0.9801864624023438,1.0,0.6757310032844543,0.6479154825210571,0.3438849449157715,0.9143400192260742,0.999713659286499,10.822516441345215
