replay_phase,map,agents,seed,budget_ms,horizon_id,g561_instance_uid,g561_evaluation_uid,g561_identity_digest,g561_scenario_sha256,theta_id,method,model_path,baseline_id,candidate_success,baseline_success,success_regression,success_gain,both_success,both_fail,quality_delta_vs_g556,quality_delta_vs_additive,candidate_recognized,fingerprint_match,scenario_hash_match,identity_retained,cost_finite,candidate_runtime_ms,baseline_runtime_ms,runtime_overhead_ms,candidate_expanded_nodes,baseline_expanded_nodes,candidate_low_level_pibt_calls,baseline_low_level_pibt_calls,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
architecture_replay,maze-32-32-4,32,9101,500,g561_replay_maze_a32_b500_i2,d64ec7333f5baf08ab0db7d814359b8397ad2fe60d8c1c46856da0cf9e92396d,5549d18cda26ebc292a6c9ed934fbb88a30ee6120c719ae8cd1eeaa68045d279,ffaf71e017973959768906b839ffd3179e4e5f8d7edb2161ab79b07c87d271cf,edafd0e4dee0c074621a2e2da70a5a8a0cfe2cd784fb63242ce6201d8810129a,g561_f1_scalar_conservative_actor_54d78b22affe,F1_scalar_conservative_actor,artifacts/models/gcst/g561_f1_scalar_conservative_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,-0.041322314050000086,-0.15123966942,True,True,True,True,True,8.205789,5.753185,2.452603999999999,99,101,3136,3200,1.2499496936798096,1.1580111980438232,1.3282508850097656,0.7500782608985901,0.7500060796737671,0.8014727830886841,1.0324872732162476,0.9500417113304138,1.0,0.9303386807441711,0.6500145196914673,0.5741057395935059,1.2314975261688232,1.0,10.793145179748535,False,False,False,False,False
architecture_replay,maze-32-32-4,32,9101,500,g561_replay_maze_a32_b500_i2,d64ec7333f5baf08ab0db7d814359b8397ad2fe60d8c1c46856da0cf9e92396d,76ca9d38d8400f3e405ab8e8789e07c45e822ffaeaee93f2b937cca10efe16fb,edaa3f7acd382bc0806d526256918081f312ca188975cb34ca339bf46f8079ea,edafd0e4dee0c074621a2e2da70a5a8a0cfe2cd784fb63242ce6201d8810129a,g561_f4_graph_paired_od_actor_95245d86637d,F4_graph_paired_od_actor,artifacts/models/gcst/g561_f4_graph_paired_od_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,-0.019834710740000094,-0.12975206611,True,True,True,True,True,6.560044,5.753185,0.8068590000000002,101,101,3200,3200,1.2500866651535034,1.158050537109375,1.389644742012024,0.7498071789741516,0.7501773834228516,0.7869976758956909,1.0261211395263672,0.9500840306282043,1.0,0.9258372783660889,0.650067925453186,0.5741772651672363,1.230555534362793,1.0,10.793357849121094,False,False,False,False,False
architecture_replay,maze-32-32-4,32,9101,500,g561_replay_maze_a32_b500_i2,d64ec7333f5baf08ab0db7d814359b8397ad2fe60d8c1c46856da0cf9e92396d,78a462726a8d62e6a0a0aa4fbb3f96e029333e89608a747b5746f8cf7e33438a,bbe8e1fde66773559b42b720a1fce28c36b96af0ceea7912c5504b0e32f8efe2,edafd0e4dee0c074621a2e2da70a5a8a0cfe2cd784fb63242ce6201d8810129a,g561_f6_full_goal_aware_dual_channel_actor_2213696db816,F6_full_goal_aware_dual_channel_actor,artifacts/models/gcst/g561_f6_full_goal_aware_dual_channel_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,-0.041322314050000086,-0.15123966942,True,True,True,True,True,5.335814,5.753185,-0.41737100000000016,99,101,3136,3200,1.2498643398284912,1.1580406427383423,1.316983699798584,0.7500237226486206,0.7502412796020508,0.7981283664703369,1.022085428237915,0.9500789642333984,1.0,0.9265915751457214,0.6500232219696045,0.5747456550598145,1.231858491897583,1.0,10.793135643005371,False,False,False,False,False
architecture_replay,maze-32-32-4,32,9101,500,g561_replay_maze_a32_b500_i2,d64ec7333f5baf08ab0db7d814359b8397ad2fe60d8c1c46856da0cf9e92396d,4428dfefbce63c4b910961d8c48fb9f83f097d0a1f5ba8d44ce1a0761a52d4b4,12ccf8ab12b34a2deb6e091fb91f332b024b2224c1c577aca70dd3e0ac2a3b28,edafd0e4dee0c074621a2e2da70a5a8a0cfe2cd784fb63242ce6201d8810129a,g561_f7_full_goal_aware_actor_training_critic_aa0cf98f7b91,F7_full_goal_aware_actor_training_critic,artifacts/models/gcst/g561_f7_full_goal_aware_actor_training_critic_seed561.pt,g556_c063174,True,True,False,False,True,False,-0.03801652893000007,-0.14793388429999998,True,True,True,True,True,4.253443,5.753185,-1.4997420000000004,99,101,3136,3200,1.249824047088623,1.157932996749878,1.232852578163147,0.7499626874923706,0.7502209544181824,0.8038055896759033,1.0867629051208496,0.9450980424880981,1.0,0.8502824306488037,0.6501942873001099,0.6140292286872864,1.2872310876846313,1.0,10.793099403381348,False,False,False,False,False
architecture_replay,maze-32-32-4,32,9110,1000,g561_replay_maze_a32_b1000_i3,052cfde69706db5d5b6f372f172f16a932141b6651e7cc4b9e4cda6df3d8e892,1b8d58be99b1282d19f90bb707bebafa88e2d1988c94e35c9dd1edc3d7a75c99,a3e5fb0952dc31017c6e020e3af671f59d979846bda599c1f8a2a9c76e67c8cd,9a711a61a3c7d0429cdeacd30f1048251b4566b1f9b9dab6b3ce6f750f43a985,g561_f1_scalar_conservative_actor_1988f1cc61d6,F1_scalar_conservative_actor,artifacts/models/gcst/g561_f1_scalar_conservative_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.0319303338100001,-0.20609579100999986,True,True,True,True,True,4.304107,7.279693,-2.975586,95,97,3008,3072,1.2499439716339111,1.158014178276062,1.3281316757202148,0.750072181224823,0.7500108480453491,0.8013532757759094,1.0325088500976562,0.9500415325164795,1.0,0.9304471015930176,0.6500146985054016,0.5741068720817566,1.2315044403076172,1.0,10.79312515258789,False,False,False,False,False
architecture_replay,maze-32-32-4,32,9110,1000,g561_replay_maze_a32_b1000_i3,052cfde69706db5d5b6f372f172f16a932141b6651e7cc4b9e4cda6df3d8e892,bbaeacf3c7630aef16e5829135e7ba148674b9bf1ff567edb4e68647bd7c3f44,2ae0a5e7fbce28bda7e041601bb049267d6028befc0999249ce630e56c9e0dbc,9a711a61a3c7d0429cdeacd30f1048251b4566b1f9b9dab6b3ce6f750f43a985,g561_f4_graph_paired_od_actor_39eeb6a1970c,F4_graph_paired_od_actor,artifacts/models/gcst/g561_f4_graph_paired_od_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.0319303338100001,-0.20609579100999986,True,True,True,True,True,4.11826,7.279693,-3.1614329999999997,95,97,3008,3072,1.2500863075256348,1.1580480337142944,1.389970064163208,0.7498175501823425,0.7501618266105652,0.7876900434494019,1.025985598564148,0.9500847458839417,1.0,0.9255881309509277,0.6500687003135681,0.5741656422615051,1.2305381298065186,1.0,10.793354034423828,False,False,False,False,False
architecture_replay,maze-32-32-4,32,9110,1000,g561_replay_maze_a32_b1000_i3,052cfde69706db5d5b6f372f172f16a932141b6651e7cc4b9e4cda6df3d8e892,64592c6051a30460e3da9eca7efa2042b2a57bb463320108433e44258a630bda,20f6ae76d84976a9b2f17a3d28bdb0374641fb736c99c74f17dbcc4dfdc28776,9a711a61a3c7d0429cdeacd30f1048251b4566b1f9b9dab6b3ce6f750f43a985,g561_f6_full_goal_aware_dual_channel_actor_c5801ef75dcf,F6_full_goal_aware_dual_channel_actor,artifacts/models/gcst/g561_f6_full_goal_aware_dual_channel_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.0449927430999999,-0.19303338172000006,True,True,True,True,True,5.056822,7.279693,-2.2228709999999996,95,97,3008,3072,1.2498453855514526,1.158048152923584,1.3332172632217407,0.7500216364860535,0.75019770860672,0.7984493970870972,1.0157967805862427,0.9500918984413147,1.0,0.9363477230072021,0.6500330567359924,0.5746822953224182,1.2317748069763184,1.0,10.793180465698242,False,False,False,False,False
architecture_replay,maze-32-32-4,32,9110,1000,g561_replay_maze_a32_b1000_i3,052cfde69706db5d5b6f372f172f16a932141b6651e7cc4b9e4cda6df3d8e892,0e62bcf0ee822e95f2fd29fdff821df6f0fb2e5d870a31e67068b6337df5964f,dde671c7a149e23a8b94ef22081570dce9dd25f51d6ae1648d841d27743bb366,9a711a61a3c7d0429cdeacd30f1048251b4566b1f9b9dab6b3ce6f750f43a985,g561_f7_full_goal_aware_actor_training_critic_b80e93300c67,F7_full_goal_aware_actor_training_critic,artifacts/models/gcst/g561_f7_full_goal_aware_actor_training_critic_seed561.pt,g556_c063174,True,True,False,False,True,False,0.021044992740000046,-0.21698113207999992,True,True,True,True,True,5.778769,7.279693,-1.5009240000000004,95,97,3008,3072,1.2498213052749634,1.1579457521438599,1.2480789422988892,0.7499852776527405,0.7502391338348389,0.8032276630401611,1.0824687480926514,0.9450892806053162,1.0,0.8751356601715088,0.6501777172088623,0.614084005355835,1.2878763675689697,1.0,10.793123245239258,False,False,False,False,False
architecture_replay,maze-32-32-4,32,9119,2000,g561_replay_maze_a32_b2000_i4,3316911edc8dd1c7fdcba869f68d6ba311d43663ab6fbe08390d76a785db3909,93d9bbc40bdbc0c5964de143071482875aa540bc22fb1ba9ff70e12bf756fc19,14df842e2b8bfc324f7862418a02339beeb1f2e0f98233a2181f674d612c7aa2,7f7502367081951055d3288e7ae3c3e663c777883e0de6b39ad52b4be100259f,g561_f1_scalar_conservative_actor_695fb14ed308,F1_scalar_conservative_actor,artifacts/models/gcst/g561_f1_scalar_conservative_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.01288475304000003,-0.05082319256000001,True,True,True,True,True,6.09406,4.118688,1.9753720000000001,94,98,2976,3104,1.2499371767044067,1.158021330833435,1.3263548612594604,0.7500582337379456,0.7500180006027222,0.8012293577194214,1.0326428413391113,0.9500413537025452,1.0,0.9306023120880127,0.6500183343887329,0.5741077065467834,1.2315069437026978,1.0,10.79309368133545,False,False,False,False,False
architecture_replay,maze-32-32-4,32,9119,2000,g561_replay_maze_a32_b2000_i4,3316911edc8dd1c7fdcba869f68d6ba311d43663ab6fbe08390d76a785db3909,3eda86b36e8ee5eba6999197236dad0e752e3e429defcac248fd5fd64b3a1ef4,d2315a4b3994bd53f61a343229701f4e135cd857afeb4f8abe13e19250a44ca5,7f7502367081951055d3288e7ae3c3e663c777883e0de6b39ad52b4be100259f,g561_f4_graph_paired_od_actor_5b3109d79bf0,F4_graph_paired_od_actor,artifacts/models/gcst/g561_f4_graph_paired_od_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.00930565496999991,-0.05440229063000013,True,True,True,True,True,8.946552,4.118688,4.827864000000001,94,98,2976,3104,1.2500841617584229,1.1580634117126465,1.389844298362732,0.7498049736022949,0.7501620054244995,0.7881108522415161,1.0258612632751465,0.9500848054885864,1.0,0.9255772233009338,0.6500707268714905,0.5741631388664246,1.2305431365966797,1.0,10.793379783630371,False,False,False,False,False
