acquisition_category,rank,reason,replay_phase,map,map_family,agents,seed,budget_ms,horizon_id,theta_id,method,success_regression,quality_delta_vs_g556,quality_delta_vs_additive,theta_l2_distance_to_g556,candidate_runtime_ms,candidate_expanded_nodes,candidate_low_level_pibt_calls,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
success_regression,1,candidate failed where g556 succeeded,development_replay,g561-loop-56x56-a-v0,loop,64,561000080,5000,g561_dev_loop_a64_b5000_i6,g561_f7_full_goal_aware_actor_training_critic_75d5655343d7,F7_full_goal_aware_actor_training_critic,True,nan,nan,0.7183056607908596,5183.696776,15986,7520334,False,False,False,False,False
success_regression,2,candidate failed where g556 succeeded,development_replay,g561-loop-56x56-a-v0,loop,64,561001248,5000,g561_dev_loop_a64_b5000_i6,g561_f6_full_goal_aware_dual_channel_actor_59885ad5a42b,F6_full_goal_aware_dual_channel_actor,True,nan,nan,0.6533191851954403,5968.242607,41935,8803925,False,False,False,False,False
success_regression,3,candidate failed where g556 succeeded,development_replay,g561-loop-56x56-a-v0,loop,64,561001248,5000,g561_dev_loop_a64_b5000_i6,g561_f7_full_goal_aware_actor_training_critic_8e6a5fa7c93d,F7_full_goal_aware_actor_training_critic,True,nan,nan,0.7233594950785893,5979.760163,88351,14379466,False,False,False,False,False
success_regression,4,candidate failed where g556 succeeded,development_replay,g561-loop-56x56-a-v1,loop,64,561001321,5000,g561_dev_loop_a64_b5000_i6,g561_f6_full_goal_aware_dual_channel_actor_8d10a2373ea4,F6_full_goal_aware_dual_channel_actor,True,nan,nan,0.6560858152866336,5416.712166,24455,8304193,False,False,False,False,False
success_regression,5,candidate failed where g556 succeeded,development_replay,g561-string-64x32-a-v0,irregular_bottleneck,24,561000856,1500,g561_dev_irregular_bottleneck_a24_b1500_i3,g561_f7_full_goal_aware_actor_training_critic_ad17e8e7ef26,F7_full_goal_aware_actor_training_critic,True,nan,nan,0.699390253249351,1648.409132,13403,2640821,False,False,False,False,False
success_regression,6,candidate failed where g556 succeeded,development_replay,g561-string-64x32-a-v1,irregular_bottleneck,24,561000783,1500,g561_dev_irregular_bottleneck_a24_b1500_i3,g561_f6_full_goal_aware_dual_channel_actor_e59c62fb74e5,F6_full_goal_aware_dual_channel_actor,True,nan,nan,0.6259895580772676,1621.841465,18252,1574990,False,False,False,False,False
success_regression,7,candidate failed where g556 succeeded,development_replay,g561-string-64x32-a-v1,irregular_bottleneck,24,561000783,1500,g561_dev_irregular_bottleneck_a24_b1500_i3,g561_f7_full_goal_aware_actor_training_critic_fb188eb84104,F7_full_goal_aware_actor_training_critic,True,nan,nan,0.6979357066571251,1630.864863,19811,1729737,False,False,False,False,False
large_positive_quality_delta,1,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-empty-8x8-v1,empty,32,561000711,2000,g561_dev_empty_a32_b2000_i4,g561_f7_full_goal_aware_actor_training_critic_6321c5be3c50,F7_full_goal_aware_actor_training_critic,False,5.341346153849999,4.264423076929999,0.7212413099855505,1.739421,136,4726,False,False,False,False,False
large_positive_quality_delta,2,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-empty-8x8-v1,empty,32,561000711,2000,g561_dev_empty_a32_b2000_i4,g561_f6_full_goal_aware_dual_channel_actor_a51857ebe6c0,F6_full_goal_aware_dual_channel_actor,False,2.64423076923,1.56730769231,0.6609998986427814,1.269883,94,3231,False,False,False,False,False
large_positive_quality_delta,3,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-empty-8x8-v1,empty,32,561000273,2000,g561_dev_empty_a32_b2000_i4,g561_f7_full_goal_aware_actor_training_critic_c2dbf874e21b,F7_full_goal_aware_actor_training_critic,False,2.45502645503,nan,0.7197421997764216,1.005179,60,2004,False,False,False,False,False
large_positive_quality_delta,4,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-empty-8x8-v1,empty,32,561000127,2000,g561_dev_empty_a32_b2000_i4,g561_f6_full_goal_aware_dual_channel_actor_a99e20128ec7,F6_full_goal_aware_dual_channel_actor,False,1.1696428571499995,nan,0.660439722894303,2.327353,165,9954,False,False,False,False,False
large_positive_quality_delta,5,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-empty-8x8-v1,empty,32,561000273,2000,g561_dev_empty_a32_b2000_i4,g561_f6_full_goal_aware_dual_channel_actor_e75d9bfb3ed8,F6_full_goal_aware_dual_channel_actor,False,0.92063492063,nan,0.6605364860952168,0.699196,42,1490,False,False,False,False,False
large_positive_quality_delta,6,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-empty-8x8-v1,empty,32,561001003,2000,g561_dev_empty_a32_b2000_i4,g561_f6_full_goal_aware_dual_channel_actor_1edc76d1a8a5,F6_full_goal_aware_dual_channel_actor,False,0.71,-0.39000000000000057,0.6554122180145541,0.80408,58,1818,False,False,False,False,False
large_positive_quality_delta,7,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-empty-8x8-v1,empty,32,561001149,2000,g561_dev_empty_a32_b2000_i4,g561_f6_full_goal_aware_dual_channel_actor_c641a044eb4a,F6_full_goal_aware_dual_channel_actor,False,0.67379679144,nan,0.6592796185923525,0.92028,62,2816,False,False,False,False,False
large_positive_quality_delta,8,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-loop-56x56-a-v0,loop,64,561000664,5000,g561_dev_loop_a64_b5000_i6,g561_f7_full_goal_aware_actor_training_critic_1bb37003378f,F7_full_goal_aware_actor_training_critic,False,0.6246153846100002,0.6853846153800001,0.7197967458270331,289.434491,3330,926871,False,False,False,False,False
large_positive_quality_delta,9,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-tree-56x40-a-v0,tree,32,561000548,2000,g561_dev_tree_a32_b2000_i4,g561_f7_full_goal_aware_actor_training_critic_80e8f4986389,F7_full_goal_aware_actor_training_critic,False,0.5888787602500001,0.7730173199599999,0.7176115778199353,4.621887,188,7463,False,False,False,False,False
large_positive_quality_delta,10,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-random-24x24-a-v1,random,48,561000363,3000,g561_dev_random_a48_b3000_i4,g561_f6_full_goal_aware_dual_channel_actor_3f1e9b11ea26,F6_full_goal_aware_dual_channel_actor,False,0.5655526992200002,0.24807197943000014,0.6365361664619604,3.76993,64,3023,False,False,False,False,False
large_positive_quality_delta,11,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-empty-8x8-v1,empty,32,561001003,2000,g561_dev_empty_a32_b2000_i4,g561_f7_full_goal_aware_actor_training_critic_4876fc219baf,F7_full_goal_aware_actor_training_critic,False,0.5350000000000001,-0.5650000000000004,0.7170009466492672,0.778512,51,1624,False,False,False,False,False
large_positive_quality_delta,12,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,random-32-32-20,random,256,7317,750,g561_dev_random_a256_b750_i2,g561_f6_full_goal_aware_dual_channel_actor_05881f5c8266,F6_full_goal_aware_dual_channel_actor,False,0.5132665612400003,-0.02547882621999964,0.6569784132710468,38.972651,101,25574,False,False,False,False,False
large_positive_quality_delta,13,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,random-32-32-20,random,256,7653,750,g561_dev_random_a256_b750_i2,g561_f6_full_goal_aware_dual_channel_actor_dc6d8f0d1ec7,F6_full_goal_aware_dual_channel_actor,False,0.4780694028500001,-0.031002289939999983,0.662020868530461,38.63946,92,23278,False,False,False,False,False
large_positive_quality_delta,14,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-empty-8x8-v1,empty,32,561001295,2000,g561_dev_empty_a32_b2000_i4,g561_f7_full_goal_aware_actor_training_critic_ef1bd74f8a72,F7_full_goal_aware_actor_training_critic,False,0.4666666666700001,-2.4222222222200003,0.7198137248056222,0.947905,58,2206,False,False,False,False,False
large_positive_quality_delta,15,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-loop-56x56-a-v0,loop,64,561001102,5000,g561_dev_loop_a64_b5000_i6,g561_f7_full_goal_aware_actor_training_critic_af973f12b202,F7_full_goal_aware_actor_training_critic,False,0.4269620728500001,0.24483665039000013,0.7249873762223713,8.838493,176,11346,False,False,False,False,False
large_positive_quality_delta,16,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,random-32-32-20,random,256,7317,750,g561_dev_random_a256_b750_i2,g561_f7_full_goal_aware_actor_training_critic_cc20658ac6e6,F7_full_goal_aware_actor_training_critic,False,0.4148655772300003,-0.12387981022999961,0.7258299730431628,38.958898,102,26341,False,False,False,False,False
large_positive_quality_delta,17,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-empty-8x8-v1,empty,12,561000521,750,g561_dev_empty_a12_b750_i2,g561_f6_full_goal_aware_dual_channel_actor_a7d6e4868315,F6_full_goal_aware_dual_channel_actor,False,0.3931623931599999,-0.38461538462,0.6285087844492814,0.177993,25,288,False,False,False,False,False
large_positive_quality_delta,18,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,random-32-32-20,random,256,7653,750,g561_dev_random_a256_b750_i2,g561_f7_full_goal_aware_actor_training_critic_be96fc953d05,F7_full_goal_aware_actor_training_critic,False,0.37572661617000014,-0.13334507661999995,0.7284969071338782,38.035466,88,22254,False,False,False,False,False
large_positive_quality_delta,19,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-random-24x24-a-v1,random,48,561000509,3000,g561_dev_random_a48_b3000_i4,g561_f6_full_goal_aware_dual_channel_actor_c8af51e93a5c,F6_full_goal_aware_dual_channel_actor,False,0.3699582753899999,0.006954102919999983,0.6286721008627357,3.655953,56,2638,False,False,False,False,False
large_positive_quality_delta,20,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-random-24x24-a-v1,random,48,561000509,3000,g561_dev_random_a48_b3000_i4,g561_f7_full_goal_aware_actor_training_critic_ffe43e4a7287,F7_full_goal_aware_actor_training_critic,False,0.35326842838000005,-0.009735744089999887,0.6973066292667589,3.576084,55,2590,False,False,False,False,False
large_positive_quality_delta,21,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,random-32-32-20,random,256,7557,1500,g561_dev_random_a256_b1500_i3,g561_f6_full_goal_aware_dual_channel_actor_45728fdd7d6d,F6_full_goal_aware_dual_channel_actor,False,0.3254708678,-0.20436542861999984,0.6572154395804297,38.780133,100,25334,False,False,False,False,False
large_positive_quality_delta,22,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-loop-56x56-a-v0,loop,64,561000226,5000,g561_dev_loop_a64_b5000_i6,g561_f7_full_goal_aware_actor_training_critic_79baf24f204d,F7_full_goal_aware_actor_training_critic,False,0.31712875047,0.058108621339999944,0.7256448610429619,1634.786921,13359,4832167,False,False,False,False,False
large_positive_quality_delta,23,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-random-24x24-a-v1,random,48,561000363,3000,g561_dev_random_a48_b3000_i4,g561_f7_full_goal_aware_actor_training_critic_25cf46744c64,F7_full_goal_aware_actor_training_critic,False,0.3046272493500002,-0.012853470439999848,0.7030571254249319,3.496356,46,2158,False,False,False,False,False
large_positive_quality_delta,24,candidate solved but worse than g556 on sum-of-loss ratio,development_replay,g561-random-24x24-a-v1,random,48,561000801,3000,g561_dev_random_a48_b3000_i4,g561_f6_full_goal_aware_dual_channel_actor_3e18a9f22d9b,F6_full_goal_aware_dual_channel_actor,False,0.3039702233199999,-0.02109181142000005,0.6417503855876201,3.681786,63,2976,False,False,False,False,False
