contract_vector_id,vector_family,changed_field,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,executed,reason
g561_contract_000,field_lower_bound,theta_alpha_cong_commit_progress,0.0,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_001,field_upper_bound,theta_alpha_cong_commit_progress,1.5,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_002,field_lower_bound,theta_alpha_cong_commit_nonprogress,1.25,0.5,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_003,field_upper_bound,theta_alpha_cong_commit_nonprogress,1.25,1.75,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_004,field_lower_bound,theta_alpha_cong_block,1.25,1.1580041646957397,0.5,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_005,field_upper_bound,theta_alpha_cong_block,1.25,1.1580041646957397,2.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_006,field_lower_bound,theta_alpha_cong_wait_progress,1.25,1.1580041646957397,1.25,0.0,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_007,field_upper_bound,theta_alpha_cong_wait_progress,1.25,1.1580041646957397,1.25,1.25,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_008,field_lower_bound,theta_alpha_cong_wait_nonprogress,1.25,1.1580041646957397,1.25,0.75,0.0,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_009,field_upper_bound,theta_alpha_cong_wait_nonprogress,1.25,1.1580041646957397,1.25,0.75,1.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
g561_contract_010,field_lower_bound,theta_alpha_flow_commit_progress,1.25,1.1580041646957397,1.25,0.75,0.75,0.0,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,False,planned_for_server_materialization_contract
