physical_map_sha256,split,map_example,map_family,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
025838f1b34e1e18dd42eb22080d6bc0c611dfb1630c5659fbcaf745125a126a,train,g559-synth-warehouse-a-32,warehouse,False,False,False,False,False
0c6822165c6d5fba4e111a5ce7ceb5dde1a1828e09ca55cbdc59a462909d4316,validation,g561-room-64x48-b-v0,room,False,False,False,False,False
15466be72fd73a763bfce57974df1823dd38662c00f45890294b83889ff00d99,development-heldout,g561-loop-56x56-a-v1,loop,False,False,False,False,False
15e573fb8f5d6a2d868c36c9beeed8b1b072252e367d64713c61954fe6292e3b,blind-reserved,g561-random-24x24-a-v0,random,False,False,False,False,False
181792ef9f180a55eed9b22cf559f1b9686764fbe7dd8ad86d3d068267c11f04,train,g561-warehouse-64x40-b-v0,warehouse,False,False,False,False,False
1c996d166557eaaa256d18cf076cef325704b3a6d7372bc8405f68d39a9bce28,validation,g561-warehouse-20x10-a-v1,warehouse,False,False,False,False,False
23214cb2cb4c09521a0966f84567a04e85a24ba8f340e506a6cd559cf75feff1,development-heldout,g559-synth-tunnel-38,irregular_bottleneck,False,False,False,False,False
26f22f9ae5f6980b48a5be929abf7c6291ede5f3cacb1738876224ba1d10189f,blind-reserved,random-8-8-20,random,False,False,False,False,False
27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,train,empty-16-16,empty,False,False,False,False,False
2c982a82e057831f42e3bacb926ef7f2209ad9882a3d113f1ea9abfab4db3279,validation,g561-warehouse-48x32-a-v0,warehouse,False,False,False,False,False
3171ce0b0eddd2175682e1475a39379eff680061daff35b202eb74d103a1ef4d,development-heldout,g559-synth-string-40,irregular_bottleneck,False,False,False,False,False
33822b244b5fb1505e8fe751d2c372f2c2c3b2089dfa483741f4b13e15249ead,blind-reserved,g559-synth-corners-34,irregular_bottleneck,False,False,False,False,False
339c19e4059b60c410f447b100ecbee4c3a812c63024452d600d7f9800153117,train,g561-room-48x48-a-v0,room,False,False,False,False,False
37c59c6394566ff982f3bba90ecab0f01d816e71c48c12d2d091965d157b88ce,validation,g561-empty-16x16-v1,empty,False,False,False,False,False
3d86f6386b5915950725c85a6d316473944ac9c02e289f119bbb458fba9b882e,development-heldout,g561-empty-8x8-v1,empty,False,False,False,False,False
4240fddfa77d88b72ce779e02acf46a5ff056a3b04af5a4e35f7bc86cdfba3ec,blind-reserved,random-32-32-10,random,False,False,False,False,False
42776e4904ec90689dd034fbd84524d671dc554472cc4221432b0c523d51f152,train,empty-8-8,empty,False,False,False,False,False
47735974c3bde583dccb84d9b82f94a464e5bb72216f2fa23c23dc64be1ec839,validation,g561-string-32x24-a-v1,irregular_bottleneck,False,False,False,False,False
47914ac80c063b06ff156fa3731c1ec868e3d513d5f062ce5109d20bc22c22c0,development-heldout,g561-random-24x24-a-v1,random,False,False,False,False,False
4a89d9b7906a2e35569f71b84cc78bd4e6d76d4ac3fbb40dfd1986dbdb03f205,blind-reserved,g561-maze-48x32-a-v1,maze,False,False,False,False,False
4df610d3d95955801f8f83bf07db4c413c3293a00d1264cc46a155d06715fb3c,train,g561-connector-48x48-a-v1,connector,False,False,False,False,False
50fb289060849b3a4b51fbced691aae336fe318c46b1ddf854fea3d9a2801c10,validation,g559-synth-game-brc-32,game,False,False,False,False,False
5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,development-heldout,empty-32-32,empty,False,False,False,False,False
5c549328775ce530072cb05eda8f9010235a7e29294806d6aebb0ad667479cd3,blind-reserved,maze-32-32-2,maze,False,False,False,False,False
61289b1286bec37652122bba2c3fa43cb307d1d519079191435877ce234ebb45,train,g561-empty-16x16-v0,empty,False,False,False,False,False
66bdad4f194da393e467612a9d34095cb3471251ee4effea9c9c7d6c9e909489,validation,g561-empty-48x32-v0,empty,False,False,False,False,False
72a16c58176a9e12408b3227fc53165336e934dddca8c1a4557fca3a8f3d7ca7,development-heldout,g561-tunnel-64x32-a-v0,tunnel,False,False,False,False,False
733de983354977847a6b110d98192b2704e5ab0c52ef6a0367f9b4533878c177,blind-reserved,room-40-32-8,room,False,False,False,False,False
75e6099d638bb54ac53bc3ad1271278a8e9e1305afe6227e9c6475657f8593f2,train,g561-random-16x16-a-v1,random,False,False,False,False,False
7eda51851dd2afa59c52d6a5fbdeeeb17b207741386ce1ada1d85ca0cf365f1d,validation,g559-synth-warehouse-b-36,warehouse,False,False,False,False,False
800955a529b182e1d9288b479b493b503e591633c07147a43dde432550c4fe39,development-heldout,g561-random-32x32-a-v0,random,False,False,False,False,False
84e96f6363ba612f7bc4e804c0d83e47c6fb6e30cbd8dcec19ba53550db7119a,blind-reserved,g561-empty-48x32-v1,empty,False,False,False,False,False
85857b3a98d44d92a658dfcb83956bf6974eccd6a188fb2b62db6f7236a70586,train,g559-synth-loop-chain-36,irregular_bottleneck,False,False,False,False,False
8851e45adbdae0136e3d640a23f9d0fac5618d03280c92938a7222c993f18bd6,validation,g561-warehouse-32x24-a-v1,warehouse,False,False,False,False,False
8c5a83498ab92a2579aeef91c5f42d9ecf9019ef038cf98e623061a15beb6f56,development-heldout,random-32-32-20,random,False,False,False,False,False
8e6f1a9d72a576e8ef44774d35697aa47c85463fd790ad5e08920466304c95e8,blind-reserved,g561-maze-64x32-b-v1,maze,False,False,False,False,False
8fe1eb935524ce26bbdd9a46654fa81b05aca8426679db38bf5cc04201fb164d,train,g559-synth-connector-32,irregular_bottleneck,False,False,False,False,False
96ded52c98f958d617309cb5f08a7b67a93b5fc890a66a524907c781ae6a56fd,validation,maze-36-32-4,maze,False,False,False,False,False
97cb3563b14fd15d79a9d57ab7229543ba3696b3f01dd4f2050c55dfebfa425f,development-heldout,g559-synth-tree-42,irregular_bottleneck,False,False,False,False,False
a26281bce96138d7a2b6adf33ecaa2a4d7839c30f9579c2252e386b1c1fdc90f,blind-reserved,g561-maze-24x24-a-v0,maze,False,False,False,False,False
ada7ff8f43f7e9901d818bf6a06304478c2ea2d4006bec413b462597e75522a7,train,g561-connector-24x24-a-v1,connector,False,False,False,False,False
b37d19228567dca151a2ceb41efb7780ed151db7303d9bf07b7b7a858ad4ecd9,validation,g561-room-24x24-a-v1,room,False,False,False,False,False
b3b66eaf36b22a339ff255d545a0f02d5535fbb292697bbd9e74941e2382f560,development-heldout,g561-random-40x40-b-v1,random,False,False,False,False,False
bd53284a0aeded4a272617aea8583fd32c0fab3c62ecfb7ebc3f4e7488d68757,blind-reserved,g559-synth-city-boston-32,city,False,False,False,False,False
c3c585d3c4afd4d9ba0bc4da2d945da2575468c39d81b06e71f6a76b21277bdf,train,g561-random-32x32-a-v1,random,False,False,False,False,False
c9d505f72da087f6016daebdf6019c5c5dfe0a411e73cb2ac436605e8b8c0762,validation,g559-synth-city-berlin-32,city,False,False,False,False,False
cacc40e505831e804cde29f78df691844f2c8a049a92017e8830c1333ae1fb3b,development-heldout,g561-tree-56x40-a-v0,tree,False,False,False,False,False
ce75bcd1f922590bc638c1c13edd164e6a135269c28a0e899dfc76cabd3154ae,blind-reserved,g561-random-40x40-b-v0,random,False,False,False,False,False
cf0abffa9dbc35003319da8ce4e4a81c760f8c54dcbec9736805ece134aef1cc,train,g561-random-16x16-a-v0,random,False,False,False,False,False
d4e637fd8283db7700b0781dc5881f897567a798863b6d2239e32dffe3684cc0,validation,g561-empty-32x32-v1,empty,False,False,False,False,False
d692654b8d9b2f652e6750fd39423c3cb4328fa36264f61eebb51b1984713753,development-heldout,g559-synth-game-lak-32,game,False,False,False,False,False
d96c41b59aa078d09c801722aec67079a0acdbe2ed9cdc11b71bfccf5cf466b1,blind-reserved,g559-synth-game-den-32,game,False,False,False,False,False
e9580771be328c421647bfb2268920d3e2d5d1d014b498b8c3ff02355471f343,train,g561-empty-32x32-v0,empty,False,False,False,False,False
ee066625cd1da903feaae085a529c4f3de25b76b9936ffc77dce4fbd8a321d25,validation,g561-loop-32x32-a-v1,loop,False,False,False,False,False
f107fefbf63c7a1a3753e4a033452301a1cdd7043cab7f45e4ed0e7dec1e90a9,development-heldout,room-32-32-4,room,False,False,False,False,False
f877a55faef5d32a441f0768f1d98ed2fbd79546838e7f3a983eb77b774719f9,blind-reserved,g561-empty-8x8-v0,empty,False,False,False,False,False
