map,map_family,solver_seed,solver_scenario_path,scenario_file_exists,scenario_sha256_expected,scenario_sha256_actual,scenario_sha256_match,map_file_exists,map_sha256_expected,map_sha256_actual,map_sha256_match,scenario_pair_count_expected,scenario_pair_count_actual,scenario_pair_count_match,unique_start_count,unique_goal_count,duplicate_starts,duplicate_goals,all_starts_traversable,all_goals_traversable,all_pairs_reachable,assignment_sha256_expected,assignment_sha256_actual,assignment_sha256_match,width_height_match,valid,failure_reasons,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,source_round,scenario_bank_source,generated_in_g561,g561_instance_uid,start_goal_regime,nominal_budget_ms,base_time_limit_sec,ltm_max_iterations,agent_density,start_goal_overlap_count,own_start_goal_match_count,path_found_rate
empty-8-8,empty,7000,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/empty-8-8-random-7000.scen,true,93e34506d9f97f2ef780c22bb3bbe92339560270dc0bc1e66ae5bea6d8f86bc6,93e34506d9f97f2ef780c22bb3bbe92339560270dc0bc1e66ae5bea6d8f86bc6,true,true,42776e4904ec90689dd034fbd84524d671dc554472cc4221432b0c523d51f152,42776e4904ec90689dd034fbd84524d671dc554472cc4221432b0c523d51f152,true,16,16,true,16,16,false,false,true,true,true,dd82e12b61b15e78c954217fd0c8c03ddd1165c851942b164a6a72853025f77e,dd82e12b61b15e78c954217fd0c8c03ddd1165c851942b164a6a72853025f77e,true,true,true,,false,false,false,false,false,phase5p5_repair5g560,retained_g560_valid,false,,,,,,,,,
empty-16-16,empty,7001,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/empty-16-16-random-7001.scen,true,68b1a6ec261125013158d100b254a14c87018a9ce03c5d1856282602e0a0daf0,68b1a6ec261125013158d100b254a14c87018a9ce03c5d1856282602e0a0daf0,true,true,27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,27a570a564cf8de828619efa09d510df95f0cbfe2840376b7c3e63c96413689a,true,32,32,true,32,32,false,false,true,true,true,d57c3f51400dd86e3ae6de43e48c7ebd9bf132e8f5f19943d2c645a1b8cc1551,d57c3f51400dd86e3ae6de43e48c7ebd9bf132e8f5f19943d2c645a1b8cc1551,true,true,true,,false,false,false,false,false,phase5p5_repair5g560,retained_g560_valid,false,,,,,,,,,
empty-32-32,empty,7002,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/empty-32-32-random-7002.scen,true,421d69d48696623d9f16f271f1e79f1f72c8071733966225ca1883401a8cf446,421d69d48696623d9f16f271f1e79f1f72c8071733966225ca1883401a8cf446,true,true,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,true,64,64,true,64,64,false,false,true,true,true,2dd817ed1b86004138eb403fd5b2866e68d29b8f4b1cee30a8d5f1ad0557e959,2dd817ed1b86004138eb403fd5b2866e68d29b8f4b1cee30a8d5f1ad0557e959,true,true,true,,false,false,false,false,false,phase5p5_repair5g560,retained_g560_valid,false,,,,,,,,,
random-8-8-20,random,7003,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-8-8-20-random-7003.scen,true,aaae4553c14a9ad1d90b7eb3273e47edf7f8004d9422d7a36f88c0a2befa03df,aaae4553c14a9ad1d90b7eb3273e47edf7f8004d9422d7a36f88c0a2befa03df,true,true,26f22f9ae5f6980b48a5be929abf7c6291ede5f3cacb1738876224ba1d10189f,26f22f9ae5f6980b48a5be929abf7c6291ede5f3cacb1738876224ba1d10189f,true,32,32,true,21,12,true,true,true,true,true,0fda69faeaaf05c532f2da5fc47bbf81b514c5da48e032484ce5b5884edb934f,0fda69faeaaf05c532f2da5fc47bbf81b514c5da48e032484ce5b5884edb934f,true,true,false,duplicate_goals;duplicate_starts,false,false,false,false,false,phase5p5_repair5g560,retained_g560_invalid,false,,,,,,,,,
random-32-32-10,random,7004,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-32-32-10-random-7004.scen,true,baaaa9be9d901430df349aaa40e4f8d1d4bdac596ffd9b913f7d282c0ee728b8,baaaa9be9d901430df349aaa40e4f8d1d4bdac596ffd9b913f7d282c0ee728b8,true,true,4240fddfa77d88b72ce779e02acf46a5ff056a3b04af5a4e35f7bc86cdfba3ec,4240fddfa77d88b72ce779e02acf46a5ff056a3b04af5a4e35f7bc86cdfba3ec,true,128,128,true,75,128,true,false,true,true,true,3e329511773c605c754505710bb4363ed7838e3b16221d8bc27a71e0a2d7cb99,3e329511773c605c754505710bb4363ed7838e3b16221d8bc27a71e0a2d7cb99,true,true,false,duplicate_starts,false,false,false,false,false,phase5p5_repair5g560,retained_g560_invalid,false,,,,,,,,,
random-32-32-20,random,7005,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/random-32-32-20-random-7005.scen,true,4d145b127be952a089516b3801f4a27e5f0041808655b0900f6417e5eb16b8a5,4d145b127be952a089516b3801f4a27e5f0041808655b0900f6417e5eb16b8a5,true,true,8c5a83498ab92a2579aeef91c5f42d9ecf9019ef038cf98e623061a15beb6f56,8c5a83498ab92a2579aeef91c5f42d9ecf9019ef038cf98e623061a15beb6f56,true,256,256,true,256,256,false,false,true,true,true,e161850ac8462f9eec3d2854c44345d2592348e4f5e9a5c20801b31dbbe9ee5e,e161850ac8462f9eec3d2854c44345d2592348e4f5e9a5c20801b31dbbe9ee5e,true,true,true,,false,false,false,false,false,phase5p5_repair5g560,retained_g560_valid,false,,,,,,,,,
maze-32-32-2,maze,7006,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/maze-32-32-2-random-7006.scen,true,cc00c52a20202d2385412a70aafcbdc5b7093c6ad8651a035c2492867f423fc3,cc00c52a20202d2385412a70aafcbdc5b7093c6ad8651a035c2492867f423fc3,true,true,5c549328775ce530072cb05eda8f9010235a7e29294806d6aebb0ad667479cd3,5c549328775ce530072cb05eda8f9010235a7e29294806d6aebb0ad667479cd3,true,16,16,true,16,16,false,false,true,true,true,3f4a5d0d8b821545074bd877532c6476aa33f57790d8b08ea9ebab3d698b7518,3f4a5d0d8b821545074bd877532c6476aa33f57790d8b08ea9ebab3d698b7518,true,true,true,,false,false,false,false,false,phase5p5_repair5g560,retained_g560_valid,false,,,,,,,,,
maze-36-32-4,maze,7007,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/maze-36-32-4-random-7007.scen,true,45fa208f3a4108d944f5fca0fec617f7380ebe3d9fe3f9f02eea11d72c91feaf,45fa208f3a4108d944f5fca0fec617f7380ebe3d9fe3f9f02eea11d72c91feaf,true,true,96ded52c98f958d617309cb5f08a7b67a93b5fc890a66a524907c781ae6a56fd,96ded52c98f958d617309cb5f08a7b67a93b5fc890a66a524907c781ae6a56fd,true,32,32,true,32,32,false,false,true,true,true,9d4d35b47e33d04a7f9cf8fa159db01acd4157816337b4f25e405d6ea18ad1e8,9d4d35b47e33d04a7f9cf8fa159db01acd4157816337b4f25e405d6ea18ad1e8,true,true,true,,false,false,false,false,false,phase5p5_repair5g560,retained_g560_valid,false,,,,,,,,,
room-32-32-4,room,7008,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/room-32-32-4-random-7008.scen,true,da2c53806d264143ac6bf5a1585ad9bd446e3865b9de066e3d10bfdc90fc60f6,da2c53806d264143ac6bf5a1585ad9bd446e3865b9de066e3d10bfdc90fc60f6,true,true,f107fefbf63c7a1a3753e4a033452301a1cdd7043cab7f45e4ed0e7dec1e90a9,f107fefbf63c7a1a3753e4a033452301a1cdd7043cab7f45e4ed0e7dec1e90a9,true,64,64,true,64,64,false,false,true,true,true,26e389c1b1bce57c7c8a05ec793284faae716d22bb6af223278c71820c5619eb,26e389c1b1bce57c7c8a05ec793284faae716d22bb6af223278c71820c5619eb,true,true,true,,false,false,false,false,false,phase5p5_repair5g560,retained_g560_valid,false,,,,,,,,,
room-40-32-8,room,7009,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/scenarios/room-40-32-8-random-7009.scen,true,4b61740d6485abbd756ba3968fc3af83c482b5363dab63e3e49a7135e44706aa,4b61740d6485abbd756ba3968fc3af83c482b5363dab63e3e49a7135e44706aa,true,true,733de983354977847a6b110d98192b2704e5ab0c52ef6a0367f9b4533878c177,733de983354977847a6b110d98192b2704e5ab0c52ef6a0367f9b4533878c177,true,96,96,true,80,96,true,false,true,true,true,947433f927a312beaae5cadcc8a0f77192e91278afef0ebf0dfc3fca28bede0a,947433f927a312beaae5cadcc8a0f77192e91278afef0ebf0dfc3fca28bede0a,true,true,false,duplicate_starts,false,false,false,false,false,phase5p5_repair5g560,retained_g560_invalid,false,,,,,,,,,
