plan_row_id,replay_phase,context_id,g562_dataset_row_id,g562_instance_uid,g562_evaluation_uid,g562_identity_digest,g562_scenario_sha256,g562_physical_map_sha256,split,map,map_family,agents,agent_count,seed,budget_ms,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,horizon_id,role,candidate_id,theta_id,materialized_method,generated_theta_uid,sampling_policy,model_path,variant_id,actor_training_seed,expected_updateparams_fingerprint,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none
g562_cycle2_00000000,cycle2,g562_real_graph_000000,g562_real_graph_000000,89ca8a418e6e740c3f3a40979e38832755b3e30177f3d4ca4821c74d10892860,006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,bf12728113dbd543ec8f078d8bcb4c789779e2240cc594afe8d9f06c3319076c,e4e516a3579dd921364a58c55d2ddea450eeb207d4839a5baf10de20d42aef3e,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,train,empty-8-8,empty,16,16,8512,500,500,500,0.5,2,g559_b500_i2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g562_cycle2_00000001,cycle2,g562_real_graph_000000,g562_real_graph_000000,89ca8a418e6e740c3f3a40979e38832755b3e30177f3d4ca4821c74d10892860,006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,857fa5c79d6b2e93ade0d5997ac3909a41e440e859202a3548c45d85f9b0b1c9,e4e516a3579dd921364a58c55d2ddea450eeb207d4839a5baf10de20d42aef3e,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,train,empty-8-8,empty,16,16,8512,500,500,500,0.5,2,g559_b500_i2,g556_c063174,g556_c063174,g556_c063174,g556_c063174,01774135acea4ee5c0bbd01337bb56f9f1ba4f81e0b6c7194d7d4d7443f7407e,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g562_cycle2_00000002,cycle2,g562_real_graph_000001,g562_real_graph_000001,e18a5d07f45e4b543368a2d9eec432055b710cd8f040b0cafa7ad2248dd3b89d,0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,a20470b90e1a59dc72ac9fc90fde5da150d9fec27d5c4af5a85eb13b9d7584a8,8903548ef5756674473b8a4701370d85a5219611e8749c266bfe92719cfed761,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,train,room-40-32-8,room,96,96,8497,1000,1000,1000,1.0,2,g559_b1000_i2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g562_cycle2_00000003,cycle2,g562_real_graph_000001,g562_real_graph_000001,e18a5d07f45e4b543368a2d9eec432055b710cd8f040b0cafa7ad2248dd3b89d,0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,cc6127cc7dc33a1bfcfda04e40196fb0121bae6fe80d3a0711d50b1187b0160f,8903548ef5756674473b8a4701370d85a5219611e8749c266bfe92719cfed761,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,train,room-40-32-8,room,96,96,8497,1000,1000,1000,1.0,2,g559_b1000_i2,g556_c063174,g556_c063174,g556_c063174,g556_c063174,4d95d3f03f47015f11b39eca13a65741605b06cebaf5f6f4701b8cb5e7e79585,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g562_cycle2_00000004,cycle2,g562_real_graph_000002,g562_real_graph_000002,b29cb5508b79b79cc653e0da90ca6367ca157807ddf3acfb94858c52b56e9698,0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,3ff4c02447c2931e9acd429e78ccd97f6f9779360362874a4a2775d7d0d1a74e,d64017c983b286b9cd1887f7cfa08904c49a53bc0b8f2ef2ebe5933f7f3946c1,302e62361819ff53cd7fb6fa94a70715501e8cd760db0c448d754511df4102e1,train,g559-synth-game-brc-32,game,32,32,7379,5000,5000,5000,5.0,3,g559_b5000_i3,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g562_cycle2_00000005,cycle2,g562_real_graph_000002,g562_real_graph_000002,b29cb5508b79b79cc653e0da90ca6367ca157807ddf3acfb94858c52b56e9698,0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,710b332066698eedc337fd48b2ee00508f300440d0dcae054306d81d872a3019,d64017c983b286b9cd1887f7cfa08904c49a53bc0b8f2ef2ebe5933f7f3946c1,302e62361819ff53cd7fb6fa94a70715501e8cd760db0c448d754511df4102e1,train,g559-synth-game-brc-32,game,32,32,7379,5000,5000,5000,5.0,3,g559_b5000_i3,g556_c063174,g556_c063174,g556_c063174,g556_c063174,a68cb866b2421ebb856ac16aa7e57c9f4bc881e4dea387df56b470574c179810,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g562_cycle2_00000006,cycle2,g562_real_graph_000003,g562_real_graph_000003,38e1b40ee04cfed380e677f2655fc7e01a787931d1dc3a15dcfdd3c6b4e8df5a,0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,cada3d82ae0ff487d614b17fdd4c929de3e1f777f1104772eaf205cbe4b8e0bd,16420da50c065abee509805e472bb02b82cea58affed0fbbdc094eda3bf191a7,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,train,g559-synth-loop-chain-36,irregular_bottleneck,64,64,7614,2000,2000,2000,2.0,4,g559_b2000_i4,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g562_cycle2_00000007,cycle2,g562_real_graph_000003,g562_real_graph_000003,38e1b40ee04cfed380e677f2655fc7e01a787931d1dc3a15dcfdd3c6b4e8df5a,0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,8080be1800e872dc57a11ce058818ae1ddbb2601f8ca1ad9cac922e0338c875e,16420da50c065abee509805e472bb02b82cea58affed0fbbdc094eda3bf191a7,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,train,g559-synth-loop-chain-36,irregular_bottleneck,64,64,7614,2000,2000,2000,2.0,4,g559_b2000_i4,g556_c063174,g556_c063174,g556_c063174,g556_c063174,ddacad7cc106a3fb1aa8b21c8694b47891bff956e9bb2a90553b259093ec34f4,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g562_cycle2_00000008,cycle2,g562_real_graph_000004,g562_real_graph_000004,9c3a1d4f960a321682172e15050378cba07762efbdfa26b76d143ed7a01b68bf,00b3f456f77df0e1a35ae679fc5ee3616299ac4996db13f9b1b0e5bddd57b292,a93bc5982f1e14fe869b892e0ce2221e09e1afc58de8632877f11e367589115a,aaae4553c14a9ad1d90b7eb3273e47edf7f8004d9422d7a36f88c0a2befa03df,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,train,random-8-8-20,random,32,32,7987,5000,5000,5000,5.0,2,g559_b5000_i2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g562_cycle2_00000009,cycle2,g562_real_graph_000004,g562_real_graph_000004,9c3a1d4f960a321682172e15050378cba07762efbdfa26b76d143ed7a01b68bf,00b3f456f77df0e1a35ae679fc5ee3616299ac4996db13f9b1b0e5bddd57b292,2e70c0324da3a0934907fce354dec1f4a2fd3bc50d1d65a65ca06f3e6606aa33,aaae4553c14a9ad1d90b7eb3273e47edf7f8004d9422d7a36f88c0a2befa03df,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,train,random-8-8-20,random,32,32,7987,5000,5000,5000,5.0,2,g559_b5000_i2,g556_c063174,g556_c063174,g556_c063174,g556_c063174,d6520452b140e772ae1bc816567ed7185d7b6403a07dba00f1a33e5560f0122a,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
