dataset_row_id,censored_count,censored_rows_treated_as_negative,no_observed_positive_is_hard_g556_target,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g562_real_graph_000000,0,False,False,False,False,False,False,False
g562_real_graph_000001,0,False,False,False,False,False,False,False
g562_real_graph_000002,0,False,False,False,False,False,False,False
g562_real_graph_000003,0,False,False,False,False,False,False,False
g562_real_graph_000004,64,False,False,False,False,False,False,False
g562_real_graph_000005,64,False,False,False,False,False,False,False
g562_real_graph_000006,0,False,False,False,False,False,False,False
g562_real_graph_000007,64,False,False,False,False,False,False,False
g562_real_graph_000008,0,False,False,False,False,False,False,False
g562_real_graph_000009,0,False,False,False,False,False,False,False
g562_real_graph_000010,0,False,False,False,False,False,False,False
g562_real_graph_000011,0,False,False,False,False,False,False,False
g562_real_graph_000012,0,False,False,False,False,False,False,False
g562_real_graph_000013,0,False,False,False,False,False,False,False
g562_real_graph_000014,64,False,False,False,False,False,False,False
g562_real_graph_000015,0,False,False,False,False,False,False,False
g562_real_graph_000016,64,False,False,False,False,False,False,False
g562_real_graph_000017,64,False,False,False,False,False,False,False
g562_real_graph_000018,0,False,False,False,False,False,False,False
g562_real_graph_000019,0,False,False,False,False,False,False,False
g562_real_graph_000020,0,False,False,False,False,False,False,False
g562_real_graph_000021,64,False,False,False,False,False,False,False
g562_real_graph_000022,0,False,False,False,False,False,False,False
g562_real_graph_000023,0,False,False,False,False,False,False,False
g562_real_graph_000024,0,False,False,False,False,False,False,False
g562_real_graph_000025,0,False,False,False,False,False,False,False
g562_real_graph_000026,64,False,False,False,False,False,False,False
g562_real_graph_000027,0,False,False,False,False,False,False,False
g562_real_graph_000028,0,False,False,False,False,False,False,False
g562_real_graph_000029,0,False,False,False,False,False,False,False
g562_real_graph_000030,0,False,False,False,False,False,False,False
g562_real_graph_000031,0,False,False,False,False,False,False,False
g562_real_graph_000032,0,False,False,False,False,False,False,False
g562_real_graph_000033,64,False,False,False,False,False,False,False
g562_real_graph_000034,64,False,False,False,False,False,False,False
g562_real_graph_000035,64,False,False,False,False,False,False,False
g562_real_graph_000036,0,False,False,False,False,False,False,False
g562_real_graph_000037,64,False,False,False,False,False,False,False
g562_real_graph_000038,0,False,False,False,False,False,False,False
g562_real_graph_000039,0,False,False,False,False,False,False,False
g562_real_graph_000040,64,False,False,False,False,False,False,False
g562_real_graph_000041,0,False,False,False,False,False,False,False
g562_real_graph_000042,0,False,False,False,False,False,False,False
g562_real_graph_000043,64,False,False,False,False,False,False,False
g562_real_graph_000044,0,False,False,False,False,False,False,False
g562_real_graph_000045,64,False,False,False,False,False,False,False
g562_real_graph_000046,0,False,False,False,False,False,False,False
g562_real_graph_000047,0,False,False,False,False,False,False,False
g562_real_graph_000048,0,False,False,False,False,False,False,False
g562_real_graph_000049,64,False,False,False,False,False,False,False
g562_real_graph_000050,0,False,False,False,False,False,False,False
g562_real_graph_000051,0,False,False,False,False,False,False,False
g562_real_graph_000052,64,False,False,False,False,False,False,False
g562_real_graph_000053,0,False,False,False,False,False,False,False
g562_real_graph_000054,64,False,False,False,False,False,False,False
g562_real_graph_000055,64,False,False,False,False,False,False,False
g562_real_graph_000056,0,False,False,False,False,False,False,False
g562_real_graph_000057,64,False,False,False,False,False,False,False
g562_real_graph_000058,0,False,False,False,False,False,False,False
g562_real_graph_000059,64,False,False,False,False,False,False,False
g562_real_graph_000060,0,False,False,False,False,False,False,False
g562_real_graph_000061,64,False,False,False,False,False,False,False
g562_real_graph_000062,0,False,False,False,False,False,False,False
g562_real_graph_000063,0,False,False,False,False,False,False,False
g562_real_graph_000064,64,False,False,False,False,False,False,False
g562_real_graph_000065,64,False,False,False,False,False,False,False
g562_real_graph_000066,64,False,False,False,False,False,False,False
g562_real_graph_000067,0,False,False,False,False,False,False,False
g562_real_graph_000068,0,False,False,False,False,False,False,False
g562_real_graph_000069,64,False,False,False,False,False,False,False
g562_real_graph_000070,0,False,False,False,False,False,False,False
g562_real_graph_000071,0,False,False,False,False,False,False,False
g562_real_graph_000072,64,False,False,False,False,False,False,False
g562_real_graph_000073,0,False,False,False,False,False,False,False
g562_real_graph_000074,0,False,False,False,False,False,False,False
g562_real_graph_000075,64,False,False,False,False,False,False,False
g562_real_graph_000076,64,False,False,False,False,False,False,False
g562_real_graph_000077,64,False,False,False,False,False,False,False
g562_real_graph_000078,0,False,False,False,False,False,False,False
g562_real_graph_000079,0,False,False,False,False,False,False,False
g562_real_graph_000080,64,False,False,False,False,False,False,False
g562_real_graph_000081,0,False,False,False,False,False,False,False
g562_real_graph_000082,0,False,False,False,False,False,False,False
g562_real_graph_000083,0,False,False,False,False,False,False,False
g562_real_graph_000084,64,False,False,False,False,False,False,False
g562_real_graph_000085,64,False,False,False,False,False,False,False
g562_real_graph_000086,0,False,False,False,False,False,False,False
g562_real_graph_000087,0,False,False,False,False,False,False,False
g562_real_graph_000088,64,False,False,False,False,False,False,False
g562_real_graph_000089,0,False,False,False,False,False,False,False
g562_real_graph_000090,64,False,False,False,False,False,False,False
g562_real_graph_000091,0,False,False,False,False,False,False,False
g562_real_graph_000092,0,False,False,False,False,False,False,False
g562_real_graph_000093,0,False,False,False,False,False,False,False
g562_real_graph_000094,0,False,False,False,False,False,False,False
g562_real_graph_000095,0,False,False,False,False,False,False,False
g562_real_graph_000096,0,False,False,False,False,False,False,False
g562_real_graph_000097,0,False,False,False,False,False,False,False
g562_real_graph_000098,0,False,False,False,False,False,False,False
g562_real_graph_000099,0,False,False,False,False,False,False,False
g562_real_graph_000100,0,False,False,False,False,False,False,False
g562_real_graph_000101,0,False,False,False,False,False,False,False
g562_real_graph_000102,0,False,False,False,False,False,False,False
g562_real_graph_000103,64,False,False,False,False,False,False,False
g562_real_graph_000104,64,False,False,False,False,False,False,False
g562_real_graph_000105,0,False,False,False,False,False,False,False
g562_real_graph_000106,0,False,False,False,False,False,False,False
g562_real_graph_000107,0,False,False,False,False,False,False,False
g562_real_graph_000108,0,False,False,False,False,False,False,False
g562_real_graph_000109,64,False,False,False,False,False,False,False
g562_real_graph_000110,0,False,False,False,False,False,False,False
g562_real_graph_000111,0,False,False,False,False,False,False,False
g562_real_graph_000112,64,False,False,False,False,False,False,False
g562_real_graph_000113,0,False,False,False,False,False,False,False
g562_real_graph_000114,0,False,False,False,False,False,False,False
g562_real_graph_000115,0,False,False,False,False,False,False,False
g562_real_graph_000116,0,False,False,False,False,False,False,False
g562_real_graph_000117,64,False,False,False,False,False,False,False
g562_real_graph_000118,0,False,False,False,False,False,False,False
g562_real_graph_000119,64,False,False,False,False,False,False,False
g562_real_graph_000120,64,False,False,False,False,False,False,False
g562_real_graph_000121,0,False,False,False,False,False,False,False
g562_real_graph_000122,0,False,False,False,False,False,False,False
g562_real_graph_000123,64,False,False,False,False,False,False,False
g562_real_graph_000124,0,False,False,False,False,False,False,False
g562_real_graph_000125,64,False,False,False,False,False,False,False
g562_real_graph_000126,64,False,False,False,False,False,False,False
g562_real_graph_000127,0,False,False,False,False,False,False,False
g562_real_graph_000128,64,False,False,False,False,False,False,False
g562_real_graph_000129,64,False,False,False,False,False,False,False
g562_real_graph_000130,64,False,False,False,False,False,False,False
g562_real_graph_000131,64,False,False,False,False,False,False,False
