expansion_row_id,g560_evaluation_uid,split,map,map_family,agent_count,budget_ms,agent_density,start_goal_regime,physical_map_sha256,scenario_sha256,selected_for_expanded_training
g565_expand_000000,0019123782e6f65ffacaf7d34fbaba1e0dccd09f9064c3d17f4d6283f6a0055f,validation,g565-synth-bridge-a-40,narrow_bridge,16,2000,0.01288244766505636,,1360b6d9fa25b30ea2c4f0f03584c180352b00755515546b93999e54873ee557,a1172c02744102c4517a600fb4ebd950d3b2a02a7ff79b775e82fd5e5dae9aab,True
g565_expand_000001,002c4c4215d57fbe3e1a9860420a6cd623ab3d0c7d5da6e370414d184c8b0c90,heldout,g559-synth-string-40,irregular_bottleneck,16,500,0.04030226700251889,,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,fba22613e5c8d231ee50a2133c10fc4155117262fe8c155d2aa3eec37a600d90,True
g565_expand_000002,004699ea761fd6c76d9ec8f841c6412a5ef5c37ae46c9db046b2bd7613d9f56b,validation,g565-synth-bridge-a-40,narrow_bridge,16,2000,0.01288244766505636,,1360b6d9fa25b30ea2c4f0f03584c180352b00755515546b93999e54873ee557,29c7540585a70138b424c3ba65338027ed89cd84995ab4bd4ceb868fe194cbbf,True
g565_expand_000003,0049a827368626ea4701b843bc7c662f4ef8f80345e043e3e36b9afabd7b1674,validation,maze-36-32-4,maze,96,5000,0.10762331838565023,,1a385655eefa597ff90a1b67c4953fe9452091ff2b8a377cef7c505f6be9b673,10f701a38b3fddb81dc5f8c6f4290e0923f4de2ae08dd233c1b6851794bc8a89,True
g565_expand_000004,0050640a3c14e37acccaa467e9057a27cf2b3d49f978548a1b3ccf51add83def,heldout,g559-synth-string-40,irregular_bottleneck,64,500,0.16120906801007556,,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,c189358b418c6510d57e154bc810dcb83d37976478d5cb40adaf75fd7a856696,True
g565_expand_000005,00534c9743d151d6fefc588d09b4387c5f302dd75653134414ffd79b2ab7b323,train,random-8-8-20,random,32,5000,0.6274509803921569,,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,0e33504fdd7660c8a0f7e4f17bebc5a9136d347309b7e352a778793a29b9f8f6,True
g565_expand_000006,005a80af026d6c405f0812d067b9f443928302c0ff726e5b23004b61ba8a7f49,train,g565-synth-open-halls-44,open_cross,96,1000,0.0706401766004415,,28139fe1bf7940726beb5da595f341ec17d8e99b0e15be64dcc2302d5d04863d,b1ac97e62c51d6e0178f5df8645688fc8b30b75b4d303beb64f4a156abebf46a,True
g565_expand_000007,00694fb380a6d11e4d6fbbdf1c1a167ff5dd23f8df035358a7e3979d47fd1c03,train,random-8-8-20,random,32,5000,0.6274509803921569,,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,ed5f436e7d43600dfdf83f4f9bc8f2227ebb7d35b7b654389fd099e5e105124c,True
g565_expand_000008,006e5bad8585fb2d62780138f8d11a3bbd53e1437fe0b308d13dba944d60a5eb,train,g565-synth-bridge-b-48,narrow_bridge,96,5000,0.06382978723404255,,ac0ac3c7a7710cf6739e0cecede719d9fb3ad6694f2bbcc75f816905984085f7,2ba9e5925c62359d498b98cf471898f2e4a309b5ebeb65a14bcd37c34cfb418b,True
g565_expand_000009,0070a87533abca4183491274b5d530c1f2ce879adfcdda0c8374e41b1eb4c8f6,train,room-40-32-8,room,96,1000,0.07914262159934048,,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,589c4db1cb6f2562383168f5afc2a049eaa4cdca700d586d24992c67ba722a43,True
g565_expand_000010,0070b4cf12759f8e5bcf2228f2da9e52935a2bc9eeadd0343f0c51e96bed9b3f,train,g565-synth-open-halls-44,open_cross,96,1000,0.0706401766004415,,28139fe1bf7940726beb5da595f341ec17d8e99b0e15be64dcc2302d5d04863d,3d5f06257a52dc9f575c27c8736d0cee62e6443425fa02189dc25af0e30b9efb,True
g565_expand_000011,00830567b67e561c02fcc1205fa27f7e04ee0777e14e74b87e358d4ba6081220,train,empty-32-32,empty,128,2000,0.125,,3ad85daf37d87c531bc2a1574856ef380f50fdebf885d06a4b59a1a11b3938ab,b4ac6d405b70529f24c6a938a9c345676e1a3ec570099ba3b2425d4a35f9c19c,True
g565_expand_000012,0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,train,g559-synth-game-brc-32,game,32,5000,0.04030226700251889,,302e62361819ff53cd7fb6fa94a70715501e8cd760db0c448d754511df4102e1,d64017c983b286b9cd1887f7cfa08904c49a53bc0b8f2ef2ebe5933f7f3946c1,True
g565_expand_000013,0088fa7b0c5a8456543a33d89657236b55817104a882701cf8d45032109a9d5e,validation,g559-synth-city-berlin-32,city,64,500,0.08050314465408805,,6c5e61c0c3a3dd7fa4b0b1dce70e9ad0b8a0cd1517c854bf0f707b66ca835f1a,12c1fa91e37b1670a1c75f11477bcd9731fccfdb0ee423b205b421c6f8578868,True
g565_expand_000014,00919587d4a5e6323aa901e01b2e613f977fc705e5b8a0bacd965869300a657b,train,g565-synth-open-halls-44,open_cross,96,1000,0.0706401766004415,,28139fe1bf7940726beb5da595f341ec17d8e99b0e15be64dcc2302d5d04863d,4959cd8a2a0b0efc4e0e11b4024bf64ab49f9685c98d71d32753194f3a75765a,True
g565_expand_000015,0094caac2c1653c11d6679338ff3ee1b07f6551212b7ab41d335ed3b9b30f400,train,empty-32-32,empty,128,2000,0.125,,3ad85daf37d87c531bc2a1574856ef380f50fdebf885d06a4b59a1a11b3938ab,b30504b42b18ed6843f049c15c2230073104f46e67f5aeec53e8bf28f896f988,True
g565_expand_000016,0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,train,g559-synth-loop-chain-36,irregular_bottleneck,64,2000,0.1725067385444744,,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,16420da50c065abee509805e472bb02b82cea58affed0fbbdc094eda3bf191a7,True
g565_expand_000017,00a883598d3de3a7477ae90c2dfde2a6a829187c7f6ce1e5c71406dc8d57ceb0,train,room-40-32-8,room,96,1000,0.07914262159934048,,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,1c6a31edd663503d3f6d838de18bc0ccd8c02c560f22f1e111e169d268eb3443,True
g565_expand_000018,00c5dcc21ef891db3253f34ea9b59dd68ec77a96eecbadd0d802bbc26ac446c8,heldout,g559-synth-warehouse-b-36,warehouse,256,5000,0.35555555555555557,,55f3b8abd889abf71aea1f354e70e49f8907e4bdfd6c513d1f9978c6b1ffcc8f,6b30ea3011f28edc62cebd263e9d1c7007dc05571574f6e8178add685496a37f,True
g565_expand_000019,00c734485bc9c96372cce1cf0215cd0991bf311a7c30dfb7bcc806a46c5bd2bf,train,g565-synth-islands-b-48,islands,256,1000,0.1671018276762402,,36ab2d3cfc757150f5880f27d361055796ed3233bb68111a5a7ee08bd26424b1,0369ac73e4a0e06cdaf489a53b10da2d2333146bb2131667f90280959d3dc3a1,True
g565_expand_000020,00e920ea2f4cc4f2f5ee9914a2a7fa4d0eaa8b669ccf144fa79246db3e7b720e,train,g565-synth-hub-spoke-a-44,hub_spoke,128,2000,0.0840446487196323,,0834f09d29cc36f5f4d9f047f0d96e961da4932a66c304bcab5178f164bf3d01,4e85654cf276301c9756f4f86e755d698f87d9091fb53c45ba339c63214fa1e6,True
g565_expand_000021,00f99758e33a0533138e2612e9a197cef69fa2788e8896b0e113b05304db2986,train,g565-synth-ring-a-40,ring,64,2000,0.05199025182778229,,a172796f9d361daf06c368d5a302a87e84383ed3ae0e0180876f498eb0f829ef,ba9a119d1c58c17605fe82eab0c76b2f1edb1befc10daec9491a508e16775bf3,True
g565_expand_000022,01015f4ee452dc5d626a8e6c2ff88959a0fafc5e76f5e9d9c0a9f607c56dee97,train,g559-synth-game-lak-32,game,32,5000,0.04030226700251889,,3d8211e6194a40724c7ffe8c552d48777ac9d2b767bf94623ae9f0c376a447f4,60e8fbb704b27748d05ba2601e6c97439803d8f4831eb671393b7673537dc3cc,True
g565_expand_000023,01214692fdd176f1d3fa99c53270e91f9237b0512477da528952125539653010,train,g559-synth-tunnel-38,irregular_bottleneck,256,5000,0.6649350649350649,,457bd56b8871e489dbd82a0563cc4509b2ab2ac2cc3d21ee44f9fc87add3bc4f,b843ecb04be1ccd81a6af86840a6d5f69f55345c92986e567b53dc2d5cc0e48b,True
g565_expand_000024,01296038f4fbbf9b59d315266c5af04249efb101aa0fce291b246fce83ddf9cd,validation,g565-synth-hub-spoke-b-52,hub_spoke,96,5000,0.05405405405405406,,7a7f8c801eaa7e5d351183abb5d137fcdc1491a55b998cfa22a846e56caa3720,32016acc44df2d7ea62542437d3eb00ba8da36785d8ec3abe690a65ebf334163,True
g565_expand_000025,01431d6ad0acb3ad397652fa87f533caa7e1cf5b386c64bf919525053e58aa1b,train,random-32-32-10,random,128,500,0.13882863340563992,,7f11aca3d4470c8f10b48705de9f56ab611bcbc595c5175215bbcc2b3e3aff83,82bc1488eb1df58cbe129eed9b603320a6b8b45ef94159daa917d682c0720369,True
g565_expand_000026,0150ed9125c48e46418167dde9a4fd0a3c5d37251a1a5f29aded27d1d1f942c2,validation,g559-synth-city-berlin-32,city,16,500,0.02012578616352201,,6c5e61c0c3a3dd7fa4b0b1dce70e9ad0b8a0cd1517c854bf0f707b66ca835f1a,0becca98542b203685c396f54f486a9d9226f357c10b9d991297d8071139de87,True
g565_expand_000027,01529cfb6105f96a25c2c0ffa2a0350f9f52256b1ffbcd0df0510a4613416f57,train,g559-synth-game-brc-32,game,32,5000,0.04030226700251889,,302e62361819ff53cd7fb6fa94a70715501e8cd760db0c448d754511df4102e1,2602804c761d20e69fe30695d2f05a32f595d5eb5be5951f19e577e5a3d58ba8,True
g565_expand_000028,01774889fa852d3b4ffc00507977826b79e9c4c9871f1f35d63ce3644e804df5,heldout,g559-synth-warehouse-b-36,warehouse,96,5000,0.13333333333333333,,55f3b8abd889abf71aea1f354e70e49f8907e4bdfd6c513d1f9978c6b1ffcc8f,0f6a45ba3c8b149c26dbcb398057815fa447cc79871326cb73f17eb7ee9c9bdb,True
g565_expand_000029,017e37e2f8ba38063741f07ebc22d7119af0d30244f71a040fbcfeb02f78c0f1,train,random-8-8-20,random,32,5000,0.6274509803921569,,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,a986a86abdc12d8ed80ee72658002671811def6fe850aad240e5fcaf34eda6d4,True
g565_expand_000030,0181a385ab0f09b3320d1dfff5f0b023d384d0ebe87c5a4f10986c6a2e586cc7,validation,g565-synth-open-cross-40,open_cross,16,500,0.012519561815336464,,296de13d5e8c2760ebcd7e897d1dfbfe6042475f9da4498a5dcaa25d534296fa,8544cbc217224447b317c5ba1ffa15d1a367e6795429bb57b1fb240274419148,True
g565_expand_000031,019f28451af3a7e9315882d91fcf8817811f0ef91be07ce476234374bae41360,train,g565-synth-corridor-grid-a-44,corridor_grid,16,500,0.010505581089954037,,ce36d17888bcdc152e606a597b545bc904d0dcc4dcee101ae8b6fdf9e1401ac0,660f3f1dcfd9e0556f0bae9179ac470360b234e7b41ca37419a3f47ea600b331,True
g565_expand_000032,01a44187b4330448341164e90ac0c38b422edb1281683c997b137fdcb143042c,heldout,g559-synth-string-40,irregular_bottleneck,64,500,0.16120906801007556,,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,7b3e0cd6c79a63c7a0369d460812503092ff10e30724e10c60541d706ee2ad47,True
g565_expand_000033,01ae910acb51c61004526b69998001770a9e05aee319bb36111678fdf258bb05,validation,g565-synth-checker-a-40,checker,128,2000,0.10110584518167456,,26509aca7c80f74cec95ca5cf3142ba346e7c08ccc831060b4108f7a9f5d54ae,b9de57ab1d4c7d85237b236dac721431661e657027c4f2bd507f17cf3a491d70,True
g565_expand_000034,01cfe1dfeb12dfdaff1c859b4d1e12723a232a8fc9d291572b776394ed504afa,train,g559-synth-tree-42,irregular_bottleneck,96,1000,0.23471882640586797,,02ec7ff7cd6494f443d4281a55993c0b0831fddd7c59687d20ff7ac63920160f,a270b2581addf7faccc87e0b21990fc7839063c773e8386bce05a94b331de333,True
g565_expand_000035,01e4ea26c0473c03d12ab63d95ee8dfa10b6b5bfb6bb23176ced0c73da60b227,train,random-8-8-20,random,32,5000,0.6274509803921569,,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,9514a32b36763c285e83c283e602f2c77c39a6f8e0d85f3bb1a4f5aec519d6eb,True
g565_expand_000036,01e51f7ffa9d7ddf2e1a291d1bff48eac6eec69923aa4ca583d1e290ecfe8ef3,train,g559-synth-tunnel-38,irregular_bottleneck,256,5000,0.6649350649350649,,457bd56b8871e489dbd82a0563cc4509b2ab2ac2cc3d21ee44f9fc87add3bc4f,562d79fdfc72ce85c016465504f78d48405555dc212274f3535428370daf39c6,True
g565_expand_000037,01ef1e433cee5583048790888cba88f7717160182e3d607a94541a5485225c9a,heldout,g559-synth-warehouse-b-36,warehouse,96,5000,0.13333333333333333,,55f3b8abd889abf71aea1f354e70e49f8907e4bdfd6c513d1f9978c6b1ffcc8f,4e88cf4b45de4a9e2a6015a8f81a9b151f8b38fd071c5b12a5f7fafe56de425f,True
g565_expand_000038,01f980324e836a7b18f440a948b364215b05d42c932ae4823aad255c399372b3,train,g559-synth-loop-chain-36,irregular_bottleneck,16,2000,0.0431266846361186,,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,ff29eb41aa0cecbe9ef188c0dbb63821d3f857da88c962d26215ad50865dcc8d,True
g565_expand_000039,0206d8ca439e259f1224c467bf7d53b8792c3b8f6ab1c57a2831868c420a81b7,validation,g565-synth-open-cross-40,open_cross,128,500,0.10015649452269171,,296de13d5e8c2760ebcd7e897d1dfbfe6042475f9da4498a5dcaa25d534296fa,5899907ee3ef06fa4c0cad2e3c03a07b1f6950e2ec900e014711e94126d70588,True
