model_kind,cycle_label,seed,checkpoint_path,checkpoint_sha256,validation_risk,train_contexts,validation_contexts,loss_config_sha256,all_context_repaired_risk,opportunity_context_normalized_regret,mixed_boundary_harmful_violation,trivial_context_false_deviation,censored_context_trust,positive_mode_mean_loss,positive_mode_capture_rate,theta_distance_variance,opportunity_contexts_evaluated,mixed_boundary_contexts_evaluated,trivial_contexts_evaluated,censored_contexts_evaluated,epochs,epochs_run,best_epoch,early_stop_patience,min_epochs,stopped_early,amp_bf16,initial_validation_risk,best_validation_risk,final_validation_risk,final_train_risk,weight_decay,output_parameterization,anchor,residual_scale,theta_bounds_low,theta_bounds_high,theta_columns,step_zero_outputs_g556,topology_grad_norm,c0_grad_norm,f0_grad_norm,od_grad_norm,scalar_grad_norm,fusion_grad_norm,theta_head_grad_norm,trust_head_grad_norm
E0,base,565,artifacts/models/gcst/phase5p5_repair5g565_rich_cycle_e0_base_seed565.pt,d22e3227a587e964dc95188ba411ccecba2bc712edc55cd2889414a23e3d764b,0.009172145004256487,800,200,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.009172145004256487,0.9236919967040439,5.374499596655369e-05,0.006932121164237077,7.73483969418234e-05,0.014338118596957708,0.05,4.7495931525351266e-06,44,64,13,76,100,30,19,10,30,True,True,0.009475223892785784,0.009172145267185221,0.00917214538650202,0.012317579893860967,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.00645157671533525,0.0
E0,merged,565,artifacts/models/gcst/phase5p5_repair5g565_rich_cycle_e0_merged_seed565.pt,e475dabe043bfa9f618252c3c4834018500b2b7f99c68fec5daaa5ac294e04ac,0.009475223892785784,800,200,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.009475223892785784,1.0,0.0001117076026275754,0.0,0.0,0.015323987842708572,0.010416666666666666,0.0,44,64,13,76,100,30,0,10,30,True,True,0.009475223892785784,0.009475223892785784,0.009475223892785784,0.00829516422993038,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.01506195217370987,0.0
E0,base,566,artifacts/models/gcst/phase5p5_repair5g565_rich_cycle_e0_base_seed566.pt,31602ac1afb5552fa951c09d850d8c5f35b2d7c094e0a8f30d252bf480b2d2dd,0.009217085371337074,800,200,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.009217085371337074,0.945891759921486,6.904528709128499e-05,0.006507086495940502,6.444042162528556e-05,0.01446950186487661,0.06060606060606061,4.020787829558286e-06,44,64,13,76,100,30,9,10,30,True,True,0.009475223892785784,0.009217084616536489,0.009217084268812651,0.012126217830227689,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.013680754229426384,0.0
E0,merged,566,artifacts/models/gcst/phase5p5_repair5g565_rich_cycle_e0_merged_seed566.pt,e21a5a8c62a8a99be02a429af0bedccf236c678dc85a7456a19e6fbddf472cf6,0.009475223892785784,800,200,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.009475223892785784,1.0,0.0001117076026275754,0.0,0.0,0.015323987842708572,0.010416666666666666,0.0,44,64,13,76,100,30,0,10,30,True,True,0.009475223892785784,0.009475223892785784,0.009475223892785784,0.008274773723387625,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.026704974472522736,0.0
E0,base,567,artifacts/models/gcst/phase5p5_repair5g565_rich_cycle_e0_base_seed567.pt,bc684f751623ef5c86023aeab969fbf2571eeb088ff3447e35ebc0a02537f79b,0.00919502373116101,800,200,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.00919502373116101,0.9299057079254283,8.964381413534284e-05,0.005168232099654583,4.71096317970047e-05,0.01472330230042436,0.041237113402061855,2.6565916357084613e-06,44,64,13,76,100,30,7,10,30,True,True,0.009475223892785784,0.009195022375118838,0.009195023558903438,0.012262116991914809,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.012712426483631134,0.0
E0,merged,567,artifacts/models/gcst/phase5p5_repair5g565_rich_cycle_e0_merged_seed567.pt,09d061dbaf2bcf0e89e5b4cffbec570ef205945d5e915523c7888c154f0c07c4,0.009475223892785784,800,200,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.009475223892785784,1.0,0.0001117076026275754,0.0,0.0,0.015323987842708572,0.010416666666666666,0.0,44,64,13,76,100,30,0,10,30,True,True,0.009475223892785784,0.009475223892785784,0.009475223892785784,0.008285913563449867,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.028491726145148277,0.0
E1,base,565,artifacts/models/gcst/phase5p5_repair5g565_rich_cycle_e1_base_seed565.pt,bca0fc6d4c9db67f46385c56143961cd4b7089a720c3a0070a9ade2356b1c5b2,0.009237405692410992,800,200,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.009237405692410992,0.920537924676916,0.00011186243500560522,0.005041270086971613,5.1453235608182456e-05,0.014637933741033534,0.05102040816326531,7.27636079925096e-08,44,64,13,76,100,30,1,10,30,True,True,0.009475223892785784,0.009237405693315878,0.00923740580237652,0.012155296367127448,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.015364693012088537,0.0
E1,merged,565,artifacts/models/gcst/phase5p5_repair5g565_rich_cycle_e1_merged_seed565.pt,4e4ec45e0bda2747fced8b14b2a73e09f5ca4578eb6c2c9ab3fe2af6df7aa8a0,0.009475223892785784,800,200,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.009475223892785784,1.0,0.0001117076026275754,0.0,0.0,0.015323987842708572,0.010416666666666666,0.0,44,64,13,76,100,30,0,10,30,True,True,0.009475223892785784,0.009475223892785784,0.009475223892785784,0.00828034512582235,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.03357764333486557,0.0
E1,base,566,artifacts/models/gcst/phase5p5_repair5g565_rich_cycle_e1_base_seed566.pt,04f008c7b7dc1764e2f340d7879a4fe09327d7694b08f93619f023a1eace2533,0.00917595380206631,800,200,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.00917595380206631,0.9069231004854551,6.27856352366507e-05,0.007577462086024193,7.66133923255103e-05,0.01461718980488161,0.05102040816326531,7.76675082230998e-06,44,64,13,76,100,43,33,10,30,True,True,0.009475223892785784,0.009175953987358033,0.009175953982525069,0.01217379942536354,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.03326587751507759,0.0
E1,merged,566,artifacts/models/gcst/phase5p5_repair5g565_rich_cycle_e1_merged_seed566.pt,6f5d47dad2b8fdfb3bf5a93780069f245ad1cdedd1f8b866d78263dee8fa62e0,0.009475223892785784,800,200,7b6940ce50864c8c012cbb36adff0e9229c06e166922244e2f0f5749f254b470,0.009475223892785784,1.0,0.0001117076026275754,0.0,0.0,0.015323987842708572,0.010416666666666666,0.0,44,64,13,76,100,30,0,10,30,True,True,0.009475223892785784,0.009475223892785784,0.009475223892785784,0.008273800210154149,0.0,g556_anchor_trust_tanh_residual,g556_c063174,0.3,"[0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.8999999761581421, 0.8999999761581421, 0.5, 0.0, 0.0, 0.25, 0.25, 8.0]","[1.5, 1.75, 2.25, 1.25, 1.75, 1.5, 1.25, 1.0, 1.0, 1.5, 1.5, 0.800000011920929, 1.5, 1.0, 12.0]","['theta_alpha_cong_commit_progress', 'theta_alpha_cong_commit_nonprogress', 'theta_alpha_cong_block', 'theta_alpha_cong_wait_progress', 'theta_alpha_cong_wait_nonprogress', 'theta_alpha_flow_commit_progress', 'theta_alpha_flow_wait_progress', 'theta_rho_cong_decay', 'theta_rho_flow_decay', 'theta_lambda_cong', 'theta_lambda_flow', 'theta_flow_shield_beta', 'theta_max_flow_shield', 'theta_min_edge_cost', 'theta_max_edge_cost']",True,0.0,0.0,0.0,0.0,0.0,0.0,0.06731786858290434,0.0
