candidate_id,materialized_method,tier,canonical_report_id,solver_alias,registry_alias,underlying_method,role,required_force_additive,required_enable_dual_channel,expected_updateparams_fingerprint,source,source_sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,generated_theta_uid,registry_role,replay_phase,method,variant_id,actor_training_seed
repair5g59_additive_fallback,repair5g59_additive_fallback,A,paper_additive_ltm,repair5g59_additive_fallback,paper_faithful_additive_ltm,additive_ltm_force_additive,tierA_additive_ltm,1,0,force_additive=1|enable_dual_channel=0,G5.59 additive fallback alias and G5.66 plan section 5.1,523454688b8cdc73907329f98d3ba781717999f79cfe2edb70b72f926f33ce76,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,
repair5g59_static_flow_shield,repair5g59_static_flow_shield,B,static_flow_shield_hand,repair5g59_static_flow_shield,repair5g2_best_frozen_static_candidate,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,tierB_static_flow_shield,0,1,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,scripts/repair5g545_common.py::static_flow_theta and historical repair5g59_static_flow_shield alias,6a1a4578b1aeaabcfec1c9cd3a79ce9112b77ab8fdbb404c669da710619eaab4,False,False,False,False,False,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0,,,,,,
g556_c063174,g556_c063174,C,g556_c063174,g556_c063174,g556_c063174,g556_c063174,tierC_g556_fixed_global,0,1,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,src/gcst/theta_schema.py BASELINE_G556,923f9452dff70e28a21de5194cad8fca9089bfcc141552b9a82d74bda746b6e7,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,,,,,,
g566_development_three_tier_c0_s568_9dd743872df2,,,,,,,,,,,,,False,False,False,False,False,1.2462811470031738,1.1636364459991455,1.2582590579986572,0.740214467048645,0.7565990686416626,1.0383914709091187,0.699169933795929,0.9805614352226257,1.0,0.6811615824699402,0.6453879475593567,0.34078872203826904,0.8836094737052917,1.0,10.810707092285156,1,0,0,a211c970bb99e6a8eba899f7edac70f989a7b84dc75ae565356d5c08a0ecdaf8,g566_actor_generated_theta,development_three_tier,g566_C0_phase5p5_repair5g566_c0_scalar_context_control_seed568,C0,568
g566_development_three_tier_c0_s568_dc852b74ce44,,,,,,,,,,,,,False,False,False,False,False,1.25029718875885,1.1646324396133423,1.2562283277511597,0.7378675937652588,0.7556278109550476,1.0339347124099731,0.6996318697929382,0.9804751873016357,1.0,0.6801652908325195,0.640937328338623,0.3413970470428467,0.9004531502723694,1.0,10.814031600952148,1,0,0,dbdd7421954b2bef01e07ba2de10948aa21a39025ea39c9efa2906f54e64b957,g566_actor_generated_theta,development_three_tier,g566_C0_phase5p5_repair5g566_c0_scalar_context_control_seed568,C0,568
g566_development_three_tier_c0_s568_ea275ce0385d,,,,,,,,,,,,,False,False,False,False,False,1.2497920989990234,1.164489507675171,1.256348729133606,0.7382050156593323,0.7558038830757141,1.0347328186035156,0.6992864608764648,0.9804800748825073,1.0,0.6803244948387146,0.6415631175041199,0.3413732647895813,0.8980330228805542,1.0,10.812811851501465,1,0,0,2250a54d4e6bcd875ac7b4f0a41e7e0e69b303affd584b1c8aba7c2e531b4ccc,g566_actor_generated_theta,development_three_tier,g566_C0_phase5p5_repair5g566_c0_scalar_context_control_seed568,C0,568
g566_development_three_tier_c0_s568_b7b5e7e09fb7,,,,,,,,,,,,,False,False,False,False,False,1.249412178993225,1.1643972396850586,1.2565267086029053,0.7384156584739685,0.7558730840682983,1.03526771068573,0.6991745233535767,0.9804861545562744,1.0,0.6804171204566956,0.6419925093650818,0.3413437604904175,0.8965837955474854,1.0,10.812209129333496,1,0,0,6a722b26e058cb1ccdcbf1f4d3d568e1641caa1a13ee1078a422f30d2a82f6ff,g566_actor_generated_theta,development_three_tier,g566_C0_phase5p5_repair5g566_c0_scalar_context_control_seed568,C0,568
g566_development_three_tier_c0_s568_f19270022f64,,,,,,,,,,,,,False,False,False,False,False,1.2451163530349731,1.1633368730545044,1.2590665817260742,0.7411400675773621,0.7567120790481567,1.0392580032348633,0.6996116638183594,0.9805921316146851,1.0,0.6815006136894226,0.6463717222213745,0.34040144085884094,0.8784880638122559,1.0,10.811235427856445,1,0,0,3c0a8427dc594bff4eb97b83fcbf152d7640b9659510ba4091947ecad9258e2e,g566_actor_generated_theta,development_three_tier,g566_C0_phase5p5_repair5g566_c0_scalar_context_control_seed568,C0,568
g566_development_three_tier_c0_s568_70b810db0872,,,,,,,,,,,,,False,False,False,False,False,1.2463327646255493,1.163653016090393,1.258209228515625,0.7401965856552124,0.7566000819206238,1.0383851528167725,0.6991403698921204,0.9805598855018616,1.0,0.6811544299125671,0.6453473567962646,0.34079283475875854,0.883696973323822,1.0,10.810657501220703,1,0,0,e3a934f152fbc5ab2704d56301214ae28f362cf7be4aa2225812edf91a0dc7e2,g566_actor_generated_theta,development_three_tier,g566_C0_phase5p5_repair5g566_c0_scalar_context_control_seed568,C0,568
g566_development_three_tier_c0_s568_6e0473342945,,,,,,,,,,,,,False,False,False,False,False,1.2493826150894165,1.164391279220581,1.2565417289733887,0.7384199500083923,0.7558748722076416,1.0352636575698853,0.699188768863678,0.9804867506027222,1.0,0.6804166436195374,0.6420081853866577,0.3413465619087219,0.8965622782707214,1.0,10.812227249145508,1,0,0,dedcb14d9ca30cd63191bd53dc19f0103154ee333ac4b7db64a197a5a02b16ad,g566_actor_generated_theta,development_three_tier,g566_C0_phase5p5_repair5g566_c0_scalar_context_control_seed568,C0,568
