g566_development_three_tier_row_id,execution_mode,counts_as_new_g546_solver_row,real_solver_execution,context_key,context_id,role,candidate_id,materialized_method,sampling_policy,map,map_family,agents,seed,budget_ms,iteration,solution_found,probe_feasible,sum_of_loss_ratio,probe_sum_of_loss,probe_lower_bound,probe_runtime_ms,expanded_nodes,low_level_pibt_calls,trace_event_count,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,is_best_candidate_in_context,oracle_gap_vs_static,candidate_recognized,updateparams_hash,updateparams_fingerprint,traffic_before_hash_full,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,feature_map_family_maze,feature_map_family_random,feature_map_family_warehouse,feature_agents,feature_budget_ms,feature_iteration_final,feature_trace_event_count,feature_trace_events_per_agent,feature_pibt_failure_audit_count,feature_expanded_nodes,feature_high_level_expansions,feature_low_level_pibt_calls,feature_expansions_per_agent,feature_budget_per_agent,feature_obstacle_ratio_proxy,feature_corridor_proxy,feature_junction_proxy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,counts_as_new_g549_solver_row,probe_materialized,no_probe_reason,panel,route,horizon_id,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,fresh_seed_block,theta_cluster,registry_label,candidate_group,fulltheta_registry_row_id,counts_as_g549_calibration_topup,counts_as_g549_fulltheta_replay,context_horizon_key,fulltheta_fingerprint_match,fulltheta_fingerprint_mismatched_fields
g566_development_three_tier_00000000,g566_development_three_tier_real_solver_row,True,True,g566-tree-32x32-a-v1|8|566000009|750|0|14650fb0739d0383,g566-tree-32x32-a-v1|a8|s566000009|it0|g566_development_three_tier_g566_tree_32x32_a_v1_a8_s566000009_hbudget750_ltm2_b750,no_ltm_diagnostic,lacam_star,lacam_star,LaCAM* no-LTM diagnostic,g566-tree-32x32-a-v1,other,8,566000009,750,0,True,True,1.09039548023,193,177,0.4378,32,248,252,0,0.0112994350282,False,-0.045197740113,False,35049bacad216c02,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,14650fb0739d0383,,,,,,,,,,,,,,,,,,,0,0,0,8,750,0,252,31.5,0,32,0,248,4,93.75,0.18,0.2,0.3,False,False,False,False,False,True,True,,,,budget750_ltm2,750,750,0.75,2,,,,,,,,g566-tree-32x32-a-v1|8|566000009|750|budget750_ltm2,True,
g566_development_three_tier_00000001,g566_development_three_tier_real_solver_row,True,True,g566-tree-32x32-a-v1|8|566000009|750|0|14650fb0739d0383,g566-tree-32x32-a-v1|a8|s566000009|it0|g566_development_three_tier_g566_tree_32x32_a_v1_a8_s566000009_hbudget750_ltm2_b750,tierA_additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,paper_faithful_additive_ltm,g566-tree-32x32-a-v1,other,8,566000009,750,0,True,True,1.09039548023,193,177,0.331702,32,248,252,0,0.0112994350282,False,-0.045197740113,True,35049bacad216c02,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,14650fb0739d0383,,,,,,,,,,,,,,,,,,,0,0,0,8,750,0,252,31.5,0,32,0,248,4,93.75,0.18,0.2,0.3,False,False,False,False,False,True,True,,,,budget750_ltm2,750,750,0.75,2,,,,,,,,g566-tree-32x32-a-v1|8|566000009|750|budget750_ltm2,True,
g566_development_three_tier_00000002,g566_development_three_tier_real_solver_row,True,True,g566-tree-32x32-a-v1|8|566000009|750|0|14650fb0739d0383,g566-tree-32x32-a-v1|a8|s566000009|it0|g566_development_three_tier_g566_tree_32x32_a_v1_a8_s566000009_hbudget750_ltm2_b750,tierB_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,g566-tree-32x32-a-v1,other,8,566000009,750,0,True,True,1.0790960452,191,177,0.495273,32,248,252,-0.0112994350282,0,False,-0.045197740113,True,e30a75611aecfe79,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=1|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0,0,0,0,8,750,0,252,31.5,0,32,0,248,4,93.75,0.18,0.2,0.3,False,False,False,False,False,True,True,,,,budget750_ltm2,750,750,0.75,2,,,,,,,,g566-tree-32x32-a-v1|8|566000009|750|budget750_ltm2,True,
g566_development_three_tier_00000003,g566_development_three_tier_real_solver_row,True,True,g566-tree-32x32-a-v1|8|566000009|750|0|14650fb0739d0383,g566-tree-32x32-a-v1|a8|s566000009|it0|g566_development_three_tier_g566_tree_32x32_a_v1_a8_s566000009_hbudget750_ltm2_b750,tierC_g556,g556_c063174,g556_c063174,g556_c063174,g566-tree-32x32-a-v1,other,8,566000009,750,0,True,True,1.07344632768,190,177,0.47355,32,248,252,-0.0169491525424,-0.00564971751412,False,-0.045197740113,True,5f59f77673998292,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.97993582487106323|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0403397083282471|alpha_flow_wait_progress=0.69326585531234741|rho_cong_decay=0.97993582487106323|rho_flow_decay=1|lambda_cong=0.68415534496307373|lambda_flow=0.64999997615814209|min_edge_cost=1|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.33551126718521118|max_flow_shield=0.85900604724884033,14650fb0739d0383,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,0,0,0,8,750,0,252,31.5,0,32,0,248,4,93.75,0.18,0.2,0.3,False,False,False,False,False,True,True,,,,budget750_ltm2,750,750,0.75,2,,,,,,,,g566-tree-32x32-a-v1|8|566000009|750|budget750_ltm2,True,
g566_development_three_tier_00000004,g566_development_three_tier_real_solver_row,True,True,g566-tree-32x32-a-v1|8|566000009|750|0|14650fb0739d0383,g566-tree-32x32-a-v1|a8|s566000009|it0|g566_development_three_tier_g566_tree_32x32_a_v1_a8_s566000009_hbudget750_ltm2_b750,generated_theta::g566_development_three_tier_c0_s568_dc852b74ce44,g566_development_three_tier_c0_s568_dc852b74ce44,g566_development_three_tier_c0_s568_dc852b74ce44,g566_C0_phase5p5_repair5g566_c0_scalar_context_control_seed568,g566-tree-32x32-a-v1,other,8,566000009,750,0,True,True,1.03389830508,183,177,0.460492,32,248,252,-0.0564971751412,-0.045197740113,True,-0.045197740113,True,6f5d787b77148326,alpha_commit=1.1646324396133423|alpha_block=1.2562283277511597|alpha_wait_spillover=0.75562781095504761|rho_decay=0.98047518730163574|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2502971887588501|alpha_cong_commit_nonprogress=1.1646324396133423|alpha_cong_block=1.2562283277511597|alpha_cong_wait_progress=0.73786759376525879|alpha_cong_wait_nonprogress=0.75562781095504761|alpha_flow_commit_progress=1.0339347124099731|alpha_flow_wait_progress=0.69963186979293823|rho_cong_decay=0.98047518730163574|rho_flow_decay=1|lambda_cong=0.68016529083251953|lambda_flow=0.64093732833862305|min_edge_cost=1|max_edge_cost=10.814031600952148|goal_projection_mode=flow_shield|flow_shield_beta=0.34139704704284668|max_flow_shield=0.90045315027236938,14650fb0739d0383,1.25029718875885,1.1646324396133423,1.2562283277511597,0.7378675937652588,0.7556278109550476,1.0339347124099731,0.6996318697929382,0.9804751873016357,1.0,0.6801652908325195,0.640937328338623,0.3413970470428467,0.9004531502723694,1.0,10.814031600952148,1,0,0,0,0,0,8,750,0,252,31.5,0,32,0,248,4,93.75,0.18,0.2,0.3,False,False,False,False,False,True,True,,,,budget750_ltm2,750,750,0.75,2,,,,,,,,g566-tree-32x32-a-v1|8|566000009|750|budget750_ltm2,True,
g566_development_three_tier_00000005,g566_development_three_tier_real_solver_row,True,True,g566-tree-32x32-a-v1|8|566000009|750|0|14650fb0739d0383,g566-tree-32x32-a-v1|a8|s566000009|it0|g566_development_three_tier_g566_tree_32x32_a_v1_a8_s566000009_hbudget750_ltm2_b750,generated_theta::g566_development_three_tier_a2_s568_5f9484979e98,g566_development_three_tier_a2_s568_5f9484979e98,g566_development_three_tier_a2_s568_5f9484979e98,g566_A2_phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568,g566-tree-32x32-a-v1,other,8,566000009,750,0,True,True,1.03389830508,183,177,0.491516,32,248,252,-0.0564971751412,-0.045197740113,False,-0.045197740113,True,5f63dc91f483df4,alpha_commit=1.1645985841751099|alpha_block=1.2558481693267822|alpha_wait_spillover=0.75562208890914917|rho_decay=0.98047679662704468|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2504961490631104|alpha_cong_commit_nonprogress=1.1645985841751099|alpha_cong_block=1.2558481693267822|alpha_cong_wait_progress=0.73844927549362183|alpha_cong_wait_nonprogress=0.75562208890914917|alpha_flow_commit_progress=1.0340185165405273|alpha_flow_wait_progress=0.699482262134552|rho_cong_decay=0.98047679662704468|rho_flow_decay=1|lambda_cong=0.68024963140487671|lambda_flow=0.64055055379867554|min_edge_cost=1|max_edge_cost=10.815340995788574|goal_projection_mode=flow_shield|flow_shield_beta=0.34105360507965088|max_flow_shield=0.89961373805999756,14650fb0739d0383,1.2504961490631104,1.1645985841751099,1.2558481693267822,0.7384492754936218,0.7556220889091492,1.0340185165405273,0.699482262134552,0.9804767966270447,1.0,0.6802496314048767,0.6405505537986755,0.3410536050796509,0.8996137380599976,1.0,10.815340995788574,1,0,0,0,0,0,8,750,0,252,31.5,0,32,0,248,4,93.75,0.18,0.2,0.3,False,False,False,False,False,True,True,,,,budget750_ltm2,750,750,0.75,2,,,,,,,,g566-tree-32x32-a-v1|8|566000009|750|budget750_ltm2,True,
g566_development_three_tier_00000006,g566_development_three_tier_real_solver_row,True,True,g566-tree-32x32-a-v1|8|566000009|750|0|14650fb0739d0383,g566-tree-32x32-a-v1|a8|s566000009|it0|g566_development_three_tier_g566_tree_32x32_a_v1_a8_s566000009_hbudget750_ltm2_b750,generated_theta::g566_development_three_tier_a0_s568_24867f9d4890,g566_development_three_tier_a0_s568_24867f9d4890,g566_development_three_tier_a0_s568_24867f9d4890,g566_A0_phase5p5_repair5g566_a0_f6_lite_goal_aware_graph_actor_seed568,g566-tree-32x32-a-v1,other,8,566000009,750,0,True,True,1.03389830508,183,177,0.49667,32,248,252,-0.0564971751412,-0.045197740113,False,-0.045197740113,True,8aa7906404469bfa,alpha_commit=1.1648766994476318|alpha_block=1.2556253671646118|alpha_wait_spillover=0.75568109750747681|rho_decay=0.98046654462814331|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2502477169036865|alpha_cong_commit_nonprogress=1.1648766994476318|alpha_cong_block=1.2556253671646118|alpha_cong_wait_progress=0.73825013637542725|alpha_cong_wait_nonprogress=0.75568109750747681|alpha_flow_commit_progress=1.0337619781494141|alpha_flow_wait_progress=0.69947963953018188|rho_cong_decay=0.98046654462814331|rho_flow_decay=1|lambda_cong=0.68034034967422485|lambda_flow=0.64039772748947144|min_edge_cost=1|max_edge_cost=10.815196990966797|goal_projection_mode=flow_shield|flow_shield_beta=0.34117496013641357|max_flow_shield=0.90002280473709106,14650fb0739d0383,1.2502477169036865,1.1648766994476318,1.2556253671646118,0.7382501363754272,0.7556810975074768,1.033761978149414,0.6994796395301819,0.9804665446281433,1.0,0.6803403496742249,0.6403977274894714,0.3411749601364136,0.9000228047370911,1.0,10.815196990966797,1,0,0,0,0,0,8,750,0,252,31.5,0,32,0,248,4,93.75,0.18,0.2,0.3,False,False,False,False,False,True,True,,,,budget750_ltm2,750,750,0.75,2,,,,,,,,g566-tree-32x32-a-v1|8|566000009|750|budget750_ltm2,True,
g566_development_three_tier_00000007,g566_development_three_tier_real_solver_row,True,True,g566-tree-32x32-a-v1|8|566000009|750|0|14650fb0739d0383,g566-tree-32x32-a-v1|a8|s566000009|it0|g566_development_three_tier_g566_tree_32x32_a_v1_a8_s566000009_hbudget750_ltm2_b750,generated_theta::g566_development_three_tier_a1_s568_1d241ad337ba,g566_development_three_tier_a1_s568_1d241ad337ba,g566_development_three_tier_a1_s568_1d241ad337ba,g566_A1_phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568,g566-tree-32x32-a-v1,other,8,566000009,750,0,True,True,1.03389830508,183,177,0.495308,32,248,252,-0.0564971751412,-0.045197740113,False,-0.045197740113,True,d4b95d43573b1b8a,alpha_commit=1.1650223731994629|alpha_block=1.2556592226028442|alpha_wait_spillover=0.75602471828460693|rho_decay=0.98047876358032227|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2506310939788818|alpha_cong_commit_nonprogress=1.1650223731994629|alpha_cong_block=1.2556592226028442|alpha_cong_wait_progress=0.7382238507270813|alpha_cong_wait_nonprogress=0.75602471828460693|alpha_flow_commit_progress=1.0339692831039429|alpha_flow_wait_progress=0.69946682453155518|rho_cong_decay=0.98047876358032227|rho_flow_decay=1|lambda_cong=0.68008691072463989|lambda_flow=0.64066219329833984|min_edge_cost=1|max_edge_cost=10.814868927001953|goal_projection_mode=flow_shield|flow_shield_beta=0.34130370616912842|max_flow_shield=0.89955663681030273,14650fb0739d0383,1.2506310939788818,1.165022373199463,1.2556592226028442,0.7382238507270813,0.7560247182846069,1.0339692831039429,0.6994668245315552,0.9804787635803223,1.0,0.6800869107246399,0.6406621932983398,0.3413037061691284,0.8995566368103027,1.0,10.814868927001953,1,0,0,0,0,0,8,750,0,252,31.5,0,32,0,248,4,93.75,0.18,0.2,0.3,False,False,False,False,False,True,True,,,,budget750_ltm2,750,750,0.75,2,,,,,,,,g566-tree-32x32-a-v1|8|566000009|750|budget750_ltm2,True,
g566_development_three_tier_00000000,g566_development_three_tier_real_solver_row,True,True,g566-tree-32x32-a-v3|8|566000139|1500|0|14650fb0739d0383,g566-tree-32x32-a-v3|a8|s566000139|it0|g566_development_three_tier_g566_tree_32x32_a_v3_a8_s566000139_hbudget1500_ltm3_b1500,no_ltm_diagnostic,lacam_star,lacam_star,LaCAM* no-LTM diagnostic,g566-tree-32x32-a-v3,other,8,566000139,1500,0,True,True,1.17061611374,247,211,0.472879,43,332,323,0,0.0710900473934,False,-0.0616113744076,False,35049bacad216c02,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,14650fb0739d0383,,,,,,,,,,,,,,,,,,,0,0,0,8,1500,0,323,40.375,0,43,0,332,5.375,187.5,0.18,0.2,0.3,False,False,False,False,False,True,True,,,,budget1500_ltm3,1500,1500,1.5,3,,,,,,,,g566-tree-32x32-a-v3|8|566000139|1500|budget1500_ltm3,True,
g566_development_three_tier_00000001,g566_development_three_tier_real_solver_row,True,True,g566-tree-32x32-a-v3|8|566000139|1500|0|14650fb0739d0383,g566-tree-32x32-a-v3|a8|s566000139|it0|g566_development_three_tier_g566_tree_32x32_a_v3_a8_s566000139_hbudget1500_ltm3_b1500,tierA_additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,paper_faithful_additive_ltm,g566-tree-32x32-a-v3,other,8,566000139,1500,0,True,True,1.17061611374,247,211,0.419306,43,332,323,0,0.0710900473934,False,-0.0616113744076,True,35049bacad216c02,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,14650fb0739d0383,,,,,,,,,,,,,,,,,,,0,0,0,8,1500,0,323,40.375,0,43,0,332,5.375,187.5,0.18,0.2,0.3,False,False,False,False,False,True,True,,,,budget1500_ltm3,1500,1500,1.5,3,,,,,,,,g566-tree-32x32-a-v3|8|566000139|1500|budget1500_ltm3,True,
