fold,seed,target,train_rows,predict_rows,finite_train_rows,train_physical_maps,predict_physical_maps,physical_map_leakage_violations,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
0,566,success_regression_vs_additive,41708,8340,41708,28,7,0,False,False,False,False,False
0,566,success_regression_vs_static_flow,41708,8340,41708,28,7,0,False,False,False,False,False
0,566,success_regression_vs_g556,41708,8340,41708,28,7,0,False,False,False,False,False
0,566,success_gain,41708,8340,41708,28,7,0,False,False,False,False,False
0,566,delta_vs_additive,41708,8340,39887,28,7,0,False,False,False,False,False
0,566,delta_vs_static_flow,41708,8340,41292,28,7,0,False,False,False,False,False
0,566,delta_vs_g556,41708,8340,41407,28,7,0,False,False,False,False,False
0,566,log_actor_runtime_ms,41708,8340,41708,28,7,0,False,False,False,False,False
0,566,log_actor_expanded_nodes,41708,8340,41708,28,7,0,False,False,False,False,False
0,566,log_actor_low_level_pibt_calls,41708,8340,41708,28,7,0,False,False,False,False,False
0,567,success_regression_vs_additive,41708,8340,41708,28,7,0,False,False,False,False,False
0,567,success_regression_vs_static_flow,41708,8340,41708,28,7,0,False,False,False,False,False
0,567,success_regression_vs_g556,41708,8340,41708,28,7,0,False,False,False,False,False
0,567,success_gain,41708,8340,41708,28,7,0,False,False,False,False,False
0,567,delta_vs_additive,41708,8340,39887,28,7,0,False,False,False,False,False
0,567,delta_vs_static_flow,41708,8340,41292,28,7,0,False,False,False,False,False
0,567,delta_vs_g556,41708,8340,41407,28,7,0,False,False,False,False,False
0,567,log_actor_runtime_ms,41708,8340,41708,28,7,0,False,False,False,False,False
0,567,log_actor_expanded_nodes,41708,8340,41708,28,7,0,False,False,False,False,False
0,567,log_actor_low_level_pibt_calls,41708,8340,41708,28,7,0,False,False,False,False,False
0,568,success_regression_vs_additive,41708,8340,41708,28,7,0,False,False,False,False,False
0,568,success_regression_vs_static_flow,41708,8340,41708,28,7,0,False,False,False,False,False
0,568,success_regression_vs_g556,41708,8340,41708,28,7,0,False,False,False,False,False
0,568,success_gain,41708,8340,41708,28,7,0,False,False,False,False,False
0,568,delta_vs_additive,41708,8340,39887,28,7,0,False,False,False,False,False
0,568,delta_vs_static_flow,41708,8340,41292,28,7,0,False,False,False,False,False
0,568,delta_vs_g556,41708,8340,41407,28,7,0,False,False,False,False,False
0,568,log_actor_runtime_ms,41708,8340,41708,28,7,0,False,False,False,False,False
0,568,log_actor_expanded_nodes,41708,8340,41708,28,7,0,False,False,False,False,False
0,568,log_actor_low_level_pibt_calls,41708,8340,41708,28,7,0,False,False,False,False,False
1,566,success_regression_vs_additive,37497,12551,37497,28,7,0,False,False,False,False,False
1,566,success_regression_vs_static_flow,37497,12551,37497,28,7,0,False,False,False,False,False
1,566,success_regression_vs_g556,37497,12551,37497,28,7,0,False,False,False,False,False
1,566,success_gain,37497,12551,37497,28,7,0,False,False,False,False,False
1,566,delta_vs_additive,37497,12551,35331,28,7,0,False,False,False,False,False
1,566,delta_vs_static_flow,37497,12551,36393,28,7,0,False,False,False,False,False
1,566,delta_vs_g556,37497,12551,36508,28,7,0,False,False,False,False,False
1,566,log_actor_runtime_ms,37497,12551,37497,28,7,0,False,False,False,False,False
1,566,log_actor_expanded_nodes,37497,12551,37497,28,7,0,False,False,False,False,False
1,566,log_actor_low_level_pibt_calls,37497,12551,37497,28,7,0,False,False,False,False,False
1,567,success_regression_vs_additive,37497,12551,37497,28,7,0,False,False,False,False,False
1,567,success_regression_vs_static_flow,37497,12551,37497,28,7,0,False,False,False,False,False
1,567,success_regression_vs_g556,37497,12551,37497,28,7,0,False,False,False,False,False
1,567,success_gain,37497,12551,37497,28,7,0,False,False,False,False,False
1,567,delta_vs_additive,37497,12551,35331,28,7,0,False,False,False,False,False
1,567,delta_vs_static_flow,37497,12551,36393,28,7,0,False,False,False,False,False
1,567,delta_vs_g556,37497,12551,36508,28,7,0,False,False,False,False,False
1,567,log_actor_runtime_ms,37497,12551,37497,28,7,0,False,False,False,False,False
1,567,log_actor_expanded_nodes,37497,12551,37497,28,7,0,False,False,False,False,False
1,567,log_actor_low_level_pibt_calls,37497,12551,37497,28,7,0,False,False,False,False,False
1,568,success_regression_vs_additive,37497,12551,37497,28,7,0,False,False,False,False,False
1,568,success_regression_vs_static_flow,37497,12551,37497,28,7,0,False,False,False,False,False
1,568,success_regression_vs_g556,37497,12551,37497,28,7,0,False,False,False,False,False
1,568,success_gain,37497,12551,37497,28,7,0,False,False,False,False,False
1,568,delta_vs_additive,37497,12551,35331,28,7,0,False,False,False,False,False
1,568,delta_vs_static_flow,37497,12551,36393,28,7,0,False,False,False,False,False
1,568,delta_vs_g556,37497,12551,36508,28,7,0,False,False,False,False,False
1,568,log_actor_runtime_ms,37497,12551,37497,28,7,0,False,False,False,False,False
1,568,log_actor_expanded_nodes,37497,12551,37497,28,7,0,False,False,False,False,False
1,568,log_actor_low_level_pibt_calls,37497,12551,37497,28,7,0,False,False,False,False,False
2,566,success_regression_vs_additive,35440,14608,35440,28,7,0,False,False,False,False,False
2,566,success_regression_vs_static_flow,35440,14608,35440,28,7,0,False,False,False,False,False
2,566,success_regression_vs_g556,35440,14608,35440,28,7,0,False,False,False,False,False
2,566,success_gain,35440,14608,35440,28,7,0,False,False,False,False,False
2,566,delta_vs_additive,35440,14608,33329,28,7,0,False,False,False,False,False
2,566,delta_vs_static_flow,35440,14608,34385,28,7,0,False,False,False,False,False
2,566,delta_vs_g556,35440,14608,34457,28,7,0,False,False,False,False,False
2,566,log_actor_runtime_ms,35440,14608,35440,28,7,0,False,False,False,False,False
2,566,log_actor_expanded_nodes,35440,14608,35440,28,7,0,False,False,False,False,False
2,566,log_actor_low_level_pibt_calls,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,success_regression_vs_additive,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,success_regression_vs_static_flow,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,success_regression_vs_g556,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,success_gain,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,delta_vs_additive,35440,14608,33329,28,7,0,False,False,False,False,False
2,567,delta_vs_static_flow,35440,14608,34385,28,7,0,False,False,False,False,False
2,567,delta_vs_g556,35440,14608,34457,28,7,0,False,False,False,False,False
2,567,log_actor_runtime_ms,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,log_actor_expanded_nodes,35440,14608,35440,28,7,0,False,False,False,False,False
2,567,log_actor_low_level_pibt_calls,35440,14608,35440,28,7,0,False,False,False,False,False
2,568,success_regression_vs_additive,35440,14608,35440,28,7,0,False,False,False,False,False
2,568,success_regression_vs_static_flow,35440,14608,35440,28,7,0,False,False,False,False,False
2,568,success_regression_vs_g556,35440,14608,35440,28,7,0,False,False,False,False,False
