physical_map_sha256,split,map_example,map_family,frozen_split_index,contexts_in_hash,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
0197b70e303a767a3e4f14a4bd66438add49ea905257d25924a6c1c56b4cf02f,CALIBRATION,g566-string-32x24-a-v2,irregular_bottleneck,0,94,False,False,False,False,False
01c31136aba3d4a6943060482d05fdcdebfdcaaae49435c8fd86b70c93b20cdb,BLIND,g566-chambers-48x32-a-v3,chambers,1,47,False,False,False,False,False
06e44348d33ce5417b94ec0dfaa6291a9c8757bd0ee37d16e9a125ec92e6ad2b,CALIBRATION,g566-empty-16x16-v0,empty,2,47,False,False,False,False,False
0b7bad78e98a94dcf429db40b64d82327934f0b7036e6415fa702f83b7bdfa3b,TRAIN,g566-random-32x32-a-v1,random,3,24,False,False,False,False,False
0c28fc66286fbbc9dd50db423a73bd41d74ea9798980cd3d587e683518af2bef,TRAIN,g566-random-32x32-a-v0,random,4,23,False,False,False,False,False
0e7709c43cdb56767ac1f1c996151587450d6adfa62e1017179929e152a3cb29,CALIBRATION,g566-empty-48x32-v0,empty,5,47,False,False,False,False,False
109f00e210f3ec5c66360d355a1eca6c4d0a05651a73eb9c6ebe04209ac2e21b,TRAIN,g566-plaza-64x64-a-v3,plaza,6,24,False,False,False,False,False
11465ef39f5fe0bee117adba5acac5cabadc5689667e59d9d32f936c95a077ff,CALIBRATION,g566-empty-48x32-v1,empty,7,47,False,False,False,False,False
11e5746a2041ec859bfebfd9500e1f63d3dd24e8061855f97c02cd411f63c3d1,TRAIN,g566-warehouse-32x24-a-v2,warehouse,8,188,False,False,False,False,False
16ff2671095927d1595e1fbb588a1cbd7a5390d5956594f393e82d356927f869,TRAIN,g566-random-24x24-a-v2,random,9,47,False,False,False,False,False
175f9615f81eef596a6e41b0c7bf30a5905ce23e83a14f2cae7157345a3928d3,BLIND,g566-chambers-64x48-a-v2,chambers,10,24,False,False,False,False,False
177c8b07970261f9bf9e74e0cdd5dd41b29f9384d0881f5c77d177d8c0849767,TRAIN,g566-spiral-40x40-a-v0,spiral,11,47,False,False,False,False,False
17edaa03eb79ef4fcaf5786044b46ca2a11c4e63d83a53bd76b35610dc1417fd,TRAIN,g566-spiral-40x40-a-v1,spiral,12,47,False,False,False,False,False
19b790dd92af1ce161aafcb2dc4b45a439f5f48471e023c1383ba8742281246e,BLIND,g566-chambers-48x32-a-v2,chambers,13,47,False,False,False,False,False
1aa6229910cb18e8f175f7d85d6236b3e0471154fd5ea2f5bf155db733c59a5e,BLIND,g566-chambers-48x32-a-v1,chambers,14,46,False,False,False,False,False
1b9725c6c5bdf3c5a1933c902233f1835bcd166c07bad0b83bdf05338e338687,VALIDATION,g566-lanes-64x48-a-v0,lanes,15,23,False,False,False,False,False
1ede29b3e249af1f031329a6fd2661cb2e7e4aa991c1d01fbbbc81dd2d284b10,CALIBRATION,g566-empty-32x32-v1,empty,16,23,False,False,False,False,False
1f9c82d73332957d6397ea1ea600f4eb0b2fbda9c9407e2ab2ade5c80d0ac98d,TRAIN,g566-random-24x24-a-v0,random,17,47,False,False,False,False,False
200aad4be9c4b951a73f755937c85c33a82565775fe7b8ec489eef5b1ca33c0d,VALIDATION,g566-islands-48x48-a-v3,islands,18,47,False,False,False,False,False
21850958fe5c8e0adc0a0be4d3d7faa57d85bd107a2af094ad7c8bce70398ba1,TRAIN,g566-random-40x40-b-v1,random,19,47,False,False,False,False,False
258e695e8279a17bdd912f718763bf932d9fe4a56f10bb5b89eda4297213e034,TRAIN,g566-warehouse-48x32-a-v1,warehouse,20,94,False,False,False,False,False
2b7ea442e5be4d88f45c44cc2c26607e248b65e632aa9c55ee25e8904f1586ac,TRAIN,g566-random-24x24-a-v3,random,21,47,False,False,False,False,False
2bb83ff39747a509e476588157216eb0038a18770ad0e273f6373cc07c6ced47,VALIDATION,g566-islands-72x48-a-v1,islands,22,24,False,False,False,False,False
2c64f7381ccf18668aa0b2587e461b5557765b700ffad1f8139cebcc22b5854e,CALIBRATION,g566-empty-8x8-v1,empty,23,23,False,False,False,False,False
2fade018c640e27655715f6d49617b7ffd80cb4ab8809b9274fa73f4897ac546,VALIDATION,g566-lanes-64x48-a-v3,lanes,24,24,False,False,False,False,False
3838b161656785aca85f1a40de25678dde5c59d19d757ad6d4fedffd76d28f34,BLIND,g566-chambers-48x32-a-v0,chambers,25,47,False,False,False,False,False
39fdfebd4cd5fd7e74cab753fa28025a53eb181570012158e7239e2531252e89,VALIDATION,g566-islands-72x48-a-v2,islands,26,23,False,False,False,False,False
3f2cd4d693dd477b9084e12d66c52aa5c67c79a90a1c9f3363fdc6e71b2bcbfa,CALIBRATION,g566-empty-32x32-v2,empty,27,23,False,False,False,False,False
41e8bd801671ad3617c7eb64c8625c98bc8582f5dd8541565af5a8648f79998b,VALIDATION,g566-islands-48x48-a-v2,islands,28,47,False,False,False,False,False
4861b52f5ab392782d2b7d8fff4ac4a293e528d8332403c2fbccaec0426d0feb,BLIND,g566-chambers-64x48-a-v3,chambers,29,23,False,False,False,False,False
4ca72258d2592d2517fd1458452c7cde4e145a4274e9bfe556c2579becde0e0a,TRAIN,g566-random-24x24-a-v1,random,30,47,False,False,False,False,False
4d2d004bf45d72574681eb32e9ab07f5f95ed248cb2059d8ed63a3eaf9469825,TRAIN,g566-tunnel-64x32-a-v1,tunnel,31,374,False,False,False,False,False
4e477f8f925302fd7a60a0fc67ff326676a5424fef34affcc597e9edfe7e1c90,CALIBRATION,g566-empty-32x32-v3,empty,32,24,False,False,False,False,False
4ed68c891078a769dcd86dc53e49dd01c73a3a9ed81b2472f53b4c1b707646be,BLIND,g566-city-64x48-a-v3,city,33,23,False,False,False,False,False
50824c25b3c4c0062fbe0f56911013b28f99ee0ccd946ccf40566bb16a584f57,TRAIN,g566-spiral-64x64-a-v0,spiral,34,23,False,False,False,False,False
52d59b51465307ebfbc8bf1b7be6d19689d4ad82e7d3ce13900f8dff6467b7a4,CALIBRATION,g566-empty-8x8-v2,empty,35,24,False,False,False,False,False
567c519c01c527d3efb583d31c886515abe3709a5993eb37517523f3a1e69771,VALIDATION,g566-lanes-48x32-a-v3,lanes,36,47,False,False,False,False,False
57a137320a375cd756cc2b99100e1086bb9eaf7155d9149520ca95651dd642f2,BLIND,g566-cross-32x32-a-v3,cross,37,47,False,False,False,False,False
57d8df94990388ea135f3824194c796e28d0decdfdafb69caac660aac6e73833,TRAIN,g566-random-16x16-a-v1,random,38,23,False,False,False,False,False
586a26066000f0d7d7f7e286d4b7fa886ced2e5234e10d18d9927667b64322a1,TRAIN,g566-spiral-40x40-a-v2,spiral,39,46,False,False,False,False,False
5a18c21058eefb925ab5cfb44323909c9c347d3d96ce5ca825a4dfcef936aac7,TRAIN,g566-plaza-40x40-a-v2,plaza,40,47,False,False,False,False,False
5ed14184c68f04bbab1a1b247fbd9945de3921ea29c07364751d452e22b38a7c,BLIND,g566-cross-64x40-a-v1,cross,41,24,False,False,False,False,False
5ef10135a7564b4855a71fe4b366caf9fe6a503597f7756680ac54dc8053204d,TRAIN,g566-plaza-64x64-a-v1,plaza,42,23,False,False,False,False,False
5f278672481b98fcfa320ce919693ce469bc77fe872188325ddb7bb1413874d9,TRAIN,g566-random-16x16-a-v3,random,43,23,False,False,False,False,False
617d5517d3d6dc83c2398d428df207d9ca392bf4dadda1bfc3a374f7f20f7da5,TRAIN,g566-random-40x40-b-v0,random,44,47,False,False,False,False,False
640e7429271a0380ac7b38863741633be9103b07793fc11398fb7e86b9fb27f0,VALIDATION,g566-islands-72x48-a-v0,islands,45,24,False,False,False,False,False
68ca0383584a7ad06a69890bd3f7f843600b64962d0be46819e0d3f4e561acf9,TRAIN,g566-plaza-64x64-a-v0,plaza,46,24,False,False,False,False,False
69bfaea0d674f5df05248cd43cb4188e39ef6a05c31882f95e37a7fd6cde0fa2,TRAIN,g566-random-40x40-b-v3,random,47,47,False,False,False,False,False
6cbec0d0f2bb9a77409b5b66ae45c8dfaf912ce867841348ae1983de4a24226c,VALIDATION,g566-lanes-64x48-a-v2,lanes,48,24,False,False,False,False,False
6d49b505eff675f9787dc4355900dc38062bfdf9e659ce38e395adf62eb845f0,TRAIN,g566-random-32x32-a-v2,random,49,23,False,False,False,False,False
6d585d0c63d287e2bb131f6a0967c984d549d2591cd4353ef44f7a1c64d3d00a,CALIBRATION,g566-empty-16x16-v1,empty,50,47,False,False,False,False,False
71362299176d059895d682a8467b6013807bdc5fdd11c76168ce855dc2cc7164,TRAIN,g566-maze-64x32-b-v2,maze,51,94,False,False,False,False,False
7731ec2a19a8bca7ef0183404a6192ca8fee572bace1b4b70afb4b0e0e8e0c6c,BLIND,g566-city-64x48-a-v2,city,52,23,False,False,False,False,False
786e3a5172c0f76f76ec5c16eeed80fbfd8b5bbaa106a2ba04aeea26601b6a2b,BLIND,g566-cross-32x32-a-v2,cross,53,47,False,False,False,False,False
7890b76e0bad9a548ac7df748d03cd8b6cf06c29e02ce17c8ba208c4c25cff96,CALIBRATION,g566-empty-48x32-v2,empty,54,47,False,False,False,False,False
7ed06f65e284271f3673e1a421485098568a1776fa5c2694648905e9d3d22e0a,BLIND,g566-connector-24x24-a-v2,connector,55,188,False,False,False,False,False
801cf14e87154972412e366a8b6e17e1dcf74feb8d43cee5ea8834c7a206076b,TRAIN,g566-room-48x48-a-v3,room,56,94,False,False,False,False,False
82691fcbc64594e785d7dc79dc69d7daa58f8e50ffd30cdf6f28881b979cd8f6,TRAIN,g566-plaza-40x40-a-v3,plaza,57,46,False,False,False,False,False
84186f5f02a8d6ab0c49e70340e75ed90436419e820f0a4e1df7be2b7cc5289e,CALIBRATION,g566-empty-8x8-v3,empty,58,23,False,False,False,False,False
8ad530adfb10137e727c778f08ad3a55b88d8af46ca4656916523444a473c40e,TRAIN,g566-maze-48x32-a-v3,maze,59,188,False,False,False,False,False
8b01760e8cf18ff6090e0a3ab976d50f99e5bf1b37c70e18b798fa419019dc85,BLIND,g566-cross-64x40-a-v3,cross,60,23,False,False,False,False,False
8cf97adb4c9e0003b83ec3857a012d6f00454a86015e93661389b31231e2ae6d,TRAIN,g566-random-40x40-b-v2,random,61,47,False,False,False,False,False
8f9329efb8df034c1c68c88e87221ea4952a36b3dcad382ebc6d941c647ce2f0,TRAIN,g566-warehouse-20x10-a-v0,warehouse,62,94,False,False,False,False,False
8fe1eb935524ce26bbdd9a46654fa81b05aca8426679db38bf5cc04201fb164d,VALIDATION,g566-loop-32x32-a-v0,loop,63,188,False,False,False,False,False
91754c17490a0b59c8da5bd7fd79ee43f5c99d64aaa787066331a1ef5212196a,BLIND,g566-cross-64x40-a-v2,cross,64,24,False,False,False,False,False
9723335b4876c1e2b891a0b8dd49ef6fb69627644d7666b0c48b6a189a662a61,BLIND,g566-cross-32x32-a-v0,cross,65,47,False,False,False,False,False
996b9d001bb11276b492fd723a04ecd77bc1d4d60e679803c3491f234ad56c4f,CALIBRATION,g566-empty-32x32-v0,empty,66,23,False,False,False,False,False
999b7f6b8b15ea31f0848376e528d3cd7ecc1be278877fc50656c1d0e3a43c04,TRAIN,g566-plaza-64x64-a-v2,plaza,67,23,False,False,False,False,False
9a6d994d1ffdee529dca976c32f5e27a53264fec23f6afad19908e64f7f6713a,TRAIN,g566-spiral-40x40-a-v3,spiral,68,47,False,False,False,False,False
9c4443ff29f3d9b88737d105677c0379939b901d84dd7c462050cc0a51ec1bf2,BLIND,g566-city-32x32-a-v0,city,69,46,False,False,False,False,False
a201e651652144a79af27db0f25b4a3f3f304a92ba7a285677bb55047db55155,VALIDATION,g566-lanes-64x48-a-v1,lanes,70,23,False,False,False,False,False
a28dd85bc50e3901f8898331f7ce6ff1ddd161666a2b9519511d07e02fc191e5,TRAIN,g566-plaza-40x40-a-v1,plaza,71,47,False,False,False,False,False
aa25734434829be69c6e8f0030d13959ce2f154cd1fcfa862ae183ee1cea619a,VALIDATION,g566-lanes-48x32-a-v0,lanes,72,47,False,False,False,False,False
ac44a088fd6464fff079f3e54591f5a76327c97fe75072eccffa1ffa03530ccc,BLIND,g566-city-64x48-a-v1,city,73,24,False,False,False,False,False
ae47afa977f5ae30ec6226c8c6c32feb6bc0a47e84afaa8881e99b65d1852b76,TRAIN,g566-loop-56x56-a-v2,loop,74,187,False,False,False,False,False
b291145c876551a4b396d3f6695e129783403c712d2a59c28bfb8c89da02c92b,VALIDATION,g566-islands-48x48-a-v0,islands,75,46,False,False,False,False,False
b631225ebfdb85d28a014b187cc6bac369e515c632c87f8889afcdf59cd2795b,TRAIN,g566-spiral-64x64-a-v2,spiral,76,24,False,False,False,False,False
b64bb9d484fa71de1953b9ca8f03cf543a99a72f9b4522c619c53a32976b5916,BLIND,g566-city-32x32-a-v3,city,77,47,False,False,False,False,False
b999e6cb1f7000d7b6c06f77d30e3a12762dc764c3e70d47d431ca906e214f30,TRAIN,g566-spiral-64x64-a-v3,spiral,78,24,False,False,False,False,False
bb1e52cf11a0c4ae25fe1d49faef69cb4bbd103462e51fddabb78f02183b798e,VALIDATION,g566-islands-48x48-a-v1,islands,79,47,False,False,False,False,False
bcbaf861f3cab296520618d4834f374d8ca9ad13ca1b3e5d97a462fa142a8598,VALIDATION,g566-corners-48x48-a-v3,irregular_bottleneck,80,281,False,False,False,False,False
bea6866b4d035add72624b4aa366a3a113af9830f8669b562dfef7be92edb394,BLIND,g566-city-32x32-a-v2,city,81,47,False,False,False,False,False
bf21fcdc6b5605321f34f2e5fdeaaad4ad6aeabc564fc0d37668d0fb93dbb00c,CALIBRATION,g566-empty-16x16-v2,empty,82,47,False,False,False,False,False
bf33b093c5b9286617853bfdbc3019851e0af9b7b71a2f94c349166cc63ff6c5,VALIDATION,g566-lanes-48x32-a-v1,lanes,83,47,False,False,False,False,False
c14661810a19e2bc132bed0ae48137bb3138b284c38bd68e62822a0ac0571da1,TRAIN,g566-random-32x32-a-v3,random,84,23,False,False,False,False,False
c2962b8ac8a9128d3846272355d6cb144ff7ea65e3795df34fa5d0ac484b22e1,VALIDATION,g566-islands-72x48-a-v3,islands,85,23,False,False,False,False,False
c9c36c264d2cc5216b9a017865098dc7b577cad6b3bb372f98221e148547593b,BLIND,g566-city-32x32-a-v1,city,86,47,False,False,False,False,False
cb26d813593f278d6b8b2f5650961555724961d340ad2d377eeba0c51cb33ac0,CALIBRATION,g566-empty-48x32-v3,empty,87,47,False,False,False,False,False
cb98b43de15f702763a06a41e27df651204d64297409e5820668c9bb00c21923,TRAIN,g566-warehouse-64x40-b-v3,warehouse,88,188,False,False,False,False,False
ce14f7dfd19d0c32886588d8b500589c9fe22a8a47e70199642f6b5e452cecfd,TRAIN,g566-plaza-40x40-a-v0,plaza,89,47,False,False,False,False,False
ce70c2003b712f5766539a2f13a3ac9ccd76f225542669a030947de653c89012,TRAIN,g566-tree-56x40-a-v3,tree,90,187,False,False,False,False,False
d0003ec4c7385c60f4f3cc3e6758bc7475d52fb410751c12ff6cb08e24d49b56,TRAIN,g566-maze-24x24-a-v1,maze,91,94,False,False,False,False,False
d0fe042fcd8c8d4129aeac8edf69a26fdae765c2e0e5ad1706fd04494098ffc6,TRAIN,g566-spiral-64x64-a-v1,spiral,92,23,False,False,False,False,False
d216df2ba9f3a87cc7366684d6cb2866597f236cafa68491b9535be6aedb7859,BLIND,g566-city-64x48-a-v0,city,93,24,False,False,False,False,False
e1443f024564294c8fca34a5b6c69b728d9cd9dcaebca683802228af20dc3214,BLIND,g566-cross-64x40-a-v0,cross,94,23,False,False,False,False,False
e8a7e6e75ffd182e9914a07c0e92b54995788a52560f06b5d42839bdfee523c5,TRAIN,g566-room-64x48-b-v1,room,95,188,False,False,False,False,False
f1aac07093f2a6352e14adf324e31b777cf947a9e9601131c4a65a0623f8a9ba,TRAIN,g566-room-24x24-a-v0,room,96,188,False,False,False,False,False
f55fb2f1e6726c941ca86aa4007a910e265f39c4f66d1356a1ebe358d63e263e,VALIDATION,g566-lanes-48x32-a-v2,lanes,97,46,False,False,False,False,False
f6ccd280264b34e648a72d00a305481cebcdb1f6ab1d48a27cd89b1f86ce6cde,TRAIN,g566-random-16x16-a-v2,random,98,23,False,False,False,False,False
f70a0dee7a364f728b1bc5683323cae69589f8026102005940ab7822667334dd,BLIND,g566-chambers-64x48-a-v1,chambers,99,24,False,False,False,False,False
f75108a4c18846c078b1ca449a14a2a1749984ecd7414714470cc8027a0d88ca,CALIBRATION,g566-empty-16x16-v3,empty,100,47,False,False,False,False,False
f796e31e4cd95bfc7f15a082c0cfb92325edf32b3286ee4464d73a018f85c53e,BLIND,g566-cross-32x32-a-v1,cross,101,46,False,False,False,False,False
f7cb9b14b1c74bdda8650b4efaff121c8488be39b2565fe7b84f00a32f5e0092,BLIND,g566-chambers-64x48-a-v0,chambers,102,23,False,False,False,False,False
f90bdcf755d4b059be7fe980b038aad60fe244ac6bd551cff8751bfdb5085e1c,TRAIN,g566-random-16x16-a-v0,random,103,24,False,False,False,False,False
ffea438c8f9fb5d27e765ad79342325940f31a357b7c5e166b83b3693fa5666e,CALIBRATION,g566-empty-8x8-v0,empty,104,23,False,False,False,False,False
