candidate_id,materialized_method,tier,canonical_report_id,solver_alias,registry_alias,underlying_method,role,required_force_additive,required_enable_dual_channel,expected_updateparams_fingerprint,source,source_sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,generated_theta_uid,registry_role,replay_phase,method,variant_id,actor_training_seed
repair5g59_additive_fallback,repair5g59_additive_fallback,A,paper_additive_ltm,repair5g59_additive_fallback,paper_faithful_additive_ltm,additive_ltm_force_additive,tierA_additive_ltm,1,0,force_additive=1|enable_dual_channel=0,G5.59 additive fallback alias and G5.66 plan section 5.1,523454688b8cdc73907329f98d3ba781717999f79cfe2edb70b72f926f33ce76,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,
repair5g59_static_flow_shield,repair5g59_static_flow_shield,B,static_flow_shield_hand,repair5g59_static_flow_shield,repair5g2_best_frozen_static_candidate,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,tierB_static_flow_shield,0,1,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,scripts/repair5g545_common.py::static_flow_theta and historical repair5g59_static_flow_shield alias,6a1a4578b1aeaabcfec1c9cd3a79ce9112b77ab8fdbb404c669da710619eaab4,False,False,False,False,False,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0,,,,,,
g556_c063174,g556_c063174,C,g556_c063174,g556_c063174,g556_c063174,g556_c063174,tierC_g556_fixed_global,0,1,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,src/gcst/theta_schema.py BASELINE_G556,923f9452dff70e28a21de5194cad8fca9089bfcc141552b9a82d74bda746b6e7,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,,,,,,
g566_repeatability_single_worker_e1_s565_5101d47c3603,,,,,,,,,,,,,False,False,False,False,False,1.2536364793777466,1.1694891452789307,1.2512091398239136,0.7228689789772034,0.7664101123809814,1.0249098539352417,0.707201361656189,0.981075644493103,1.0,0.6735167503356934,0.6364979147911072,0.3443227708339691,0.9346838593482971,1.0,10.844718933105469,1,0,0,672bc722a401baa6309e0abb371d0c851db7d33962eb9d8de97532df6f0c337e,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_aaddf5b3e68b,,,,,,,,,,,,,False,False,False,False,False,1.2523058652877808,1.168156623840332,1.2592380046844482,0.7213613390922546,0.7611590027809143,1.0362941026687622,0.7031230330467224,0.9811832904815674,1.0,0.6708813309669495,0.6379327774047852,0.3517664074897766,0.9420205354690552,1.0,10.847017288208008,1,0,0,5a18c8f9617fb288bcadf8cf49de11e165d9c9bc4a3ed2ace52d1bccf7017e8f,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_1400fe010c7f,,,,,,,,,,,,,False,False,False,False,False,1.2535223960876465,1.16725754737854,1.2555909156799316,0.7155761122703552,0.7604165077209473,1.0325387716293335,0.7045774459838867,0.9811347723007202,1.0,0.6683016419410706,0.6314712762832642,0.3541765511035919,0.9532030820846558,1.0,10.866381645202637,1,0,0,6ff15f00bd33a1c2df6d0d0f5fdeef155302022adf200060c3a86be665162a09,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_3eb7d67a855f,,,,,,,,,,,,,False,False,False,False,False,1.2405986785888672,1.165959358215332,1.2590852975845337,0.7473939657211304,0.759549617767334,1.0457271337509155,0.6998584270477295,0.9807873368263245,1.0,0.6805485486984253,0.6523842215538025,0.34001991152763367,0.8516674041748047,1.0,10.819598197937012,1,0,0,902ef1a534bad29bb1827284595029c54f8cdbbfaed0dc44ee738e6228404f62,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_0f039988bba9,,,,,,,,,,,,,False,False,False,False,False,1.2536165714263916,1.1667832136154175,1.255696177482605,0.7150288820266724,0.7603527307510376,1.032816767692566,0.7045674920082092,0.9811471700668335,1.0,0.6673463582992554,0.6300616264343262,0.3553090989589691,0.9553808569908142,1.0,10.867250442504883,1,0,0,4f4575b19bc0ff97069cd559018d6c49033f79a1076d90fafd29c0f9b8e46c80,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_393eb7196196,,,,,,,,,,,,,False,False,False,False,False,1.2507075071334839,1.1677964925765991,1.2524075508117676,0.7369417548179626,0.7608298063278198,1.0418589115142822,0.7000715732574463,0.9807328581809998,1.0,0.6772174835205078,0.645779550075531,0.344178169965744,0.8860670924186707,1.0,10.82928466796875,1,0,0,be296dbee50608d8f1b7cf991a84384e35eeea17c6b2ee4153ea0e63d5140c26,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_repeatability_single_worker_e1_s565_c99afb7428d9,,,,,,,,,,,,,False,False,False,False,False,1.250640869140625,1.1670383214950562,1.2574076652526855,0.7238878607749939,0.7600557208061218,1.0394171476364136,0.7002254724502563,0.9810921549797058,1.0,0.6714900135993958,0.6376907825469971,0.3537558913230896,0.9367786645889282,1.0,10.858992576599121,1,0,0,2dfa800eeebee340ad7c5bea9c8e5279febfb2e223094724d937cb607dc7d008,g566_actor_generated_theta,repeatability_single_worker,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
