candidate_id,materialized_method,tier,canonical_report_id,solver_alias,registry_alias,underlying_method,role,required_force_additive,required_enable_dual_channel,expected_updateparams_fingerprint,source,source_sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,generated_theta_uid,registry_role,replay_phase,method,variant_id,actor_training_seed
repair5g59_additive_fallback,repair5g59_additive_fallback,A,paper_additive_ltm,repair5g59_additive_fallback,paper_faithful_additive_ltm,additive_ltm_force_additive,tierA_additive_ltm,1,0,force_additive=1|enable_dual_channel=0,G5.59 additive fallback alias and G5.66 plan section 5.1,523454688b8cdc73907329f98d3ba781717999f79cfe2edb70b72f926f33ce76,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,
repair5g59_static_flow_shield,repair5g59_static_flow_shield,B,static_flow_shield_hand,repair5g59_static_flow_shield,repair5g2_best_frozen_static_candidate,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,tierB_static_flow_shield,0,1,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,scripts/repair5g545_common.py::static_flow_theta and historical repair5g59_static_flow_shield alias,6a1a4578b1aeaabcfec1c9cd3a79ce9112b77ab8fdbb404c669da710619eaab4,False,False,False,False,False,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0,,,,,,
g556_c063174,g556_c063174,C,g556_c063174,g556_c063174,g556_c063174,g556_c063174,tierC_g556_fixed_global,0,1,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,src/gcst/theta_schema.py BASELINE_G556,923f9452dff70e28a21de5194cad8fca9089bfcc141552b9a82d74bda746b6e7,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,,,,,,
g566_three_tier_smoke_e1_s565_d16a34c59cab,,,,,,,,,,,,,False,False,False,False,False,1.2531555891036987,1.167061686515808,1.25681734085083,0.7150412201881409,0.7600786089897156,1.0337251424789429,0.7042542695999146,0.9811814427375793,1.0,0.6677350997924805,0.6309679746627808,0.3559719920158386,0.9566474556922913,1.0,10.867216110229492,1,0,0,a7ec7f441d460195d76f5914e1d707d585c6fb89513b320a4233ee133ed42fbe,g566_actor_generated_theta,three_tier_smoke,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_three_tier_smoke_e1_s565_91ca536e347e,,,,,,,,,,,,,False,False,False,False,False,1.243945598602295,1.172946572303772,1.2953851222991943,0.7106414437294006,0.7578235864639282,1.0394459962844849,0.704332709312439,0.9819791913032532,1.0,0.6637500524520874,0.632597029209137,0.3669115900993347,0.9620693325996399,1.0,10.855916976928711,1,0,0,34e0300a2a23db7cc04f32a4330d5331eba084a81abe548b288d0ef3933808b8,g566_actor_generated_theta,three_tier_smoke,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_three_tier_smoke_e1_s565_36aecd96a6c8,,,,,,,,,,,,,False,False,False,False,False,1.243537187576294,1.1728565692901611,1.2968498468399048,0.7091556787490845,0.757794976234436,1.039452314376831,0.7047078609466553,0.9820489287376404,1.0,0.6635090708732605,0.6313832402229309,0.3685729205608368,0.9641132354736328,1.0,10.85846996307373,1,0,0,a22022ada565f9db76642494c363d2442155198a3a14005216c6494d16e730f0,g566_actor_generated_theta,three_tier_smoke,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_three_tier_smoke_e1_s565_48253519a86e,,,,,,,,,,,,,False,False,False,False,False,1.2528932094573975,1.167876958847046,1.2575523853302002,0.7152541875839233,0.7603228092193604,1.0331405401229858,0.7046341896057129,0.9812106490135193,1.0,0.6692162156105042,0.6329508423805237,0.35464611649513245,0.9538323879241943,1.0,10.865914344787598,1,0,0,43935e7d9844c8d3db55325ccc16dd4371eadedff77dbe7f480981122899e04d,g566_actor_generated_theta,three_tier_smoke,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_three_tier_smoke_e1_s565_712e3ad76973,,,,,,,,,,,,,False,False,False,False,False,1.2412139177322388,1.1704179048538208,1.2797176837921143,0.7295489311218262,0.7605031132698059,1.0411522388458252,0.7067804932594299,0.9814587831497192,1.0,0.6759132146835327,0.6466856002807617,0.34876561164855957,0.9002633690834045,1.0,10.837459564208984,1,0,0,50ca4a313da2813d128d794e6caf2a0ee1f721d9edf49aff7965a54f48df3cdd,g566_actor_generated_theta,three_tier_smoke,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_three_tier_smoke_e1_s565_2cb4ef69ce10,,,,,,,,,,,,,False,False,False,False,False,1.245561957359314,1.1739567518234253,1.2855819463729858,0.7268545627593994,0.7613086700439453,1.0370864868164062,0.7075064778327942,0.9814397692680359,1.0,0.6767248511314392,0.6446647644042969,0.34576064348220825,0.9090185761451721,1.0,10.835691452026367,1,0,0,ab517061b41b0002f4949f596c635c278aeedd19c5960948c25874e1cd2868ac,g566_actor_generated_theta,three_tier_smoke,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
g566_three_tier_smoke_e1_s565_e0704932e6fc,,,,,,,,,,,,,False,False,False,False,False,1.25334894657135,1.1711589097976685,1.2504432201385498,0.7240607738494873,0.7676637172698975,1.0219582319259644,0.7085214257240295,0.9810652732849121,1.0,0.6750791072845459,0.6377553343772888,0.34283921122550964,0.93016117811203,1.0,10.84181022644043,1,0,0,cb82216c5771785c321fd0699b508dbd4cf050ab8dff12c5f4cc3e1cd548a1d1,g566_actor_generated_theta,three_tier_smoke,g566_E1_phase5p5_repair5g565_expanded_e1_seed565,E1,565
