agents,candidate_id,candidate_recognized,context_id,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,feature_leakage_safe,is_best_candidate_in_context,iteration,map,oracle_gap_vs_static,probe_expanded_nodes,probe_feasible,probe_low_level_pibt_calls,probe_lower_bound,probe_runtime_ms,probe_solution_found,probe_sum_of_loss,probe_sum_of_loss_ratio,resolved_candidate_id,seed,short_budget_ms,trace_event_count,traffic_before_hash_full
50,additive_ltm,True,random-32-32-20|a50|s156|it0|repair5g56_counterfactual_static_context,0,0.122823984526,True,False,0,random-32-32-20,0,61,True,3000,1034,180.0214,True,1299,1.25628626692,additive_ltm,156,1000,2632,14650fb0739d0383
50,repair5g2_best_frozen_static_candidate,True,random-32-32-20|a50|s156|it0|repair5g56_counterfactual_static_context,-0.122823984526,0,True,True,0,random-32-32-20,0,57,True,2799,1034,246.9188,True,1172,1.1334622824,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,156,1000,2632,14650fb0739d0383
50,repair5g2_frozen_static_or_selector,True,random-32-32-20|a50|s156|it0|repair5g56_counterfactual_static_context,-0.122823984526,0,True,False,0,random-32-32-20,0,57,True,2799,1034,235.3539,True,1172,1.1334622824,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,156,1000,2632,14650fb0739d0383
50,repair5g2_c_equiv_best_frozen_baseline,True,random-32-32-20|a50|s156|it0|repair5g56_counterfactual_static_context,0,0.122823984526,True,False,0,random-32-32-20,0,61,True,3000,1034,165.473,True,1299,1.25628626692,repair5g_dual_c_equiv_c100_b100_w075_d100,156,1000,2632,14650fb0739d0383
50,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,random-32-32-20|a50|s156|it0|repair5g56_counterfactual_static_context,-0.121856866538,0.000967117988395,True,False,0,random-32-32-20,0,58,True,2849,1034,309.2222,True,1173,1.13442940039,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,156,1000,2632,14650fb0739d0383
50,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,True,random-32-32-20|a50|s156|it0|repair5g56_counterfactual_static_context,-0.0464216634429,0.0764023210832,True,False,0,random-32-32-20,0,57,True,2799,1034,337.6581,True,1251,1.20986460348,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,156,1000,2632,14650fb0739d0383
50,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,True,random-32-32-20|a50|s156|it0|repair5g56_counterfactual_static_context,-0.122823984526,0,True,False,0,random-32-32-20,0,57,True,2799,1034,305.3298,True,1172,1.1334622824,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,156,1000,2632,14650fb0739d0383
50,additive_ltm,True,random-32-32-20|a50|s156|it1|repair5g56_counterfactual_static_context,0,0.181818181818,True,False,1,random-32-32-20,-0.0222437137331,65,True,3200,1034,240.2035,True,1371,1.32591876209,additive_ltm,156,1000,2970,287ee77aecec4b93
50,repair5g2_best_frozen_static_candidate,True,random-32-32-20|a50|s156|it1|repair5g56_counterfactual_static_context,-0.181818181818,0,True,False,1,random-32-32-20,-0.0222437137331,51,True,2499,1034,339.196,True,1183,1.14410058027,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,156,1000,2970,287ee77aecec4b93
50,repair5g2_frozen_static_or_selector,True,random-32-32-20|a50|s156|it1|repair5g56_counterfactual_static_context,-0.181818181818,0,True,False,1,random-32-32-20,-0.0222437137331,51,True,2499,1034,343.1351,True,1183,1.14410058027,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,156,1000,2970,287ee77aecec4b93
50,repair5g2_c_equiv_best_frozen_baseline,True,random-32-32-20|a50|s156|it1|repair5g56_counterfactual_static_context,-0.0116054158607,0.170212765957,True,False,1,random-32-32-20,-0.0222437137331,65,True,3200,1034,313.8658,True,1359,1.31431334623,repair5g_dual_c_equiv_c100_b100_w075_d100,156,1000,2970,287ee77aecec4b93
50,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,True,random-32-32-20|a50|s156|it1|repair5g56_counterfactual_static_context,-0.204061895551,-0.0222437137331,True,True,1,random-32-32-20,-0.0222437137331,51,True,2499,1034,347.196,True,1160,1.12185686654,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,156,1000,2970,287ee77aecec4b93
