agents,baseline_method,baseline_ratio,baseline_success,better_vs_ltm,candidate_id,component,contender_method,delta_ratio_vs_ltm,equal_vs_ltm,map,repair5g2_selected_source_method,repair5g3_synthetic_source_method,scen,seed,success,sum_of_loss_ratio,worse_vs_ltm
50,lacam_star_ltm,1.19855920756,True,False,always_additive_defer,control,always_additive_defer,0.0,True,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,False
50,lacam_star_ltm,1.19855920756,True,False,laur_disable,control,laur_disable,0.0,True,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,False
50,lacam_star_ltm,1.19855920756,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,False
50,lacam_star_ltm,1.19855920756,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g2_best_frozen_static_candidate,frozen_static,repair5g2_best_frozen_static_candidate,-0.032417829799999964,False,maze-32-32-4,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,maze-32-32-4-random-126.scen,126,True,1.16614137776,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g2_frozen_static_or_selector,frozen_selector,repair5g2_frozen_static_or_selector,-0.032417829799999964,False,maze-32-32-4,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,maze-32-32-4-random-126.scen,126,True,1.16614137776,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g5_contextual_flow_shield_selector_random_feature_diagnostic,diagnostic,repair5g5_contextual_flow_shield_selector_random_feature_diagnostic,-0.032417829799999964,False,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.16614137776,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g5_contextual_flow_shield_selector_runtime,diagnostic,repair5g5_contextual_flow_shield_selector_runtime,-0.007203962179999968,False,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19135524538,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g5_contextual_flow_shield_selector_shuffled_label_diagnostic,diagnostic,repair5g5_contextual_flow_shield_selector_shuffled_label_diagnostic,-0.032417829799999964,False,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.16614137776,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,False
50,lacam_star_ltm,1.20906087777,True,False,always_additive_defer,control,always_additive_defer,0.0,True,maze-32-32-4,,,maze-32-32-4-random-127.scen,127,True,1.20906087777,False
50,lacam_star_ltm,1.20906087777,True,False,laur_disable,control,laur_disable,0.0,True,maze-32-32-4,,,maze-32-32-4-random-127.scen,127,True,1.20906087777,False
50,lacam_star_ltm,1.20906087777,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,maze-32-32-4,,,maze-32-32-4-random-127.scen,127,True,1.20906087777,False
