agents,iteration,map,method,selected_candidate_id,updates
50,0,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
50,1,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
50,2,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
50,3,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,10
100,0,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
100,1,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
100,2,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
100,3,maze-32-32-4,repair5g5_contextual_flow_shield_selector_runtime,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,10
50,0,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
50,1,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
50,2,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
50,3,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,10
100,0,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,9
100,1,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,9
100,2,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,9
100,3,random-32-32-20,repair5g5_contextual_flow_shield_selector_runtime,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,9
50,0,warehouse-10-20-10-2-1,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
50,1,warehouse-10-20-10-2-1,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
100,0,warehouse-10-20-10-2-1,repair5g5_contextual_flow_shield_selector_runtime,repair5g_dual_c_equiv_c100_b100_w100_d090,10
