map,agents,seed,scen,oracle_source_method,lacam_star_ltm_success,oracle_success,lacam_star_ltm_ratio,oracle_ratio,oracle_delta_ratio_vs_ltm
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,repair5g_dual_c_only_locked_f4,True,True,1.1244870041,1.1244870041,0.0
maze-32-32-4,50,27,maze-32-32-4-random-27.scen,repair5g_dual_c_only_locked_f4,True,True,1.21225937183,1.19351570415,-0.01874366768000013
maze-32-32-4,50,28,maze-32-32-4-random-28.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.20773930754,1.19551934827,-0.01221995927000008
maze-32-32-4,50,29,maze-32-32-4-random-29.scen,repair5g_dual_c_only_locked_f4,True,True,1.17483189241,1.17483189241,0.0
maze-32-32-4,50,30,maze-32-32-4-random-30.scen,repair5g_dual_c_only_locked_f4,True,True,1.17231638418,1.14293785311,-0.02937853106999988
maze-32-32-4,50,31,maze-32-32-4-random-31.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.16510731976,1.16565767749,0.0005503577300001172
maze-32-32-4,50,32,maze-32-32-4-random-32.scen,repair5g_dual_c_only_locked_f4,True,True,1.19058823529,1.15717647059,-0.033411764699999846
maze-32-32-4,50,33,maze-32-32-4-random-33.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.26583407672,1.25379125781,-0.012042818910000141
maze-32-32-4,50,34,maze-32-32-4-random-34.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.21993291806,1.19022520364,-0.029707714419999975
maze-32-32-4,50,35,maze-32-32-4-random-35.scen,repair5g_dual_c_only_best_f4_observed,True,True,0.805848903331,0.8208773355,0.015028432168999961
maze-32-32-4,50,36,maze-32-32-4-random-36.scen,repair5g_dual_c_only_locked_f4,True,True,1.18970917226,1.16868008949,-0.02102908276999993
maze-32-32-4,50,37,maze-32-32-4-random-37.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.15581283164,1.1326579836,-0.02315484804000012
maze-32-32-4,50,38,maze-32-32-4-random-38.scen,repair5g_dual_c_only_locked_f4,True,True,1.14997202015,1.16452154449,0.014549524339999786
maze-32-32-4,50,39,maze-32-32-4-random-39.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.1679389313,1.14707379135,-0.020865139949999945
maze-32-32-4,50,40,maze-32-32-4-random-40.scen,repair5g_dual_balanced_decay,True,True,1.22747415066,1.19202363368,-0.0354505169799999
maze-32-32-4,50,41,maze-32-32-4-random-41.scen,repair5g_dual_c_only_locked_f4,True,True,1.16258992806,1.17889688249,0.016306954429999854
maze-32-32-4,50,42,maze-32-32-4-random-42.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.12705882353,1.13129411765,0.0042352941199998995
maze-32-32-4,50,43,maze-32-32-4-random-43.scen,repair5g_dual_c_only_locked_f4,True,True,1.16685022026,1.20925110132,0.04240088106000006
maze-32-32-4,50,44,maze-32-32-4-random-44.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.22322322322,1.18418418418,-0.039039039039999945
maze-32-32-4,50,45,maze-32-32-4-random-45.scen,repair5g_dual_c_only_best_f4_observed,True,True,0.85776330076,0.85776330076,0.0
maze-32-32-4,100,26,maze-32-32-4-random-26.scen,repair5g_dual_goal_gated_wait_025,True,True,1.28905176363,1.25332111773,-0.03573064589999997
maze-32-32-4,100,27,maze-32-32-4-random-27.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.32956588749,1.34857436424,0.01900847675000006
maze-32-32-4,100,28,maze-32-32-4-random-28.scen,repair5g_dual_c_only_locked_f4,True,True,1.31144010767,1.33674293405,0.025302826380000143
maze-32-32-4,100,29,maze-32-32-4-random-29.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.25472887768,1.2842370744,0.029508196719999935
maze-32-32-4,100,30,maze-32-32-4-random-30.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.23217503218,1.24658944659,0.01441441441000002
maze-32-32-4,100,31,maze-32-32-4-random-31.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.29341164454,1.27502553626,-0.01838610827999987
maze-32-32-4,100,32,maze-32-32-4-random-32.scen,repair5g_dual_goal_gated_wait_025,True,True,1.29425079221,1.30081484835,0.006564056139999996
maze-32-32-4,100,33,maze-32-32-4-random-33.scen,repair5g_dual_c_only_locked_f4,True,True,1.29030006978,1.31937659921,0.029076529429999942
maze-32-32-4,100,34,maze-32-32-4-random-34.scen,repair5g_dual_c_only_locked_f4,True,True,1.34837644469,1.29003852504,-0.058337919650000014
maze-32-32-4,100,35,maze-32-32-4-random-35.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.05004570384,1.03587751371,-0.014168190129999925
maze-32-32-4,100,36,maze-32-32-4-random-36.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.28498103102,1.28587368891,0.000892657889999926
maze-32-32-4,100,37,maze-32-32-4-random-37.scen,repair5g_dual_c_only_locked_f4,True,True,1.24199623352,1.23917137476,-0.0028248587600001596
maze-32-32-4,100,38,maze-32-32-4-random-38.scen,repair5g_dual_balanced_decay,True,True,1.30211480363,1.3798407031,0.07772589946999986
